Apr 30 13:23:47 ubuntu systemd[1]: Started devstack@dstat.service - Devstack devstack@dstat.service.
Apr 30 13:23:48 ubuntu dstat.sh[64981]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ---total--- ------tcp-sockets-------
Apr 30 13:23:48 ubuntu dstat.sh[64981]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Apr 30 13:23:48 ubuntu dstat.sh[64981]: 30-04 13:23:48|                   |1009M 1333M  163M 5120M|           |           |           |           |1.31 1.00 0.55|1.0   0    |           |           | 10    6    1   17    0
Apr 30 13:23:49 ubuntu dstat.sh[64981]: 30-04 13:23:49| 19  20  59   1   0|1009M 1333M  163M 5120M|  33k   14k|   0  3440k|   0   119 |6685  6029 |1.41 1.02 0.56|2.0   0 553|   0     0 |           | 10    6    1   17    0
Apr 30 13:23:50 ubuntu dstat.sh[64981]: 30-04 13:23:50| 25  19  54   0   0| 986M 1356M  164M 5121M|  36k   10k|   0  1664k|   0  91.1 |6456  6110 |1.52 1.05 0.57|4.0   0 471|   0     0 |           | 10    6    1   17    0
Apr 30 13:23:51 ubuntu dstat.sh[64981]: 30-04 13:23:51| 31  15  51   0   0|1106M 1234M  164M 5232M|  18k   10k|   0  1375k|   0  40.9 |6672  9008 |1.52 1.05 0.57|3.0   0 201|   0     0 |           | 11    5    1   17    1
Apr 30 13:23:52 ubuntu dstat.sh[64981]: 30-04 13:23:52| 30   9  59   1   0|1123M 1197M  164M 5263M| 172k 7919B|   0  2220k|   0  77.3 |3689  2587 |1.52 1.05 0.57|2.0   0 107|   0     0 |           | 11    6    1   17    2
Apr 30 13:23:53 ubuntu dstat.sh[64981]: 30-04 13:23:53| 37  12  48   0   0|1164M 1137M  165M 5278M|1975B    0 |  32k 2746k|2.00  64.8 |4356  3411 |1.52 1.05 0.57|3.0   0 175|   0     0 |           | 11    6    1   19    2
Apr 30 13:23:54 ubuntu dstat.sh[64981]: 30-04 13:23:54| 42   7  48   0   0|1218M 1065M  165M 5294M|2580B    0 |4097B 6221k|1.00  65.0 |3067  1965 |1.56 1.07 0.58|3.0   0   0|   0     0 |           | 11    6    1   19    2
Apr 30 13:23:55 ubuntu dstat.sh[64981]: 30-04 13:23:55| 40   6  49   4   0|1253M 1006M  167M 5314M|2948B   74B|   0    11M|   0   609 |4861  6030 |1.56 1.07 0.58|3.0 1.0  10|   0     0 |           | 11    8    1   19    2
Apr 30 13:23:56 ubuntu dstat.sh[64981]: 30-04 13:23:56| 31   6  45  14   0|1247M  975M  168M 5345M|3419B    0 |   0    45M|   0  3661 |  15k   29k|1.56 1.07 0.58|2.0 1.0  60|   0     0 |           | 11    8    1   19    2
Apr 30 13:23:57 ubuntu dstat.sh[64981]: 30-04 13:23:57| 36   8  49   5   0|1187M 1025M  169M 5353M|8506B 2007B|   0    31M|   0  2157 |8389    14k|1.56 1.07 0.58|3.0   0  87|   0     0 |           | 11    7    1   19    2
Apr 30 13:23:58 ubuntu dstat.sh[64981]: 30-04 13:23:58| 46   6  48   0   0|1151M 1078M  169M 5336M|3606B  720B|   0  1000k|   0  54.0 |2959  1641 |1.56 1.07 0.58|2.0   0 2.0|   0     0 |           | 11    4    1   19    0
Apr 30 13:23:59 ubuntu dstat.sh[64981]: 30-04 13:23:59| 41   5  51   1   0|1206M 1018M  169M 5341M|8245B 2271B|   0  9152k|   0   499 |3656  3530 |1.68 1.10 0.59|2.0   0  34|   0     0 |           | 11    4    1   19    0
Apr 30 13:24:00 ubuntu dstat.sh[64981]: 30-04 13:24:00| 45  11  43   0   0|1224M 1000M  169M 5342M|2894B 1079B|   0   678k|   0  46.1 |3939    12k|1.68 1.10 0.59|1.0   0  65|   0     0 |           | 11    5    1   20    0
Apr 30 13:24:01 ubuntu dstat.sh[64981]: 30-04 13:24:01| 41   7  50   0   0|1235M  981M  170M 5347M|9409B 1971B|   0  1215k|   0  76.9 |  11k   19k|1.68 1.10 0.59|5.0   0 7.0|   0     0 |           | 11    4    1   20    0
Apr 30 13:24:02 ubuntu dstat.sh[64981]: 30-04 13:24:02| 39  15  46   0   0|1218M  998M  170M 5347M|4354B   84B|   0    84k|   0  1.00 |  13k   20k|1.68 1.10 0.59|3.0   0 288|   0     0 |           | 11    4    1   20    0
Apr 30 13:24:03 ubuntu dstat.sh[64981]: 30-04 13:24:03| 31  25  43   1   0|1105M 1123M  170M 5337M|3566B    0 |   0  2992k|   0   190 |6855  7497 |1.68 1.10 0.59|2.0   0 524|   0     0 |           | 11    4    1   20    0
Apr 30 13:24:04 ubuntu dstat.sh[64981]: 30-04 13:24:04| 50  16  33   0   0|1130M 1097M  170M 5337M|4033B    0 |   0   128k|   0  4.98 |4891  4363 |1.70 1.12 0.60|3.0   0 263|   0     0 |           | 11    5    1   19    0
Apr 30 13:24:05 ubuntu dstat.sh[64981]: 30-04 13:24:05| 45   5  49   0   0|1212M 1016M  170M 5337M|3203B    0 |   0     0 |   0     0 |2519  1221 |1.70 1.12 0.60|3.0   0   0|   0     0 |           | 11    5    1   19    0
Apr 30 13:24:06 ubuntu dstat.sh[64981]: 30-04 13:24:06| 42   8  49   0   0|1241M  986M  170M 5338M|3423B    0 |   0   248k|   0  7.98 |2555  1340 |1.70 1.12 0.60|4.0   0   0|   0     0 |           | 11    5    1   19    0
Apr 30 13:24:07 ubuntu dstat.sh[64981]: 30-04 13:24:07| 24   9  64   1   0|1264M  961M  170M 5340M|2906B    0 |   0  4041k|   0   286 |3780  4771 |1.70 1.12 0.60|1.0   0 118|   0     0 |           | 11    4    1   20    0
Apr 30 13:24:08 ubuntu dstat.sh[64981]: 30-04 13:24:08|  8   4  86   0   0|1293M  932M  170M 5340M|2821B    0 |   0   864k|   0   114 |1562  1472 |1.70 1.12 0.60|2.0   0  28|   0     0 |           | 11    4    1   14    0
Apr 30 13:24:09 ubuntu dstat.sh[64981]: 30-04 13:24:09| 21   5  73   0   0|1352M  873M  170M 5340M|2689B    0 |   0    21M|   0   155 |1973  1752 |1.65 1.12 0.60|1.0   0 1.0|   0     0 |           | 11    4    1   14    0
Apr 30 13:24:10 ubuntu dstat.sh[64981]: 30-04 13:24:10| 23   2  73   0   0|1374M  851M  170M 5340M|1915B    0 |   0  5151k|   0  60.8 |1741  1145 |1.65 1.12 0.60|1.0   0   0|   0     0 |           | 11    6    1   14    0
Apr 30 13:24:11 ubuntu dstat.sh[64981]: 30-04 13:24:11| 21   5  71   2   0|1327M  898M  170M 5340M|1320B    0 |   0  5832k|   0   547 |4350  5679 |1.65 1.12 0.60|4.0   0  43|   0     0 |           | 11    4    1   16    0
Apr 30 13:24:12 ubuntu dstat.sh[64981]: 30-04 13:24:12| 22   3  74   0   0|1378M  847M  170M 5340M|1697B    0 | 144k  416k|7.00  21.0 |1771  1389 |1.65 1.12 0.60|2.0   0   0|   0     0 |           | 11    4    1   16    0
Apr 30 13:24:13 ubuntu dstat.sh[64981]: 30-04 13:24:13| 18   2  78   0   0|1393M  831M  170M 5341M|5873B 4080B|   0  1020k|   0  63.0 |2319  2402 |1.65 1.12 0.60|2.0   0 1.0|   0     0 |           | 11   17    1   16    0
Apr 30 13:24:14 ubuntu dstat.sh[64981]: 30-04 13:24:14| 20   2  76   1   0|1369M  854M  170M 5341M|6014B 4342B| 268k 1586k|65.9  86.9 |2246  1992 |1.59 1.11 0.60|2.0   0 2.0|   0     0 |           | 11   28    1   17    0
Apr 30 13:24:15 ubuntu dstat.sh[64981]: 30-04 13:24:15| 20   7  72   0   0|1410M  814M  170M 5341M|2344B    0 |   0    35M|   0   562 |2587  1913 |1.59 1.11 0.60|1.0   0  43|   0     0 |           | 11   28    1   17    0
Apr 30 13:24:16 ubuntu dstat.sh[64981]: 30-04 13:24:16| 17   2  80   0   0|1401M  823M  170M 5341M|  10k 6848B|   0     0 |   0     0 |1959  1678 |1.59 1.11 0.60|2.0   0   0|   0     0 |           | 11   28    1   18    0
Apr 30 13:24:17 ubuntu dstat.sh[64981]: 30-04 13:24:17| 29  15  55   0   0|1371M  853M  170M 5341M|3074B    0 |   0  2270k|   0  17.0 |3765  2449 |1.59 1.11 0.60|2.0   0 156|   0     0 |           | 11   28    1   18    0
Apr 30 13:24:18 ubuntu dstat.sh[64981]: 30-04 13:24:18| 37   4  58   0   0|1427M  796M  170M 5341M|  11k 8460B|   0   721k|   0  7.01 |3072  2246 |1.59 1.11 0.60|2.0   0   0|   0     0 |           | 11   30    1   18    0
Apr 30 13:24:19 ubuntu dstat.sh[64981]: 30-04 13:24:19| 35  10  54   0   0|1400M  824M  170M 5341M|  14k   10k|   0   309k|   0  31.1 |6598  8543 |1.63 1.13 0.61|3.0   0 173|   0     0 |           | 11   28    1   19    0
Apr 30 13:24:20 ubuntu dstat.sh[64981]: 30-04 13:24:20| 72  27   2   0   0|1526M  697M  170M 5341M|2701B   74B|   0  2032k|   0  13.0 |5394  4090 |1.63 1.13 0.61|6.0   0 406|   0     0 |           | 11   28    1   17    0
Apr 30 13:24:21 ubuntu dstat.sh[64981]: 30-04 13:24:21| 85  12   1   0   0|1703M  521M  170M 5341M|  18k   17k|   0     0 |   0     0 |6611  5435 |1.63 1.13 0.61|6.0   0   0|   0     0 |           | 11   32    1   17    0
Apr 30 13:24:22 ubuntu dstat.sh[64981]: 30-04 13:24:22| 76  11  14   0   0|1633M  590M  170M 5341M|  30k   26k|   0   464k|   0  43.0 |8999    12k|1.63 1.13 0.61|4.0   0 113|   0     0 |           | 11   30    1   21    0
Apr 30 13:24:23 ubuntu dstat.sh[64981]: 30-04 13:24:23| 24  12  62   0   0|1448M  775M  170M 5341M|5212B 2161B|   0   522k|   0  36.8 |4300  4219 |1.63 1.13 0.61|2.0   0 196|   0     0 |           | 11   28    1   23    0
Apr 30 13:24:24 ubuntu dstat.sh[64981]: 30-04 13:24:24| 18   3  78   0   0|1448M  776M  170M 5341M|5896B 3993B|   0   156k|   0  10.0 |1877  1646 |1.58 1.13 0.61|2.0   0   0|   0     0 |           | 11   29    1   23    0
Apr 30 13:24:25 ubuntu dstat.sh[64981]: 30-04 13:24:25| 16   8  76   0   0|1415M  808M  170M 5341M|5270B 3097B|   0    47M|   0   298 |3844  3981 |1.58 1.13 0.61|1.0   0  68|   0     0 |           | 11   28    1   24    0
Apr 30 13:24:26 ubuntu dstat.sh[64981]: 30-04 13:24:26| 21   4  73   0   0|1419M  804M  170M 5341M|1980B   74B|   0  1676k|   0  80.0 |1839  1305 |1.58 1.13 0.61|2.0   0   0|   0     0 |           | 11   28    1   24    0
Apr 30 13:24:27 ubuntu dstat.sh[64981]: 30-04 13:24:27| 16   2  80   0   0|1417M  806M  170M 5341M|9509B 6962B|   0   164k|   0  18.0 |2808  3266 |1.58 1.13 0.61|3.0   0   0|   0     0 |           | 11   28    1   25    0
Apr 30 13:24:28 ubuntu dstat.sh[64981]: 30-04 13:24:28|  9  21  68   0   0|1369M  854M  170M 5341M|2646B    0 |   0   253k|   0  9.02 |5078  3431 |1.58 1.13 0.61|1.0   0 327|   0     0 |           | 11   28    1   25    0
Apr 30 13:24:29 ubuntu dstat.sh[64981]: 30-04 13:24:29| 25  31  43   0   0|1394M  830M  170M 5342M|2097B    0 |   0   248k|   0  22.0 |5862  4761 |1.53 1.12 0.61|5.0   0 650|   0     0 |           | 11   28    1   25    0
Apr 30 13:24:30 ubuntu dstat.sh[64981]: 30-04 13:24:30| 83  16   1   0   0|1601M  622M  170M 5342M|5255B 2420B|   0    40M|   0   209 |5495  3447 |1.53 1.12 0.61|5.0   0  62|   0     0 |           | 11   29    1   25    0
Apr 30 13:24:31 ubuntu dstat.sh[64981]: 30-04 13:24:31| 76   9  15   0   0|1664M  558M  170M 5342M|  35k   32k|   0   160k|   0  16.0 |7103  9989 |1.53 1.12 0.61|4.0   0   0|   0     0 |           | 11   32    1   25    0
Apr 30 13:24:32 ubuntu dstat.sh[64981]: 30-04 13:24:32| 72  20   7   0   0|1595M  628M  170M 5342M|  18k   14k|   0   693k|   0  67.1 |7859    11k|1.53 1.12 0.61|6.0   0 280|   0     0 |           | 11   28    1   26    0
Apr 30 13:24:33 ubuntu dstat.sh[64981]: 30-04 13:24:33| 86  14   1   0   0|1658M  565M  170M 5342M|7871B 5346B|   0   152k|   0  10.0 |5225  3228 |1.53 1.12 0.61|4.0   0  30|   0     0 |           | 11   31    1   26    0
Apr 30 13:24:34 ubuntu dstat.sh[64981]: 30-04 13:24:34| 80  10   9   0   0|1723M  499M  170M 5342M|  36k   32k|   0   152k|   0  9.98 |8020    11k|1.81 1.19 0.64|5.0   0 1.0|   0     0 |           | 11   33    1   27    0
Apr 30 13:24:35 ubuntu dstat.sh[64981]: 30-04 13:24:35| 63  16  21   0   0|1454M  768M  170M 5342M|  28k   24k|   0   560k|   0  39.0 |9090    13k|1.81 1.19 0.64|3.0   0 251|   0     0 |           | 11   28    1   31    0
Apr 30 13:24:36 ubuntu dstat.sh[64981]: 30-04 13:24:36| 41   7  51   0   0|1468M  754M  170M 5342M|5966B 3924B|   0   196k|   0  8.98 |3002  1654 |1.81 1.19 0.64|1.0   0  46|   0     0 |           | 11   30    1   31    0
Apr 30 13:24:37 ubuntu dstat.sh[64981]: 30-04 13:24:37| 33   4  61   0   0|1468M  754M  170M 5342M|  18k   14k|   0   240k|   0  20.0 |5342  6802 |1.81 1.19 0.64|3.0   0   0|   0     0 |           | 11   28    1   33    0
Apr 30 13:24:38 ubuntu dstat.sh[64981]: 30-04 13:24:38| 47  23  30   0   0|1447M  775M  170M 5343M|2881B  116B|   0   900k|   0  19.0 |4979  3442 |1.81 1.19 0.64|4.0   0 378|   0     0 |           | 11   28    1   33    0
Apr 30 13:24:39 ubuntu dstat.sh[64981]: 30-04 13:24:39| 53   7  40   0   0|1509M  713M  170M 5343M|  15k   14k|   0   156k|   0  10.0 |3767  3139 |1.90 1.22 0.65|1.0   0 1.0|   0     0 |           | 11   31    1   33    0
Apr 30 13:24:40 ubuntu dstat.sh[64981]: 30-04 13:24:40| 51  18  31   0   0|1445M  776M  170M 5343M|  18k   14k|   0  1289k|   0  95.1 |7696    10k|1.90 1.22 0.65|4.0   0 258|   0     0 |           | 11   28    1   34    0
Apr 30 13:24:41 ubuntu dstat.sh[64981]: 30-04 13:24:41| 76  11  13   0   0|1576M  646M  170M 5343M|  11k 9695B|   0   175k|   0  37.8 |4709  2086 |1.90 1.22 0.65|2.0   0   0|   0     0 |           | 11   32    1   29    0
Apr 30 13:24:42 ubuntu dstat.sh[64981]: 30-04 13:24:42| 60   6  33   0   0|1576M  645M  170M 5343M|  31k   28k|   0   361k|   0  33.1 |8623    12k|1.90 1.22 0.65|5.0   0 5.0|   0     0 |           | 11   30    1   31    0
Apr 30 13:24:43 ubuntu dstat.sh[64981]: 30-04 13:24:43| 61  19  20   0   0|1537M  684M  170M 5343M|5332B 2471B|   0   436k|   0  26.0 |5197  4588 |1.90 1.22 0.65|4.0   0 319|   0     0 |           | 11   28    1   32    0
Apr 30 13:24:44 ubuntu dstat.sh[64981]: 30-04 13:24:44| 49   6  44   0   0|1570M  651M  170M 5343M|  17k   16k|   0   152k|   0  8.99 |4444  4159 |1.99 1.25 0.66|2.0   0   0|   0     0 |           | 11   31    1   32    0
Apr 30 13:24:45 ubuntu dstat.sh[64981]: 30-04 13:24:45| 51  20  29   0   0|1476M  745M  170M 5343M|  17k   13k|   0   853k|   0  42.1 |6803  8785 |1.99 1.25 0.66|3.0   0 299|   0     0 |           | 11   28    1   31    0
Apr 30 13:24:46 ubuntu dstat.sh[64981]: 30-04 13:24:46| 55   7  36   0   0|1551M  671M  170M 5343M|  14k   10k|   0   200k|   0  9.98 |3847  2272 |1.99 1.25 0.66|7.0   0 1.0|   0     0 |           | 11   31    1   31    0
Apr 30 13:24:47 ubuntu dstat.sh[64981]: 30-04 13:24:47| 51  11  37   0   0|1525M  696M  170M 5344M|  21k   17k|   0   758k|   0  49.1 |7487  9597 |1.99 1.25 0.66|5.0   0 140|   0     0 |           | 11   28    1   34    0
Apr 30 13:24:48 ubuntu dstat.sh[64981]: 30-04 13:24:48| 63  15  22   0   0|1528M  693M  170M 5344M|3203B 1456B|   0   168k|   0  9.97 |3895  2149 |1.99 1.25 0.66|2.0   0 147|   0     0 |           | 11   29    1   34    0
Apr 30 13:24:49 ubuntu dstat.sh[64981]: 30-04 13:24:49| 44   5  50   0   0|1536M  685M  170M 5344M|  24k   21k|   0   209k|   0  25.1 |6566  8556 |1.99 1.26 0.67|4.0   0 1.0|   0     0 |           | 11   30    1   35    0
Apr 30 13:24:50 ubuntu dstat.sh[64981]: 30-04 13:24:50| 61  13  25   0   0|1505M  716M  170M 5344M|5100B 2415B|   0  2408k|   0  49.0 |4743  3172 |1.99 1.26 0.67|3.0   0 112|   0     0 |           | 11   28    1   36    0
Apr 30 13:24:51 ubuntu dstat.sh[64981]: 30-04 13:24:51| 50   6  44   0   0|1545M  675M  170M 5344M|  17k   15k|   0   167k|   0  7.96 |4358  3980 |1.99 1.26 0.67|6.0   0   0|   0     0 |           | 11   31    1   36    0
Apr 30 13:24:52 ubuntu dstat.sh[64981]: 30-04 13:24:52| 55  24  20   0   0|1395M  825M  170M 5344M|  12k 9806B|   0  2962k|   0   199 |7737  9948 |1.99 1.26 0.67|6.0   0 451|   0     0 |           | 11   28    1   38    0
Apr 30 13:24:53 ubuntu dstat.sh[64981]: 30-04 13:24:53| 78  22   0   0   0|1621M  599M  170M 5344M|6773B 4080B|   0    16k|   0  4.00 |5567  4617 |1.99 1.26 0.67|7.0   0 362|   0     0 |           | 11   29    1   37    0
Apr 30 13:24:54 ubuntu dstat.sh[64981]: 30-04 13:24:54| 79  20   1   0   0|1738M  482M  170M 5344M|  25k   22k|   0   296k|   0  19.0 |6873  7196 |2.47 1.37 0.71|7.0   0 388|   0     0 |           | 11   32    1   37    0
Apr 30 13:24:55 ubuntu dstat.sh[64981]: 30-04 13:24:55| 70  26   4   0   0|1614M  607M  170M 5344M|  37k   35k|   0   480k|   0  40.0 |8232    10k|2.47 1.37 0.71|6.0   0 498|   0     0 |           | 11   29    1   38    0
Apr 30 13:24:56 ubuntu dstat.sh[64981]: 30-04 13:24:56| 82  18   0   0   0|1651M  569M  171M 5344M|8878B 5281B|   0   280k|   0  20.0 |5703  4260 |2.47 1.37 0.71|5.0   0 157|   0     0 |           | 11   29    1   38    0
Apr 30 13:24:57 ubuntu dstat.sh[64981]: 30-04 13:24:57| 77   9  13   0   0|1683M  537M  171M 5345M|  32k   29k|   0  3067k|   0   101 |6765  8968 |2.47 1.37 0.71|7.0   0  32|   0     0 |           | 11   32    1   38    0
Apr 30 13:24:58 ubuntu dstat.sh[64981]: 30-04 13:24:58| 53  18  28   0   0|1503M  717M  171M 5345M|  26k   22k|   0    16k|   0  4.00 |8949    13k|2.47 1.37 0.71|1.0   0 417|   0     0 |           | 11   28    1   42    0
Apr 30 13:24:59 ubuntu dstat.sh[64981]: 30-04 13:24:59|  9  23  66   0   0|1438M  782M  171M 5345M|2161B    0 |   0    24k|   0  6.00 |5378  3662 |2.44 1.38 0.72|5.0   0 385|   0     0 |           | 11   28    1   42    0
Apr 30 13:25:00 ubuntu dstat.sh[64981]: 30-04 13:25:00| 51  37  12   0   0|1462M  758M  171M 5345M|2701B    0 |   0    44k|   0  11.0 |6352    11k|2.44 1.38 0.72|6.0   0 786|   0     0 |           | 11   28    1   43    0
Apr 30 13:25:01 ubuntu dstat.sh[64981]: 30-04 13:25:01| 73  19   9   0   0|1585M  635M  171M 5345M|  16k   12k|   0   468k|   0  20.0 |5497  4887 |2.44 1.38 0.72|4.0   0 352|   0     0 |           | 11   31    1   42    0
Apr 30 13:25:02 ubuntu dstat.sh[64981]: 30-04 13:25:02| 59  12  27   0   0|1548M  672M  171M 5345M|  24k   19k|   0  1341k|   0  95.8 |7685    10k|2.44 1.38 0.72|3.0   0 137|   0     0 |           | 11   29    1   45    0
Apr 30 13:25:03 ubuntu dstat.sh[64981]: 30-04 13:25:03| 76  15   9   0   0|1525M  695M  171M 5345M|9381B 4172B|   0   288k|   0  20.0 |5276  3746 |2.44 1.38 0.72|3.0   0 134|   0     0 |           | 11   30    1   46    0
Apr 30 13:25:04 ubuntu dstat.sh[64981]: 30-04 13:25:04| 62   8  29   0   0|1590M  629M  171M 5345M|  33k   29k|   0   148k|   0  7.99 |6681  9606 |2.48 1.41 0.73|3.0   0   0|   0     0 |           | 11   32    1   46    0
Apr 30 13:25:05 ubuntu dstat.sh[64981]: 30-04 13:25:05| 58   7  33   0   0|1575M  643M  171M 5345M|  39k   35k|   0   340k|   0  33.0 |  13k   20k|2.48 1.41 0.73|3.0   0  30|   0     0 |           | 11   30    1   46    0
Apr 30 13:25:06 ubuntu dstat.sh[64981]: 30-04 13:25:06| 78  14   7   0   0|1535M  683M  171M 5345M|9995B 6786B|   0   411k|   0  43.9 |5949  5672 |2.48 1.41 0.73|4.0   0  90|   0     0 |           | 11   29    1   46    0
Apr 30 13:25:07 ubuntu dstat.sh[64981]: 30-04 13:25:07| 66   8  26   0   0|1600M  618M  171M 5346M|  22k   19k|   0   157k|   0  8.05 |5891  5916 |2.48 1.41 0.73|1.0   0   0|   0     0 |           | 11   32    1   46    0
Apr 30 13:25:08 ubuntu dstat.sh[64981]: 30-04 13:25:08| 51   7  40   0   0|1608M  610M  171M 5346M|  40k   35k|   0  1292k|   0  10.0 |  12k   19k|2.48 1.41 0.73|2.0   0 6.0|   0     0 |           | 11   32    1   46    0
Apr 30 13:25:09 ubuntu dstat.sh[64981]: 30-04 13:25:09| 67  15  17   0   0|1489M  730M  171M 5346M|  23k   19k|   0   164k|   0  9.00 |8230    11k|2.44 1.42 0.74|4.0   0 206|   0     0 |           | 11   28    1   49    0
Apr 30 13:25:10 ubuntu dstat.sh[64981]: 30-04 13:25:10| 73  12  14   0   0|1562M  656M  171M 5346M|  11k 9761B|   0   116k|   0  7.98 |4525  2619 |2.44 1.42 0.74|5.0   0  55|   0     0 |           | 11   31    1   49    0
Apr 30 13:25:11 ubuntu dstat.sh[64981]: 30-04 13:25:11| 60   9  30   0   0|1590M  628M  171M 5346M|  32k   29k|   0   380k|   0  11.0 |9143    14k|2.44 1.42 0.74|5.0   0  88|   0     0 |           | 11   31    1   50    0
Apr 30 13:25:12 ubuntu dstat.sh[64981]: 30-04 13:25:12| 73  15  12   0   0|1522M  696M  171M 5346M|  17k   12k|   0  3595k|   0   216 |7375  8833 |2.44 1.42 0.74|5.0   0 128|   0     0 |           | 11   28    1   51    0
Apr 30 13:25:13 ubuntu dstat.sh[64981]: 30-04 13:25:13| 67   9  23   0   0|1589M  629M  171M 5346M|  17k   15k|   0   303k|   0  31.9 |4819  3941 |2.44 1.42 0.74|3.0   0 1.0|   0     0 |           | 11   33    1   50    0
