Feb 19 18:05:27 ubuntu systemd[1]: Started devstack@dstat.service - Devstack devstack@dstat.service.
Feb 19 18:05:28 ubuntu dstat.sh[59214]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ---total--- ------tcp-sockets-------
Feb 19 18:05:28 ubuntu dstat.sh[59214]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Feb 19 18:05:28 ubuntu dstat.sh[59214]: 19-02 18:05:28|                   |1006M 1632M  158M 4844M|           |           |           |           |1.49 0.90 0.48|3.0   0    |           |           | 10    5    0   18    1
Feb 19 18:05:29 ubuntu dstat.sh[59214]: 19-02 18:05:29| 32  21  45   1   0|1007M 1630M  158M 4845M| 301k   23k|   0  4300k|   0   130 |7203  6405 |1.51 0.91 0.48|2.0   0 614|   0     0 |           | 10    6    0   18    1
Feb 19 18:05:30 ubuntu dstat.sh[59214]: 19-02 18:05:30| 31  19  49   0   0| 965M 1667M  159M 4848M|1546k   27k|   0  3631k|   0   101 |6904  6422 |1.53 0.92 0.49|1.0   0 493|   0     0 |           | 10    5    0   17    1
Feb 19 18:05:31 ubuntu dstat.sh[59214]: 19-02 18:05:31| 32  11  55   0   0|1089M 1543M  159M 4971M|  26k   13k|   0  1684k|   0  50.9 |5881  8509 |1.53 0.92 0.49|1.0   0 144|   0     0 |           | 11    5    0   17    1
Feb 19 18:05:32 ubuntu dstat.sh[59214]: 19-02 18:05:32| 20   6  73   1   0|1108M 1498M  160M 4993M| 170k 8930B|   0  2432k|   0  69.0 |2608  2119 |1.53 0.92 0.49|2.0   0  71|   0     0 |           | 11    6    0   17    2
Feb 19 18:05:33 ubuntu dstat.sh[59214]: 19-02 18:05:33| 39  12  48   0   0|1124M 1459M  160M 5013M|3868B  541B|  16k 1804k|1.00  59.1 |4298  2830 |1.53 0.92 0.49|2.0   0 158|   0     0 |           | 11    6    0   17    2
Feb 19 18:05:34 ubuntu dstat.sh[59214]: 19-02 18:05:34| 43   9  48   1   0|1202M 1361M  161M 5031M|4042B  540B| 344k 8088k|15.0   242 |3749  2598 |1.57 0.94 0.50|2.0   0  57|   0     0 |           | 11    6    0   19    2
Feb 19 18:05:35 ubuntu dstat.sh[59214]: 19-02 18:05:35| 44   4  49   1   0|1226M 1318M  162M 5046M|4099B  808B| 247k 4616k|7.98   139 |3371  2395 |1.57 0.94 0.50|2.0   0   0|   0     0 |           | 11    6    0   19    2
Feb 19 18:05:36 ubuntu dstat.sh[59214]: 19-02 18:05:36| 36   7  46  10   0|1248M 1258M  164M 5080M|4527B  758B|  16k   45M|1.00  3195 |  15k   27k|1.57 0.94 0.50|1.0 1.0  56|   0     0 |           | 11    8    0   19    2
Feb 19 18:05:37 ubuntu dstat.sh[59214]: 19-02 18:05:37| 42   9  43   4   0|1200M 1314M  165M 5070M|  10k 3512B|   0    36M|   0  2611 |  11k   27k|1.57 0.94 0.50|2.0   0 138|   0     0 |           | 11    4    0   20    0
