May 15 00:51:25 ubuntu systemd[1]: Started devstack@dstat.service - Devstack devstack@dstat.service.
May 15 00:51:26 ubuntu dstat.sh[65696]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ---total--- ------tcp-sockets-------
May 15 00:51:26 ubuntu dstat.sh[65696]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
May 15 00:51:26 ubuntu dstat.sh[65696]: 15-05 00:51:26|                   | 984M 1338M  164M 5139M|           |           |           |           |1.00 0.70 0.43|2.0   0    |           |           | 10    5    0   17    0
May 15 00:51:27 ubuntu dstat.sh[65696]: 15-05 00:51:27| 18  21  59   1   0| 986M 1336M  164M 5139M|  39k   11k|   0  3143k|   0   170 |5961  4768 |1.04 0.72 0.44|2.5   0 395|   0     0 |           | 10    6    0   17    0
May 15 00:51:28 ubuntu dstat.sh[65696]: 15-05 00:51:28| 23  21  54   1   0| 994M 1327M  164M 5139M|  23k   13k|   0  2044k|   0   119 |5820  4506 |1.08 0.73 0.44|4.0   0 383|   0     0 |           | 10    6    0   17    0
May 15 00:51:29 ubuntu dstat.sh[65696]: 15-05 00:51:29| 27  20  51   0   0| 991M 1328M  164M 5140M|  42k   13k|   0  2002k|   0  61.9 |6179  6590 |1.08 0.73 0.44|7.0   0 312|   0     0 |           | 10    6    0   17    0
May 15 00:51:30 ubuntu dstat.sh[65696]: 15-05 00:51:30| 27  12  59   0   0|1103M 1206M  165M 5271M| 140k   16k|   0  1742k|   0  47.7 |4409  4589 |1.08 0.73 0.44|2.0   0  89|   0     0 |           | 11    5    0   17    1
May 15 00:51:31 ubuntu dstat.sh[65696]: 15-05 00:51:31| 29   9  61   1   0|1105M 1184M  166M 5289M|  47k 2451B|   0  5344k|   0  93.6 |3342  2488 |1.08 0.73 0.44|4.0   0  88|   0     0 |           | 11    6    0   17    2
May 15 00:51:32 ubuntu dstat.sh[65696]: 15-05 00:51:32| 37  14  47   0   0|1116M 1155M  166M 5304M|2651B    0 |   0  1756k|   0  48.9 |4623  3199 |1.15 0.75 0.45|4.0   0 181|   0     0 |           | 11    6    0   19    2
May 15 00:51:33 ubuntu dstat.sh[65696]: 15-05 00:51:33| 42   7  49   1   0|1192M 1054M  167M 5325M|2823B    0 |  32k 4377k|2.00   115 |3417  2481 |1.15 0.75 0.45|3.0   0  15|   0     0 |           | 11    6    0   19    2
May 15 00:51:34 ubuntu dstat.sh[65696]: 15-05 00:51:34| 43   6  49   2   0|1232M  983M  168M 5352M|2463B    0 |   0  6819k|   0   370 |3671  3446 |1.15 0.75 0.45|4.0   0 1.0|   0     0 |           | 11    8    0   19    2
May 15 00:51:35 ubuntu dstat.sh[65696]: 15-05 00:51:35| 31   7  46  13   0|1253M  956M  169M 5354M|3026B  480B|   0    47M|   0  3845 |  15k   28k|1.15 0.75 0.45|3.0   0  54|   0     0 |           | 11    6    0   19    0
May 15 00:51:36 ubuntu dstat.sh[65696]: 15-05 00:51:36| 39  10  46   3   0|1256M  953M  170M 5355M|3123B  492B|   0    28M|   0  2049 |9104    15k|1.15 0.75 0.45|3.0   0 137|   0     0 |           | 11    5    0   19    0
May 15 00:51:37 ubuntu dstat.sh[65696]: 15-05 00:51:37| 42   7  50   1   0|1236M  966M  170M 5361M|7772B 1859B|   0    13M|   0   714 |3873  4492 |1.22 0.77 0.46|3.0   0 9.0|   0     0 |           | 11    4    0   19    0
May 15 00:51:38 ubuntu dstat.sh[65696]: 15-05 00:51:38| 35   3  60   0   0|1264M  939M  170M 5361M|9330B 2939B|   0  1335k|   0  62.0 |2422  1500 |1.22 0.77 0.46|2.0   0  16|   0     0 |           | 11    5    0   19    0
