Jul 10 16:44:04 jammy-provider-cloud-0000007326 systemd[1]: Started Devstack devstack@dstat.service.
Jul 10 16:44:04 jammy-provider-cloud-0000007326 dstat.sh[57632]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Jul 10 16:44:04 jammy-provider-cloud-0000007326 dstat.sh[57632]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Jul 10 16:44:04 jammy-provider-cloud-0000007326 dstat.sh[57632]: 10-07 16:44:04|                   | 982M 1956M  156M 4545M|           |           |           |           |1.36 0.82 0.45|4.0   0    |           |   0     0 |  9    4    4   17    2
Jul 10 16:44:05 jammy-provider-cloud-0000007326 dstat.sh[57632]: 10-07 16:44:05| 22  23  52   1   0| 997M 1929M  156M 4556M|1860k   18k|  11M 9078k| 130   117 |4577  8220 |1.38 0.83 0.45|3.5   0 607|   0     0 |   0     0 |  9    4    4   17    2
Jul 10 16:44:06 jammy-provider-cloud-0000007326 dstat.sh[57632]: 10-07 16:44:06| 27  26  46   0   0|1008M 1905M  156M 4568M|4370B 1640B| 324k  580k|66.4  80.9 |4382  8154 |1.41 0.84 0.46|2.0   0 563|   0     0 |   0     0 |  9    4    4   17    2
Jul 10 16:44:07 jammy-provider-cloud-0000007326 dstat.sh[57632]: 10-07 16:44:07| 32  13  53   0   0|1107M 1791M  156M 4705M|4826B 1712B|1163k 1618k|14.0  61.9 |5259  9231 |1.41 0.84 0.46|2.0   0 101|   0     0 |   0     0 | 10    4    4   17    2
Jul 10 16:44:08 jammy-provider-cloud-0000007326 dstat.sh[57632]: 10-07 16:44:08| 36  10  52   2   0|1139M 1731M  157M 4727M|5947B 1621B|   0  3863k|   0   166 |2190  3382 |1.41 0.84 0.46|2.0   0 124|   0     0 |   0     0 | 10    6    4   17    2
Jul 10 16:44:09 jammy-provider-cloud-0000007326 dstat.sh[57632]: 10-07 16:44:09| 39  10  49   1   0|1188M 1652M  158M 4753M|6912B 2674B|  80k 4800k|1.00   144 |2231  3798 |1.41 0.84 0.46|1.0   0 161|   0     0 |   0     0 | 10    7    4   19    2
Jul 10 16:44:10 jammy-provider-cloud-0000007326 dstat.sh[57632]: 10-07 16:44:10| 42   5  52   0   0|1161M 1692M  158M 4740M|  12k 3454B|   0    18M|   0   707 |2277  3363 |1.46 0.86 0.47|1.0 1.0  10|   0     0 |   0     0 | 10    6    4   19    0
Jul 10 16:44:11 jammy-provider-cloud-0000007326 dstat.sh[57632]: 10-07 16:44:11| 34  10  42  13   0|1168M 1674M  159M 4750M|6751B 1621B|   0    56M|   0  4405 |  23k   51k|1.46 0.86 0.47|2.0   0  79|   0     0 |   0     0 | 10    6    4   19    0
Jul 10 16:44:12 jammy-provider-cloud-0000007326 dstat.sh[57632]: 10-07 16:44:12| 46   8  44   1   0|1105M 1736M  159M 4750M|5992B 1511B|   0    11M|   0   788 |  10k   22k|1.46 0.86 0.47|2.0   0  90|   0     0 |   0     0 | 10    4    4   19    0
Jul 10 16:44:13 jammy-provider-cloud-0000007326 dstat.sh[57632]: 10-07 16:44:13| 50   5  44   0   0|1152M 1689M  159M 4750M|6743B 1563B|   0  4088B|   0  1.00 |1715  4404 |1.46 0.86 0.47|2.0   0  46|   0     0 |   0     0 | 10    4    4   19    0
Jul 10 16:44:14 jammy-provider-cloud-0000007326 dstat.sh[57632]: 10-07 16:44:14| 25   5  70   1   0|1104M 1738M  160M 4750M|  42k 1623B|   0  3631k|   0   194 |1540  2173 |1.46 0.86 0.47|1.0   0  60|   0     0 |   0     0 | 10    4    4   19    0
Jul 10 16:44:15 jammy-provider-cloud-0000007326 dstat.sh[57632]: 10-07 16:44:15| 21   5  73   0   0|1042M 1800M  160M 4750M|5635B 1617B|   0   220k|   0  15.0 |1409  2062 |1.50 0.88 0.48|1.0   0  96|   0     0 |   0     0 | 10    4    4   19    0
Jul 10 16:44:16 jammy-provider-cloud-0000007326 dstat.sh[57632]: 10-07 16:44:16|  9  20  71   0   0|1048M 1793M  160M 4750M|6198B 1622B|   0   112k|   0  12.0 |2779  4360 |1.50 0.88 0.48|1.0   0 382|   0     0 |   0     0 | 10    4    4   19    0
Jul 10 16:44:17 jammy-provider-cloud-0000007326 dstat.sh[57632]: 10-07 16:44:17| 15  18  67   0   0|1063M 1778M  160M 4751M|6376B 1622B|   0    44k|   0  9.01 |5090    11k|1.50 0.88 0.48|3.0   0 310|   0     0 |   0     0 | 10    4    4   19    0
Jul 10 16:44:18 jammy-provider-cloud-0000007326 dstat.sh[57632]: 10-07 16:44:18| 41   9  49   0   0|1164M 1677M  160M 4751M|6649B 1619B|   0     0 |   0     0 |2098  2868 |1.50 0.88 0.48|2.0   0 130|   0     0 |   0     0 | 10    5    4   19    0
Jul 10 16:44:19 jammy-provider-cloud-0000007326 dstat.sh[57632]: 10-07 16:44:19| 47   4  49   0   0|1228M 1612M  160M 4752M|  10k 1694B|   0   744k|   0  84.0 |1274  1377 |1.50 0.88 0.48|2.0   0   0|   0     0 |   0     0 | 10    5    4   19    0
Jul 10 16:44:20 jammy-provider-cloud-0000007326 dstat.sh[57632]: 10-07 16:44:20| 27   9  64   0   0|1248M 1590M  160M 4753M|9421B 1508B|   0  7534k|   0  69.8 |2611  5867 |1.38 0.86 0.47|  0   0 118|   0     0 |   0     0 | 10    4    4   18    0
Jul 10 16:44:21 jammy-provider-cloud-0000007326 dstat.sh[57632]: 10-07 16:44:21|  1   1  98   0   0|1248M 1590M  160M 4753M|6091B 1566B|   0  1492k|   0  16.0 | 663  1185 |1.38 0.86 0.47|  0   0   0|   0     0 |   0     0 | 10    4    4   18    0
Jul 10 16:44:22 jammy-provider-cloud-0000007326 dstat.sh[57632]: 10-07 16:44:22| 20   4  74   0   0|1314M 1524M  160M 4753M|5482B 1621B|   0   448k|   0  23.0 |1294  1666 |1.38 0.86 0.47|1.0   0  24|   0     0 |   0     0 | 10    4    4   14    0
Jul 10 16:44:23 jammy-provider-cloud-0000007326 dstat.sh[57632]: 10-07 16:44:23| 24   2  74   0   0|1349M 1489M  160M 4754M|6168B 1848B|   0   681k|   0  43.1 |1357  2122 |1.38 0.86 0.47|1.0   0 1.0|   0     0 |   0     0 | 10   10    5   14    0
Jul 10 16:44:24 jammy-provider-cloud-0000007326 dstat.sh[57632]: 10-07 16:44:24| 22   4  71   1   0|1285M 1552M  160M 4754M|5327B 1692B|   0  3336k|   0   305 |2543  4805 |1.38 0.86 0.47|1.0   0  42|   0     0 |   0     0 | 10    4    5   16    0
Jul 10 16:44:25 jammy-provider-cloud-0000007326 dstat.sh[57632]: 10-07 16:44:25| 23   4  72   0   0|1326M 1511M  160M 4754M|6518B 1619B| 232k   16M|58.0  37.0 |1793  2821 |1.35 0.86 0.48|1.0   0 3.0|   0     0 |   0     0 | 10   29    5   17    0
Jul 10 16:44:26 jammy-provider-cloud-0000007326 dstat.sh[57632]: 10-07 16:44:26| 22   5  73   0   0|1327M 1510M  160M 4754M|5014B 1694B|   0     0 |   0     0 |1155  1607 |1.35 0.86 0.48|1.0   0  43|   0     0 |   0     0 | 10   28    5   17    0
Jul 10 16:44:27 jammy-provider-cloud-0000007326 dstat.sh[57632]: 10-07 16:44:27| 32   8  61   0   0|1344M 1492M  160M 4754M|6291B 1589B|   0    12k|   0  3.01 |1948  2800 |1.35 0.86 0.48|2.0   0 156|   0     0 |   0     0 | 10   28    5   17    0
Jul 10 16:44:28 jammy-provider-cloud-0000007326 dstat.sh[57632]: 10-07 16:44:28| 45   6  47   0   0|1344M 1492M  160M 4755M|6582B 1704B|   0   384k|   0  21.0 |4215  8364 |1.35 0.86 0.48|2.0   0  41|   0     0 |   0     0 | 10   28    5   18    0
Jul 10 16:44:29 jammy-provider-cloud-0000007326 dstat.sh[57632]: 10-07 16:44:29| 75  19   6   0   0|1511M 1326M  160M 4755M|6676B 1566B|   0    44k|   0  11.0 |2575  4218 |1.35 0.86 0.48|6.0   0 448|   0     0 |   0     0 | 10   30    5   18    0
Jul 10 16:44:30 jammy-provider-cloud-0000007326 dstat.sh[57632]: 10-07 16:44:30| 82  14   3   0   0|1445M 1392M  160M 4755M|7455B 1694B|   0    31M|   0   101 |5418    12k|1.80 0.97 0.51|6.0   0 180|   0     0 |   0     0 | 10   28    5   19    0
Jul 10 16:44:31 jammy-provider-cloud-0000007326 dstat.sh[57632]: 10-07 16:44:31| 39  11  49   0   0|1302M 1534M  160M 4755M|6086B 1617B|   0   946k|   0  27.9 |3119  6394 |1.80 0.97 0.51|1.0   0 219|   0     0 |   0     0 | 10   28    5   20    0
Jul 10 16:44:32 jammy-provider-cloud-0000007326 dstat.sh[57632]: 10-07 16:44:32| 23   3  73   0   0|1345M 1491M  160M 4755M|8522B 1620B|   0   132k|   0  13.0 |2043  3618 |1.80 0.97 0.51|2.0   0 2.0|   0     0 |   0     0 | 10   28    5   21    0
Jul 10 16:44:33 jammy-provider-cloud-0000007326 dstat.sh[57632]: 10-07 16:44:33| 21   5  73   0   0|1346M 1490M  160M 4755M|6321B 1623B|   0  4267k|   0   135 |1470  2034 |1.80 0.97 0.51|1.0   0  68|   0     0 |   0     0 | 10   28    5   21    0
Jul 10 16:44:34 jammy-provider-cloud-0000007326 dstat.sh[57632]: 10-07 16:44:34| 16  12  70   0   0|1293M 1543M  160M 4755M|6307B 1512B|   0   344k|   0  30.0 |2909  4918 |1.80 0.97 0.51|2.0   0 271|   0     0 |   0     0 | 10   28    5   21    0
Jul 10 16:44:35 jammy-provider-cloud-0000007326 dstat.sh[57632]: 10-07 16:44:35| 32  25  42   0   0|1377M 1459M  160M 4755M|5517B 1695B|   0  4237k|   0  32.0 |3071  5395 |2.06 1.03 0.54|5.0   0 723|   0     0 |   0     0 | 10   28    5   21    0
Jul 10 16:44:36 jammy-provider-cloud-0000007326 dstat.sh[57632]: 10-07 16:44:36| 86  11   4   0   0|1557M 1278M  160M 4756M|5709B 1621B|   0  3347k|   0  78.1 |3631  8184 |2.06 1.03 0.54|5.0   0  44|   0     0 |   0     0 | 10   30    4   21    0
Jul 10 16:44:37 jammy-provider-cloud-0000007326 dstat.sh[57632]: 10-07 16:44:37| 85  11   3   0   0|1467M 1369M  160M 4756M|6117B 1565B|   0  1479k|   0   201 |4035  9538 |2.06 1.03 0.54|5.0   0 122|   0     0 |   0     0 | 10   29    4   21    0
Jul 10 16:44:38 jammy-provider-cloud-0000007326 dstat.sh[57632]: 10-07 16:44:38| 82  13   5   0   0|1557M 1277M  160M 4756M|5382B 1621B|   0   312k|   0  27.0 |5489    11k|2.06 1.03 0.54|6.0   0 190|   0     0 |   0     0 | 10   29    4   20    0
Jul 10 16:44:39 jammy-provider-cloud-0000007326 dstat.sh[57632]: 10-07 16:44:39| 82  12   5   0   0|1411M 1424M  160M 4756M|5858B 1693B|   0   196k|   0  11.0 |5870    14k|2.06 1.03 0.54|3.0   0 183|   0     0 |   0     0 | 10   28    4   21    0
Jul 10 16:44:40 jammy-provider-cloud-0000007326 dstat.sh[57632]: 10-07 16:44:40| 44   7  47   0   0|1362M 1473M  160M 4757M|5332B 1619B|   0  3017k|   0   194 |3484  7849 |2.22 1.08 0.56|2.0   0 115|   0     0 |   0     0 | 10   28    4   20    0
Jul 10 16:44:41 jammy-provider-cloud-0000007326 dstat.sh[57632]: 10-07 16:44:41| 44   8  48   0   0|1357M 1477M  160M 4757M|4789B 1622B|   0    68M|   0   607 |4024  8275 |2.22 1.08 0.56|3.0   0  35|   0     0 |   0     0 | 10   29    4   23    0
Jul 10 16:44:42 jammy-provider-cloud-0000007326 dstat.sh[57632]: 10-07 16:44:42| 60  15  24   0   0|1464M 1370M  160M 4757M|5390B 1512B|   0   380k|   0  20.0 |2648  4298 |2.22 1.08 0.56|3.0   0 345|   0     0 |   0     0 | 10   29    4   23    0
Jul 10 16:44:43 jammy-provider-cloud-0000007326 dstat.sh[57632]: 10-07 16:44:43| 62  15  23   0   0|1378M 1456M  160M 4758M|7148B 1620B|   0   596k|   0  47.0 |4793    11k|2.22 1.08 0.56|4.0   0 258|   0     0 |   0     0 | 10   28    4   27    0
Jul 10 16:44:44 jammy-provider-cloud-0000007326 dstat.sh[57632]: 10-07 16:44:44| 83   7  10   0   0|1538M 1295M  160M 4758M|  42k 1621B|   0   280k|   0  16.0 |3071  6313 |2.22 1.08 0.56|2.0   0   0|   0     0 |   0     0 | 10   32    4   29    0
Jul 10 16:44:45 jammy-provider-cloud-0000007326 dstat.sh[57632]: 10-07 16:44:45| 69  13  15   0   0|1410M 1423M  160M 4758M|5886B 1619B|   0   604k|   0  43.0 |4960    11k|2.28 1.12 0.57|3.0   0 324|   0     0 |   0     0 | 10   28    4   30    0
Jul 10 16:44:46 jammy-provider-cloud-0000007326 dstat.sh[57632]: 10-07 16:44:46| 63   9  29   0   0|1427M 1406M  160M 4758M|5659B 1562B|   0   734k|   0  43.9 |5349    11k|2.28 1.12 0.57|5.0   0 125|   0     0 |   0     0 | 10   28    4   35    0
Jul 10 16:44:47 jammy-provider-cloud-0000007326 dstat.sh[57632]: 10-07 16:44:47| 68  10  22   0   0|1476M 1357M  160M 4758M|5046B 1624B|   0   409k|   0  23.1 |2227  3538 |2.28 1.12 0.57|3.0   0 174|   0     0 |   0     0 | 10   28    4   35    0
Jul 10 16:44:48 jammy-provider-cloud-0000007326 dstat.sh[57632]: 10-07 16:44:48| 60  13  26   0   0|1386M 1447M  160M 4758M|5894B 1617B|   0   391k|   0  26.9 |4583    11k|2.28 1.12 0.57|3.0   0 286|   0     0 |   0     0 | 10   28    4   37    0
Jul 10 16:44:49 jammy-provider-cloud-0000007326 dstat.sh[57632]: 10-07 16:44:49| 65   7  27   0   0|1431M 1401M  160M 4759M|  13k 1619B|   0   412k|   0  36.0 |5201  9389 |2.28 1.12 0.57|3.0   0  30|   0     0 |   0     0 | 10   30    4   40    0
Jul 10 16:44:50 jammy-provider-cloud-0000007326 dstat.sh[57632]: 10-07 16:44:50| 65   9  25   0   0|1462M 1370M  160M 4759M|8900B 1516B|   0   281k|   0  17.0 |2922  4238 |2.34 1.15 0.58|4.0   0  82|   0     0 |   0     0 | 10   29    4   42    0
Jul 10 16:44:51 jammy-provider-cloud-0000007326 dstat.sh[57632]: 10-07 16:44:51| 57  12  30   0   0|1366M 1466M  160M 4759M|7185B 1662B|   0   608k|   0  48.0 |5007    10k|2.34 1.15 0.58|5.0   0 372|   0     0 |   0     0 | 10   28    4   44    0
Jul 10 16:44:52 jammy-provider-cloud-0000007326 dstat.sh[57632]: 10-07 16:44:52| 85  13   2   0   0|1573M 1259M  160M 4759M|5139B 1619B|   0  1543k|   0  38.0 |3252  6335 |2.34 1.15 0.58|7.0   0 208|   0     0 |   0     0 | 10   30    4   43    0
Jul 10 16:44:53 jammy-provider-cloud-0000007326 dstat.sh[57632]: 10-07 16:44:53| 82  13   4   0   0|1490M 1341M  160M 4759M|5256B 1621B|   0   916k|   0  56.0 |3887  7518 |2.34 1.15 0.58|6.0   0 349|   0     0 |   0     0 | 10   28    4   43    0
Jul 10 16:44:54 jammy-provider-cloud-0000007326 dstat.sh[57632]: 10-07 16:44:54| 83  15   4   0   0|1532M 1299M  160M 4760M|7397B 1563B|   0   730k|   0  38.9 |3842  8491 |2.34 1.15 0.58|6.0   0 207|   0     0 |   0     0 | 10   29    4   40    0
Jul 10 16:44:55 jammy-provider-cloud-0000007326 dstat.sh[57632]: 10-07 16:44:55| 76  18   6   0   0|1418M 1413M  160M 4760M|4415B 1698B|   0   249k|   0  12.0 |5693    16k|2.71 1.24 0.62|5.0   0 422|   0     0 |   0     0 | 10   29    4   40    0
Jul 10 16:44:56 jammy-provider-cloud-0000007326 dstat.sh[57632]: 10-07 16:44:56| 37  24  38   0   0|1302M 1529M  160M 4760M|5628B 1662B|   0   620k|   0  16.0 |6873    14k|2.71 1.24 0.62|1.0   0 861|   0     0 |   0     0 | 10   28    4   40    0
Jul 10 16:44:57 jammy-provider-cloud-0000007326 dstat.sh[57632]: 10-07 16:44:57| 37  28  34   0   0|1394M 1437M  160M 4760M|5579B 1512B|   0   236k|   0  21.0 |3360  6812 |2.71 1.24 0.62|6.0   0 954|   0     0 |   0     0 | 10   28    4   40    0
Jul 10 16:44:58 jammy-provider-cloud-0000007326 dstat.sh[57632]: 10-07 16:44:58| 81  11   8   0   0|1481M 1350M  160M 4760M|4701B 1620B|   0  1324k|   0  84.0 |5590    11k|2.71 1.24 0.62|4.0   0 157|   0     0 |   0     0 | 10   30    4   40    0
Jul 10 16:44:59 jammy-provider-cloud-0000007326 dstat.sh[57632]: 10-07 16:44:59| 82  13   4   0   0|1485M 1345M  160M 4760M|4680B 1620B|   0   452k|   0  41.0 |3720  6962 |2.71 1.24 0.62|4.0   0 201|   0     0 |   0     0 | 10   28    4   40    0
Jul 10 16:45:00 jammy-provider-cloud-0000007326 dstat.sh[57632]: 10-07 16:45:00| 66   8  28   0   0|1537M 1292M  160M 4761M|5277B 1662B|   0   156k|   0  8.00 |5845    16k|2.65 1.26 0.62|2.0   0   0|   0     0 |   0     0 | 10   32    4   43    0
Jul 10 16:45:01 jammy-provider-cloud-0000007326 dstat.sh[57632]: 10-07 16:45:01| 68   9  21   0   0|1372M 1458M  160M 4762M|7052B 1694B|   0   540k|   0  59.0 |6489    16k|2.65 1.26 0.62|4.0   0 118|   0     0 |   0     0 | 10   28    4   42    0
Jul 10 16:45:02 jammy-provider-cloud-0000007326 dstat.sh[57632]: 10-07 16:45:02| 84   9   6   0   0|1541M 1288M  160M 4762M|8488B 1620B|   0   156k|   0  10.0 |4326  9542 |2.65 1.26 0.62|6.0   0 4.0|   0     0 |   0     0 | 10   30    4   44    0
Jul 10 16:45:03 jammy-provider-cloud-0000007326 dstat.sh[57632]: 10-07 16:45:03| 60   7  32   0   0|1515M 1313M  160M 4763M|7489B 1712B|   0   152k|   0  7.99 |7719    21k|2.65 1.26 0.62|3.0   0  71|   0     0 |   0     0 | 10   31    4   50    0
