May 08 19:40:49 ubuntu systemd[1]: Started devstack@dstat.service - Devstack devstack@dstat.service.
May 08 19:40:49 ubuntu dstat.sh[65449]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ---total--- ------tcp-sockets-------
May 08 19:40:49 ubuntu dstat.sh[65449]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
May 08 19:40:49 ubuntu dstat.sh[65449]: 08-05 19:40:49|                   |1108M 1213M  164M 5139M|           |           |           |           |1.46 0.87 0.45|2.0   0    |           |           | 10    5    0   17    0
May 08 19:40:50 ubuntu dstat.sh[65449]: 08-05 19:40:50| 18  21  58   0   0|1109M 1212M  164M 5139M|  37k   11k|   0  1511k|   0  55.0 |5646  4569 |1.46 0.87 0.45|1.5   0 356|   0     0 |           | 10    6    0   17    0
May 08 19:40:51 ubuntu dstat.sh[65449]: 08-05 19:40:51| 19  22  57   0   0|1120M 1201M  164M 5140M|  19k   10k|   0  1549k|   0  52.0 |5448  4122 |1.46 0.87 0.45|2.0   0 338|   0     0 |           | 10    6    0   17    0
May 08 19:40:52 ubuntu dstat.sh[65449]: 08-05 19:40:52| 26  19  52   0   0|1025M 1295M  164M 5140M|  40k   13k|   0  1997k|   0  63.9 |5533  5804 |1.46 0.87 0.45|2.0   0 318|   0     0 |           | 10    5    0   17    1
May 08 19:40:53 ubuntu dstat.sh[65449]: 08-05 19:40:53| 32  17  50   1   0|1141M 1163M  164M 5274M| 137k   13k|   0  5212k|   0  60.0 |6698  8629 |1.46 0.87 0.45|1.0   0 181|   0     0 |           | 11    5    0   17    1
May 08 19:40:54 ubuntu dstat.sh[65449]: 08-05 19:40:54| 23   6  70   1   0|1123M 1166M  165M 5290M|  43k  660B|   0  1729k|   0  74.1 |2680  2306 |1.42 0.87 0.45|2.0   0  50|   0     0 |           | 11    6    0   17    2
May 08 19:40:55 ubuntu dstat.sh[65449]: 08-05 19:40:55| 40  12  48   1   0|1119M 1152M  165M 5305M|2581B    0 |   0  1412k|   0  40.0 |3957  2490 |1.42 0.87 0.45|3.0   0 112|   0     0 |           | 11    6    0   17    2
May 08 19:40:56 ubuntu dstat.sh[65449]: 08-05 19:40:56| 38  12  48   1   0|1167M 1079M  166M 5327M|2831B    0 |  32k 4494k|2.00   141 |4359  3431 |1.42 0.87 0.45|2.0   0 120|   0     0 |           | 11    6    0   19    2
May 08 19:40:57 ubuntu dstat.sh[65449]: 08-05 19:40:57| 45   6  48   1   0|1209M 1005M  167M 5354M|2878B    0 |   0  4358k|   0   111 |3289  2488 |1.42 0.87 0.45|2.0   0 1.0|   0     0 |           | 11    6    0   19    2
May 08 19:40:58 ubuntu dstat.sh[65449]: 08-05 19:40:58| 36   7  45  10   0|1228M  986M  169M 5351M|2853B  481B|   0    48M|   0  3243 |  11k   20k|1.42 0.87 0.45|2.0   0  41|   0     0 |           | 11    6    0   19    0
May 08 19:40:59 ubuntu dstat.sh[65449]: 08-05 19:40:59| 35   8  45  10   0|1233M  977M  169M 5355M|2936B 1072B|   0    42M|   0  3111 |  13k   25k|1.55 0.91 0.47|3.0   0  79|   0     0 |           | 11    5    0   19    0
