Feb 20 04:33:10 ubuntu systemd[1]: Started devstack@dstat.service - Devstack devstack@dstat.service.
Feb 20 04:33:10 ubuntu dstat.sh[59612]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ---total--- ------tcp-sockets-------
Feb 20 04:33:10 ubuntu dstat.sh[59612]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Feb 20 04:33:10 ubuntu dstat.sh[59612]: 20-02 04:33:10|                   | 992M 1653M  159M 4837M|           |           |           |           |1.30 0.89 0.50|3.0   0    |           |           | 10    7    0   17    1
Feb 20 04:33:11 ubuntu dstat.sh[59612]: 20-02 04:33:11| 30  21  47   0   0| 988M 1655M  159M 4839M|1788k   27k|   0  5455k|   0   103 |7443  6092 |1.30 0.89 0.50|3.0   0 553|   0     0 |           | 10    6    0   17    1
Feb 20 04:33:12 ubuntu dstat.sh[59612]: 20-02 04:33:12| 27  19  52   1   0| 984M 1657M  159M 4841M|  41k   13k|   0  2168k|   0  89.0 |6866  6487 |1.52 0.94 0.52|4.0   0 465|   0     0 |           | 10    5    0   17    1
Feb 20 04:33:13 ubuntu dstat.sh[59612]: 20-02 04:33:13| 32  15  51   0   0|1117M 1507M  159M 4979M| 178k   15k|   0  1899k|   0  50.0 |6414  8623 |1.52 0.94 0.52|2.0   0 200|   0     0 |           | 11    4    0   17    2
Feb 20 04:33:14 ubuntu dstat.sh[59612]: 20-02 04:33:14| 35  11  53   1   0|1139M 1466M  160M 4994M|5815B 1351B|  16k 2006k|1.00  66.1 |3997  2852 |1.52 0.94 0.52|3.0   0 106|   0     0 |           | 11    6    0   17    2
Feb 20 04:33:15 ubuntu dstat.sh[59612]: 20-02 04:33:15| 39  12  48   0   0|1158M 1427M  161M 5010M|5994B 1711B| 248k 2568k|12.0  53.9 |4552  3364 |1.52 0.94 0.52|4.0   0 180|   0     0 |           | 11    6    0   19    2
Feb 20 04:33:16 ubuntu dstat.sh[59612]: 20-02 04:33:16| 44   6  48   1   0|1229M 1330M  161M 5033M|4374B 1134B| 348k 7812k|12.0   137 |3295  2186 |1.52 0.94 0.52|3.0   0   0|   0     0 |           | 11    6    0   19    2
Feb 20 04:33:17 ubuntu dstat.sh[59612]: 20-02 04:33:17| 40   5  48   6   0|1250M 1274M  163M 5064M|5181B 1406B|  16k   23M|1.00  1533 |8195    14k|1.48 0.94 0.52|2.0   0  28|   0     0 |           | 11    8    0   19    2
Feb 20 04:33:18 ubuntu dstat.sh[59612]: 20-02 04:33:18| 39   7  43   8   0|1169M 1336M  165M 5079M|4855B 1511B|   0    52M|   0  3535 |  13k   26k|1.48 0.94 0.52|3.0   0  83|   0     0 |           | 11    6    0   19    2
Feb 20 04:33:19 ubuntu dstat.sh[59612]: 20-02 04:33:19| 40   7  51   1   0|1209M 1313M  165M 5062M|  10k 4019B|   0    11M|   0   693 |4030  4550 |1.48 0.94 0.52|5.0   0  49|   0     0 |           | 11    4    0   19    0
Feb 20 04:33:20 ubuntu dstat.sh[59612]: 20-02 04:33:20| 43   4  53   0   0|1261M 1259M  165M 5064M|9773B 3347B|   0  1156k|   0  52.0 |2806  1578 |1.48 0.94 0.52|3.0   0  33|   0     0 |           | 11    5    0   19    0
Feb 20 04:33:21 ubuntu dstat.sh[59612]: 20-02 04:33:21| 44   8  49   1   0|1232M 1284M  165M 5067M|5629B 2288B|   0  7658k|   0   427 |3657  3147 |1.48 0.94 0.52|5.0   0  29|   0     0 |           | 11    5    0   19    0
Feb 20 04:33:22 ubuntu dstat.sh[59612]: 20-02 04:33:22| 42   5  50   0   0|1247M 1262M  165M 5072M|  11k 4178B|   0  3454k|   0   238 |  11k   18k|1.52 0.96 0.53|3.0   0 6.0|   0     0 |           | 11    4    0   19    0
Feb 20 04:33:23 ubuntu dstat.sh[59612]: 20-02 04:33:23| 32  24  42   0   0|1190M 1318M  165M 5073M|4339B 1514B|   0   128k|   0  11.0 |  14k   22k|1.52 0.96 0.53|4.0   0 603|   0     0 |           | 11    4    0   19    0
Feb 20 04:33:24 ubuntu dstat.sh[59612]: 20-02 04:33:24| 37  19  43   0   0|1105M 1416M  165M 5062M|4330B 1620B|   0  4764k|   0   331 |6347  7525 |1.52 0.96 0.53|4.0   0 276|   0     0 |           | 11    4    0   19    0
