May 19 08:51:10 ubuntu systemd[1]: Started devstack@dstat.service - Devstack devstack@dstat.service.
May 19 08:51:10 ubuntu dstat.sh[65085]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ---total--- ------tcp-sockets-------
May 19 08:51:10 ubuntu dstat.sh[65085]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
May 19 08:51:10 ubuntu dstat.sh[65085]: 19-05 08:51:10|                   | 996M 1324M  166M 5138M|           |           |           |           |1.17 0.89 0.49|1.0   0    |           |           | 10    4    0   18    0
May 19 08:51:11 ubuntu dstat.sh[65085]: 19-05 08:51:11| 15  21  63   0   0| 994M 1326M  166M 5138M|  15k 3688B|   0  2802k|   0   220 |6919  6309 |1.17 0.89 0.49|1.5   0 562|   0     0 |           | 10    4    0   18    0
May 19 08:51:12 ubuntu dstat.sh[65085]: 19-05 08:51:12| 23  18  57   0   0| 970M 1350M  166M 5138M|  29k   11k|   0  2219k|   0   140 |6553  6235 |1.17 0.89 0.49|3.0   0 466|   0     0 |           | 10    6    0   18    0
May 19 08:51:13 ubuntu dstat.sh[65085]: 19-05 08:51:13| 25  14  60   0   0|1068M 1251M  166M 5261M|  33k   14k|   0  1530k|   0  48.9 |5914  6483 |1.24 0.91 0.50|  0 1.0 205|   0     0 |           | 11    6    0   17    0
May 19 08:51:14 ubuntu dstat.sh[65085]: 19-05 08:51:14| 16   4  78   1   0|1092M 1226M  166M 5261M|  29k   13k|   0  1399k|   0  46.0 |2351  1952 |1.24 0.91 0.50|1.0   0  65|   0     0 |           | 11    8    0   17    0
May 19 08:51:15 ubuntu dstat.sh[65085]: 19-05 08:51:15| 32  10  57   1   0|1096M 1221M  167M 5262M|  37k   14k|   0  1885k|   0  69.2 |4248  3098 |1.24 0.91 0.50|2.0   0 181|   0     0 |           | 11    7    0   18    1
May 19 08:51:16 ubuntu dstat.sh[65085]: 19-05 08:51:16| 38   7  52   1   0|1155M 1133M  168M 5288M| 171k 7449B|  32k 4002k|2.00   115 |3540  2499 |1.24 0.91 0.50|2.0   0  35|   0     0 |           | 11    6    0   19    2
May 19 08:51:17 ubuntu dstat.sh[65085]: 19-05 08:51:17| 46   5  48   0   0|1191M 1077M  168M 5304M|4730B 1617B|   0  6694k|   0   164 |3192  1884 |1.24 0.91 0.50|2.0   0 1.0|   0     0 |           | 11    6    0   19    2
May 19 08:51:18 ubuntu dstat.sh[65085]: 19-05 08:51:18| 34   6  46  12   0|1202M 1035M  170M 5331M|4867B 1622B|   0    47M|   0  3503 |  15k   29k|1.30 0.92 0.51|2.0   0  55|   0     0 |           | 11    8    0   19    2
May 19 08:51:19 ubuntu dstat.sh[65085]: 19-05 08:51:19| 40   9  44   6   0|1144M 1076M  171M 5344M|5031B 1617B|   0    37M|   0  2641 |9287    16k|1.30 0.92 0.51|1.0 1.0 102|   0     0 |           | 11    6    0   19    2
