Apr 22 19:10:37 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Apr 22 19:10:37 ubuntu dstat.sh[69642]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Apr 22 19:10:37 ubuntu dstat.sh[69642]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Apr 22 19:10:37 ubuntu dstat.sh[69642]: 22-04 19:10:37|                   | 962M 1486M  164M 5005M|           |           |           |           |1.86 0.99 0.53|2.0   0    |           |   0     0 |  9    5    3   16    1
Apr 22 19:10:38 ubuntu dstat.sh[69642]: 22-04 19:10:38| 27  22  49   1   0| 978M 1462M  164M 5012M| 331k 6839B|   0  4899k|   0   161 |3599  5555 |1.86 0.99 0.53|3.0   0 420|   0     0 |   0     0 |  9    4    3   16    2
Apr 22 19:10:39 ubuntu dstat.sh[69642]: 22-04 19:10:39| 30  22  46   1   0| 979M 1423M  165M 5045M|  11k 1620B|   0  5880k|   0   169 |4049  6519 |1.86 0.99 0.53| 15   0 392|   0     0 |   0     0 |  9    4    3   16    2
Apr 22 19:10:40 ubuntu dstat.sh[69642]: 22-04 19:10:40| 34  18  46   1   0| 978M 1397M  166M 5068M|  12k 2704B|   0  3086k|   0  87.8 |5137  8556 |1.95 1.02 0.54|4.0   0 211|   0     0 |   0     0 |  9    5    3   16    2
Apr 22 19:10:41 ubuntu dstat.sh[69642]: 22-04 19:10:41| 27   9  62   0   0|1085M 1303M  166M 5177M|  14k 3268B|   0  1400k|   0  33.0 |3419  5221 |1.95 1.02 0.54|1.0   0  49|   0     0 |   0     0 | 10    2    4   16    0
Apr 22 19:10:42 ubuntu dstat.sh[69642]: 22-04 19:10:42| 36  12  51   0   0|1092M 1295M  166M 5178M|8270B 1697B|   0   148k|   0  10.0 |7839    15k|1.95 1.02 0.54|3.0   0 127|   0     0 |   0     0 | 10    4    4   16    0
Apr 22 19:10:43 ubuntu dstat.sh[69642]: 22-04 19:10:43| 38  15  46   0   0|1082M 1304M  166M 5178M|4683B 1456B|  80k 2392k|1.00  26.0 |9308    18k|1.95 1.02 0.54|2.0   0 190|   0     0 |   0     0 | 10    4    4   18    0
Apr 22 19:10:44 ubuntu dstat.sh[69642]: 22-04 19:10:44| 47   5  49   0   0|1121M 1265M  166M 5179M|5667B 1771B|   0  4619k|   0  24.0 |1416  1571 |1.95 1.02 0.54|1.0 1.0  16|   0     0 |   0     0 | 10    6    4   18    0
Apr 22 19:10:45 ubuntu dstat.sh[69642]: 22-04 19:10:45| 13   6  66  12   0|1131M 1247M  167M 5186M|  12k 1620B|   0    24M|   0  2351 |  14k   23k|2.03 1.05 0.55|2.0   0  95|   0     0 |   0     0 | 10    6    4   18    0
Apr 22 19:10:46 ubuntu dstat.sh[69642]: 22-04 19:10:46| 18   7  65   9   0|1040M 1335M  168M 5188M|  11k 1618B|   0    37M|   0  3089 |  12k   20k|2.03 1.05 0.55|1.0   0  61|   0     0 |   0     0 | 10    4    4   18    0
Apr 22 19:10:47 ubuntu dstat.sh[69642]: 22-04 19:10:47| 21   6  70   3   0|1103M 1272M  168M 5188M|  11k 1622B|   0    13M|   0   776 |2846  4967 |2.03 1.05 0.55|1.0   0  37|   0     0 |   0     0 | 10    4    4   18    0
Apr 22 19:10:48 ubuntu dstat.sh[69642]: 22-04 19:10:48| 23   2  74   0   0|1049M 1326M  168M 5188M|  10k 1529B|   0   595k|   0  25.9 |1092  1285 |2.03 1.05 0.55|1.0   0  10|   0     0 |   0     0 | 10    4    4   18    0
Apr 22 19:10:49 ubuntu dstat.sh[69642]: 22-04 19:10:49| 23   4  73   0   0|1123M 1252M  168M 5188M|  13k 1620B|   0  4711k|   0   257 |1653  2451 |2.03 1.05 0.55|1.0   0 2.0|   0     0 |   0     0 | 10    4    4   18    0
Apr 22 19:10:50 ubuntu dstat.sh[69642]: 22-04 19:10:50| 20   8  73   0   0|1049M 1325M  168M 5188M|8090B 1623B|   0   100k|   0  10.0 |1605  2114 |1.95 1.05 0.56|1.0   0 124|   0     0 |   0     0 | 10    4    4   18    0
Apr 22 19:10:51 ubuntu dstat.sh[69642]: 22-04 19:10:51| 10  17  70   0   0|1051M 1324M  168M 5188M|5049B 1511B|   0    24k|   0  6.00 |2819  4407 |1.95 1.05 0.56|2.0   0 375|   0     0 |   0     0 | 10    4    4   18    0
Apr 22 19:10:52 ubuntu dstat.sh[69642]: 22-04 19:10:52| 15  18  66   0   0|1055M 1319M  168M 5189M|4548B 1564B|   0    24k|   0  5.99 |5239  9103 |1.95 1.05 0.56|1.0   0 285|   0     0 |   0     0 | 10    4    4   18    0
Apr 22 19:10:53 ubuntu dstat.sh[69642]: 22-04 19:10:53| 43  10  46   0   0|1168M 1206M  168M 5189M|  12k 1620B|   0    12k|   0  2.00 |2249  2898 |1.95 1.05 0.56|4.0   0 134|   0     0 |   0     0 | 10    5    3   18    0
Apr 22 19:10:54 ubuntu dstat.sh[69642]: 22-04 19:10:54| 48   5  47   0   0|1232M 1140M  168M 5191M|8017B 1458B|   0    11M|   0  71.0 |1343  3445 |1.95 1.05 0.56|4.0   0   0|   0     0 |   0     0 | 10    5    3   18    0
Apr 22 19:10:55 ubuntu dstat.sh[69642]: 22-04 19:10:55| 15   8  76   0   0|1241M 1129M  168M 5192M|  13k 1620B|   0  1400k|   0  28.0 |1756  3384 |1.79 1.03 0.55|2.0   0 119|   0     0 |   0     0 | 10    4    3   19    0
Apr 22 19:10:56 ubuntu dstat.sh[69642]: 22-04 19:10:56|  2   2  95   0   0|1245M 1126M  168M 5192M|9891B 1697B|   0    92k|   0  11.0 |1157  1640 |1.79 1.03 0.55|2.0   0  22|   0     0 |   0     0 | 10    4    3   19    0
Apr 22 19:10:57 ubuntu dstat.sh[69642]: 22-04 19:10:57| 22   3  73   0   0|1324M 1047M  168M 5192M|  11k 1457B|   0   484k|   0  27.0 |1090  1364 |1.79 1.03 0.55|3.0   0 2.0|   0     0 |   0     0 | 10    4    3   19    0
Apr 22 19:10:58 ubuntu dstat.sh[69642]: 22-04 19:10:58| 24   2  73   1   0|1347M 1023M  168M 5192M|  12k 1620B|   0  1100k|   0   164 |2519  4337 |1.79 1.03 0.55|1.0   0 1.0|   0     0 |   0     0 | 10   10    3   19    0
Apr 22 19:10:59 ubuntu dstat.sh[69642]: 22-04 19:10:59| 22   6  71   1   0|1293M 1077M  168M 5192M|5315B 1622B|   0    48M|   0   846 |2681  3179 |1.79 1.03 0.55|1.0   0  44|   0     0 |   0     0 | 10    4    3   17    0
Apr 22 19:11:00 ubuntu dstat.sh[69642]: 22-04 19:11:00| 22   3  72   1   0|1266M 1104M  168M 5193M|  13k 1457B| 232k 2709k|57.9  60.9 |2180  3229 |1.73 1.03 0.56|1.0   0  12|   0     0 |   0     0 | 10   28    3   17    0
Apr 22 19:11:01 ubuntu dstat.sh[69642]: 22-04 19:11:01| 22   4  73   0   0|1322M 1047M  168M 5193M|8226B 1622B|   0  1258k|   0  21.0 |1458  1978 |1.73 1.03 0.56|2.0   0  36|   0     0 |   0     0 | 10   29    3   15    0
Apr 22 19:11:02 ubuntu dstat.sh[69642]: 22-04 19:11:02| 34  10  57   0   0|1348M 1021M  168M 5193M|4532B 1620B|   0  3496k|   0   143 |2293  2810 |1.73 1.03 0.56|2.0   0 160|   0     0 |   0     0 | 10   28    3   15    0
Apr 22 19:11:03 ubuntu dstat.sh[69642]: 22-04 19:11:03| 42   9  47   0   0|1285M 1085M  168M 5193M|  11k 1620B|   0  1312k|   0  25.0 |4514  9179 |1.73 1.03 0.56|4.0   0 182|   0     0 |   0     0 | 10   28    3   15    0
Apr 22 19:11:04 ubuntu dstat.sh[69642]: 22-04 19:11:04| 76  21   2   0   0|1506M  863M  168M 5193M|8782B 1620B|   0  6308k|   0  42.0 |2651  4742 |1.73 1.03 0.56|6.0   0 361|   0     0 |   0     0 | 10   28    3   15    0
Apr 22 19:11:05 ubuntu dstat.sh[69642]: 22-04 19:11:05| 81  16   3   0   0|1436M  933M  168M 5193M|  12k 1458B|   0  2860k|   0  40.0 |5383    11k|2.15 1.13 0.59|6.0   0 185|   0     0 |   0     0 | 10   28    3   15    0
