Apr 21 11:47:08 ubuntu systemd[1]: Started devstack@dstat.service - Devstack devstack@dstat.service.
Apr 21 11:47:09 ubuntu dstat.sh[65411]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ---total--- ------tcp-sockets-------
Apr 21 11:47:09 ubuntu dstat.sh[65411]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Apr 21 11:47:09 ubuntu dstat.sh[65411]: 21-04 11:47:09|                   | 934M 1402M  162M 5127M|           |           |           |           |1.26 0.90 0.53|1.0   0    |           |           | 10    4    0   17    0
Apr 21 11:47:10 ubuntu dstat.sh[65411]: 21-04 11:47:10| 21  22  56   0   0| 947M 1388M  162M 5127M|  24k 9217B|   0  2201k|   0   139 |6056  4678 |1.26 0.90 0.53|1.5   0 442|   0     0 |           | 10    4    0   17    0
Apr 21 11:47:11 ubuntu dstat.sh[65411]: 21-04 11:47:11| 22  21  55   0   0| 970M 1364M  163M 5128M|  44k   16k|   0  2581k|   0   148 |6167  5340 |1.26 0.90 0.53|1.0   0 424|   0     0 |           | 10    6    0   17    0
Apr 21 11:47:12 ubuntu dstat.sh[65411]: 21-04 11:47:12| 30  18  50   1   0| 974M 1359M  163M 5128M|  34k   14k|   0  1632k|   0  52.1 |6222  7424 |1.26 0.90 0.53|4.0   0 290|   0     0 |           | 10    6    0   17    0
Apr 21 11:47:13 ubuntu dstat.sh[65411]: 21-04 11:47:13| 28  12  58   0   0|1117M 1216M  163M 5251M|  32k   13k|   0  1791k|   0  55.9 |4392  3902 |1.32 0.92 0.53|2.0   0  95|   0     0 |           | 11    7    0   17    1
Apr 21 11:47:14 ubuntu dstat.sh[65411]: 21-04 11:47:14| 34  13  51   1   0|1132M 1176M  164M 5273M| 174k 9019B|   0  2896k|   0   106 |4789  3593 |1.32 0.92 0.53|2.0   0 201|   0     0 |           | 11    7    0   19    1
Apr 21 11:47:15 ubuntu dstat.sh[65411]: 21-04 11:47:15| 43   7  49   0   0|1204M 1081M  164M 5292M|5560B 1536B|  32k 2860k|2.00  47.0 |3152  1945 |1.32 0.92 0.53|2.0   0   0|   0     0 |           | 11    6    0   19    2
Apr 21 11:47:16 ubuntu dstat.sh[65411]: 21-04 11:47:16| 45   5  48   1   0|1238M 1026M  165M 5311M|4689B 1134B|   0    15M|   0   661 |3407  1923 |1.32 0.92 0.53|2.0   0   0|   0     0 |           | 11    6    0   19    2
Apr 21 11:47:17 ubuntu dstat.sh[65411]: 21-04 11:47:17| 33   7  45  14   0|1249M  990M  167M 5331M|5529B 1623B|   0    44M|   0  3009 |  13k   25k|1.32 0.92 0.53|2.0 1.0  52|   0     0 |           | 11    8    0   19    2
Apr 21 11:47:18 ubuntu dstat.sh[65411]: 21-04 11:47:18| 37   9  44   8   0|1185M 1023M  168M 5358M|4996B 1457B|   0    42M|   0  2550 |  12k   20k|1.54 0.97 0.55|2.0   0 105|   0     0 |           | 11    6    0   19    2
Apr 21 11:47:19 ubuntu dstat.sh[65411]: 21-04 11:47:19| 40   6  54   0   0|1257M  964M  169M 5344M|  11k 4355B|   0  1944k|   0  67.1 |2643  1708 |1.54 0.97 0.55|3.0   0 2.0|   0     0 |           | 11    4    0   19    0
Apr 21 11:47:20 ubuntu dstat.sh[65411]: 21-04 11:47:20| 40   6  52   1   0|1274M  947M  169M 5344M|  10k 3627B|   0  8664k|   0   498 |3510  3174 |1.54 0.97 0.55|6.0   0  43|   0     0 |           | 11    5    0   19    0
Apr 21 11:47:21 ubuntu dstat.sh[65411]: 21-04 11:47:21| 43   7  49   0   0|1229M  987M  169M 5349M|5034B 1792B|   0  1491k|   0  18.0 |2845  1711 |1.54 0.97 0.55|2.0   0 4.0|   0     0 |           | 11    4    0   19    0
Apr 21 11:47:22 ubuntu dstat.sh[65411]: 21-04 11:47:22| 41   5  54   0   0|1232M  977M  169M 5354M|  12k 4583B|   0   974k|   0  19.0 |4451  5090 |1.54 0.97 0.55|3.0   0  22|   0     0 |           | 11    4    0   19    0
Apr 21 11:47:23 ubuntu dstat.sh[65411]: 21-04 11:47:23| 29  27  41   0   0|1195M 1013M  169M 5355M|5461B 1620B|   0   104k|   0  6.00 |  20k   33k|1.49 0.97 0.56|3.0   0 478|   0     0 |           | 11    4    0   19    0
Apr 21 11:47:24 ubuntu dstat.sh[65411]: 21-04 11:47:24| 31  24  44   0   0|1165M 1055M  169M 5344M|4910B 1617B|   0  2016k|   0  20.0 |6640  6588 |1.49 0.97 0.56|2.0   0 329|   0     0 |           | 11    4    0   19    0
Apr 21 11:47:25 ubuntu dstat.sh[65411]: 21-04 11:47:25| 54  18  28   0   0|1163M 1058M  169M 5344M|4680B 1620B|   0  8193B|   0  2.00 |5305  4782 |1.49 0.97 0.56|3.0   0 266|   0     0 |           | 11    5    0   19    0
Apr 21 11:47:26 ubuntu dstat.sh[65411]: 21-04 11:47:26| 45   6  48   0   0|1229M  990M  169M 5345M|5289B 1618B|   0  9766k|   0  41.9 |2890  1346 |1.49 0.97 0.56|2.0   0 1.0|   0     0 |           | 11    5    0   19    0
Apr 21 11:47:27 ubuntu dstat.sh[65411]: 21-04 11:47:27| 42   9  48   0   0|1261M  958M  169M 5346M|4470B 1511B|   0   184k|   0  2.00 |3059  2238 |1.49 0.97 0.56|4.0   0   0|   0     0 |           | 11    5    0   19    0
Apr 21 11:47:28 ubuntu dstat.sh[65411]: 21-04 11:47:28| 19   9  71   1   0|1264M  953M  169M 5347M|4323B 1621B|   0  3451k|   0   243 |4177  4812 |1.61 1.00 0.57|  0   0 118|   0     0 |           | 11    4    0   20    0
Apr 21 11:47:29 ubuntu dstat.sh[65411]: 21-04 11:47:29| 14   5  81   0   0|1273M  944M  169M 5347M|4499B 1570B|   0     0 |   0     0 |1668  1560 |1.61 1.00 0.57|1.0   0  22|   0     0 |           | 11    4    0   18    0
Apr 21 11:47:30 ubuntu dstat.sh[65411]: 21-04 11:47:30| 23   3  73   0   0|1316M  901M  169M 5347M|4487B 1615B|   0     0 |   0     0 |1809  1253 |1.61 1.00 0.57|1.0   0   0|   0     0 |           | 11    4    0   18    0
Apr 21 11:47:31 ubuntu dstat.sh[65411]: 21-04 11:47:31| 23   4  71   1   0|1341M  876M  169M 5347M|4674B 1606B|   0    16M|   0   347 |3770  4727 |1.61 1.00 0.57|1.0   0 2.0|   0     0 |           | 11   10    0   18    0
Apr 21 11:47:32 ubuntu dstat.sh[65411]: 21-04 11:47:32| 21   6  73   0   0|1340M  877M  169M 5347M|4609B 1567B|   0   100k|   0  15.0 |2477  1912 |1.61 1.00 0.57|1.0   0  42|   0     0 |           | 11    4    0   20    0
Apr 21 11:47:33 ubuntu dstat.sh[65411]: 21-04 11:47:33| 20   2  76   0   0|1380M  837M  169M 5348M|6232B 3465B| 143k  251k|6.97  4.98 |1650  1112 |1.57 1.00 0.57|  0   0 1.0|   0     0 |           | 11    5    0   16    0
Apr 21 11:47:34 ubuntu dstat.sh[65411]: 21-04 11:47:34| 21   3  74   1   0|1377M  839M  169M 5348M|8452B 4487B| 270k 4787k|66.4   258 |2910  3323 |1.57 1.00 0.57|1.0   0 2.0|   0     0 |           | 11   27    0   16    0
Apr 21 11:47:35 ubuntu dstat.sh[65411]: 21-04 11:47:35| 20   5  74   0   0|1328M  888M  169M 5348M|8440B 5470B|   0  2294k|   0  80.9 |2684  2234 |1.57 1.00 0.57|1.0   0  44|   0     0 |           | 11   28    0   17    0
