Jun 14 20:39:18 ubuntu systemd[1]: Started devstack@dstat.service - Devstack devstack@dstat.service.
Jun 14 20:39:18 ubuntu dstat.sh[64944]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ---total--- ------tcp-sockets-------
Jun 14 20:39:18 ubuntu dstat.sh[64944]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Jun 14 20:39:18 ubuntu dstat.sh[64944]: 14-06 20:39:18|                   |1011M 1316M  163M 5133M|           |           |           |           |1.59 1.03 0.57|1.0 1.0    |           |           | 10    6    0   17    0
Jun 14 20:39:19 ubuntu dstat.sh[64944]: 14-06 20:39:19| 22  21  55   1   0|1020M 1307M  163M 5133M|  43k   14k|   0  2995k|   0   110 |6477  5525 |1.59 1.03 0.57|2.5 0.5 481|   0     0 |           | 10    6    0   17    0
Jun 14 20:39:20 ubuntu dstat.sh[64944]: 14-06 20:39:20| 28  21  49   1   0|1024M 1302M  164M 5134M|  22k   13k|   0  1761k|   0  84.6 |6194  5496 |1.59 1.03 0.57|1.0   0 407|   0     0 |           | 10    6    0   17    0
Jun 14 20:39:21 ubuntu dstat.sh[64944]: 14-06 20:39:21| 33  19  47   0   0|1018M 1283M  164M 5158M| 176k   10k|   0  5371k|   0  77.9 |5267  5305 |1.86 1.09 0.59|2.0   0 230|   0     0 |           | 10    5    0   17    1
Jun 14 20:39:22 ubuntu dstat.sh[64944]: 14-06 20:39:22| 34  14  48   0   0|1113M 1169M  165M 5295M|4714B 1751B|   0  2003k|   0  60.0 |5117  6677 |1.86 1.09 0.59|2.0   0 120|   0     0 |           | 11    6    0   17    2
Jun 14 20:39:23 ubuntu dstat.sh[64944]: 14-06 20:39:23| 39  11  48   0   0|1113M 1150M  165M 5311M|4883B 1460B|   0  1041k|   0  40.0 |3973  2476 |1.86 1.09 0.59|2.0   0  90|   0     0 |           | 11    6    0   17    2
Jun 14 20:39:24 ubuntu dstat.sh[64944]: 14-06 20:39:24| 37  12  48   1   0|1152M 1088M  166M 5330M|4799B 1620B|  16k 3799k|1.00   136 |4627  3611 |1.86 1.09 0.59|1.0 1.0 146|   0     0 |           | 11    6    0   19    2
Jun 14 20:39:25 ubuntu dstat.sh[64944]: 14-06 20:39:25| 42   7  49   0   0|1200M 1009M  167M 5357M|4417B 1563B|  16k 3936k|1.00  95.8 |3292  2219 |1.86 1.09 0.59|2.0   0   0|   0     0 |           | 11    6    0   19    2
Jun 14 20:39:26 ubuntu dstat.sh[64944]: 14-06 20:39:26| 45   5  49   1   0|1234M  983M  168M 5347M|4997B 1993B|   0  1925k|   0  57.0 |3135  1883 |1.87 1.11 0.60|2.0   0 3.0|   0     0 |           | 11    6    0   19    0
Jun 14 20:39:27 ubuntu dstat.sh[64944]: 14-06 20:39:27| 29   8  49  11   0|1279M  928M  169M 5356M|  10k 3731B|   0    39M|   0  3568 |  14k   27k|1.87 1.11 0.60|2.0   0  87|   0     0 |           | 11    7    0   19    0
Jun 14 20:39:28 ubuntu dstat.sh[64944]: 14-06 20:39:28| 39  10  45   5   0|1237M  962M  170M 5363M|5810B 2469B|   0    40M|   0  2945 |  10k   18k|1.87 1.11 0.60|2.0   0  92|   0     0 |           | 11    4    0   19    0
Jun 14 20:39:29 ubuntu dstat.sh[64944]: 14-06 20:39:29| 42  10  46   0   0|1298M  899M  170M 5364M|5043B 1714B|   0  1008k|   0  29.0 |  11k   18k|1.87 1.11 0.60|2.0   0  26|   0     0 |           | 11    4    0   19    0
Jun 14 20:39:30 ubuntu dstat.sh[64944]: 14-06 20:39:30| 46   8  45   0   0|1309M  888M  170M 5364M|4917B 1619B|   0  9889k|   0   562 |  11k   18k|1.87 1.11 0.60|2.0   0  20|   0     0 |           | 11    4    0   19    0
Jun 14 20:39:31 ubuntu dstat.sh[64944]: 14-06 20:39:31| 43   8  49   1   0|1257M  948M  170M 5357M|5060B 1621B|   0   840k|   0  47.0 |3003  1770 |1.88 1.12 0.61|2.0   0  20|   0     0 |           | 11    4    0   19    0
Jun 14 20:39:32 ubuntu dstat.sh[64944]: 14-06 20:39:32| 37   6  56   0   0|1267M  938M  170M 5357M|4748B 1619B|   0    12k|   0  2.00 |2781  1697 |1.88 1.12 0.61|1.0   0  66|   0     0 |           | 11    4    0   19    0
Jun 14 20:39:33 ubuntu dstat.sh[64944]: 14-06 20:39:33| 11  16  70   0   0|1141M 1064M  170M 5357M|4972B 1617B|   0  4089B|   0  1.00 |4769  3396 |1.88 1.12 0.61|1.0   0 274|   0     0 |           | 11    4    0   19    0
Jun 14 20:39:34 ubuntu dstat.sh[64944]: 14-06 20:39:34|  9  22  68   0   0|1096M 1109M  170M 5357M|5035B 1569B|   0    36k|   0  9.02 |5458  3859 |1.88 1.12 0.61|2.0   0 320|   0     0 |           | 11    4    0   19    0
Jun 14 20:39:35 ubuntu dstat.sh[64944]: 14-06 20:39:35| 18  16  63   0   0|1076M 1129M  170M 5357M|4808B 1505B|   0  8152B|   0  1.99 |5667  7236 |1.88 1.12 0.61|3.0   0 211|   0     0 |           | 11    4    0   19    0
