May 06 18:01:36 ubuntu systemd[1]: Started devstack@dstat.service - Devstack devstack@dstat.service.
May 06 18:01:37 ubuntu dstat.sh[65408]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ---total--- ------tcp-sockets-------
May 06 18:01:37 ubuntu dstat.sh[65408]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
May 06 18:01:37 ubuntu dstat.sh[65408]: 06-05 18:01:37|                   | 959M 1379M  164M 5124M|           |           |           |           |1.28 0.90 0.50|3.0   0    |           |           | 10    6    1   17    0
May 06 18:01:38 ubuntu dstat.sh[65408]: 06-05 18:01:38| 39  21  38   0   0| 983M 1355M  164M 5124M|  43k   18k|   0  2404k|   0  79.9 |6510  5441 |1.34 0.91 0.50|3.5   0 541|   0     0 |           | 10    6    1   17    0
May 06 18:01:39 ubuntu dstat.sh[65408]: 06-05 18:01:39| 29  20  49   1   0| 989M 1348M  164M 5125M|  40k   13k|   0  1721k|   0  69.5 |6282  5693 |1.41 0.93 0.51|3.0   0 418|   0     0 |           | 10    6    1   17    0
May 06 18:01:40 ubuntu dstat.sh[65408]: 06-05 18:01:40| 31  20  48   0   0|1020M 1316M  164M 5125M|  22k   14k|   0  1774k|   0  55.0 |7095  7878 |1.41 0.93 0.51|1.0   0 287|   0     0 |           | 10    5    1   17    1
May 06 18:01:41 ubuntu dstat.sh[65408]: 06-05 18:01:41| 34  13  51   1   0|1127M 1180M  165M 5272M| 167k 6888B|   0  2526k|   0  91.9 |4788  4024 |1.41 0.93 0.51|2.0   0 102|   0     0 |           | 11    6    1   17    2
May 06 18:01:42 ubuntu dstat.sh[65408]: 06-05 18:01:42| 36  15  47   0   0|1141M 1148M  165M 5288M|3857B 1500B|   0  5571k|   0  75.0 |4827  3391 |1.41 0.93 0.51|2.0   0 195|   0     0 |           | 11    6    1   19    2
May 06 18:01:43 ubuntu dstat.sh[65408]: 06-05 18:01:43| 42   7  48   0   0|1204M 1063M  166M 5307M|3777B 1619B|  32k 2858k|2.00  62.9 |2964  1895 |1.54 0.97 0.52|3.0   0   0|   0     0 |           | 11    6    1   19    2
May 06 18:01:44 ubuntu dstat.sh[65408]: 06-05 18:01:44| 44   5  48   1   0|1244M 1002M  167M 5325M|3779B 1620B|   0  3931k|   0   124 |3155  2315 |1.54 0.97 0.52|3.0   0 1.0|   0     0 |           | 11    6    1   19    2
May 06 18:01:45 ubuntu dstat.sh[65408]: 06-05 18:01:45| 34   7  44  12   0|1255M  958M  169M 5352M|4056B 1535B|   0    44M|   0  3756 |  14k   26k|1.54 0.97 0.52|  0 1.0  52|   0     0 |           | 11    8    1   19    2
May 06 18:01:46 ubuntu dstat.sh[65408]: 06-05 18:01:46| 33   7  46  11   0|1173M 1052M  170M 5340M|  10k 4278B|   0    46M|   0  3516 |  12k   22k|1.54 0.97 0.52|3.0   0  61|   0     0 |           | 11    4    1   19    0
May 06 18:01:47 ubuntu dstat.sh[65408]: 06-05 18:01:47| 38   9  52   0   0|1247M  978M  170M 5340M|9486B 3656B|   0  7588k|   0   314 |3368  2140 |1.54 0.97 0.52|3.0   0  79|   0     0 |           | 11    5    1   19    0
May 06 18:01:48 ubuntu dstat.sh[65408]: 06-05 18:01:48| 45   6  48   1   0|1259M  960M  170M 5346M|4187B 1862B|   0  7249k|   0   348 |3161  2759 |1.58 0.99 0.53|2.0   0 3.0|   0     0 |           | 11    4    1   19    0
May 06 18:01:49 ubuntu dstat.sh[65408]: 06-05 18:01:49| 39   8  52   1   0|1235M  977M  170M 5351M|  10k 4743B|   0  1991k|   0   144 |5117  5994 |1.58 0.99 0.53|4.0   0  32|   0     0 |           | 11    4    1   19    0
May 06 18:01:50 ubuntu dstat.sh[65408]: 06-05 18:01:50| 44   9  44   0   0|1238M  973M  170M 5351M|4198B 1616B|   0   156k|   0  5.98 |  13k   24k|1.58 0.99 0.53|3.0   0  13|   0     0 |           | 11    4    1   19    0
May 06 18:01:51 ubuntu dstat.sh[65408]: 06-05 18:01:51| 35  19  46   0   0|1156M 1067M  170M 5341M|4589B 1624B|   0  1981k|   0  13.0 |7044  8193 |1.58 0.99 0.53|5.0   0 323|   0     0 |           | 11    4    1   19    0
May 06 18:01:52 ubuntu dstat.sh[65408]: 06-05 18:01:52| 30  25  44   0   0|1098M 1126M  170M 5341M|4260B 1620B|   0   180k|   0  16.0 |6293  5214 |1.58 0.99 0.53|5.0   0 471|   0     0 |           | 11    4    1   19    0
May 06 18:01:53 ubuntu dstat.sh[65408]: 06-05 18:01:53| 31  20  48   0   0|1109M 1114M  170M 5341M|4261B 1620B|   0  4097B|   0  1.00 |5913  7129 |1.85 1.05 0.56|4.0   0 252|   0     0 |           | 11    4    1   19    0
May 06 18:01:54 ubuntu dstat.sh[65408]: 06-05 18:01:54| 45   7  47   0   0|1184M 1039M  170M 5341M|3731B 1455B|   0     0 |   0     0 |2922  1457 |1.85 1.05 0.56|4.0   0  19|   0     0 |           | 11    5    1   19    0
May 06 18:01:55 ubuntu dstat.sh[65408]: 06-05 18:01:55| 44   6  48   0   0|1208M 1015M  170M 5342M|4617B 1619B|   0   284k|   0  16.0 |2722  1313 |1.85 1.05 0.56|4.0   0   0|   0     0 |           | 11    5    1   19    0
May 06 18:01:56 ubuntu dstat.sh[65408]: 06-05 18:01:56| 34  11  53   0   0|1236M  984M  170M 5344M|5174B 1619B|   0  2674k|   0  92.9 |5086  5821 |1.85 1.05 0.56|2.0   0 111|   0     0 |           | 11    4    1   13    0
May 06 18:01:57 ubuntu dstat.sh[65408]: 06-05 18:01:57| 11   5  84   0   0|1269M  951M  170M 5344M|4740B 1458B|   0    40k|   0  4.00 |1841  1591 |1.85 1.05 0.56|1.0   0  29|   0     0 |           | 11    4    1   13    0
May 06 18:01:58 ubuntu dstat.sh[65408]: 06-05 18:01:58| 21   5  73   0   0|1327M  893M  170M 5344M|4741B 1620B|   0    14M|   0  84.0 |1828  1364 |1.78 1.05 0.56|1.0   0   0|   0     0 |           | 11    4    1   13    0
May 06 18:01:59 ubuntu dstat.sh[65408]: 06-05 18:01:59| 24   1  73   0   0|1345M  875M  170M 5344M|5279B 1620B|   0     0 |   0     0 |1769  1071 |1.78 1.05 0.56|1.0   0   0|   0     0 |           | 11    6    1   13    0
May 06 18:02:00 ubuntu dstat.sh[65408]: 06-05 18:02:00| 21   7  71   1   0|1311M  909M  171M 5344M|5704B 1621B|   0  4347k|   0   334 |4271  5520 |1.78 1.05 0.56|2.0   0  43|   0     0 |           | 11    4    1   15    0
May 06 18:02:01 ubuntu dstat.sh[65408]: 06-05 18:02:01| 23   3  73   0   0|1356M  864M  171M 5344M|4894B 1458B| 144k  380k|7.00  6.00 |1715  1134 |1.78 1.05 0.56|2.0   0   0|   0     0 |           | 11    4    1   15    0
