Feb 13 09:28:21 np0000000052 systemd[1]: Started devstack@dstat.service - Devstack devstack@dstat.service.
Feb 13 09:28:21 np0000000052 dstat.sh[59573]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ---total--- ------tcp-sockets-------
Feb 13 09:28:21 np0000000052 dstat.sh[59573]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Feb 13 09:28:21 np0000000052 dstat.sh[59573]: 13-02 09:28:21|                   |1024M 1616M  159M 4842M|           |           |           |           |1.14 0.76 0.45|3.0   0    |           |           | 10    5    0   19    1
Feb 13 09:28:22 np0000000052 dstat.sh[59573]: 13-02 09:28:22| 19  20  59   0   0|1018M 1620M  159M 4844M|1662k   20k|   0  3282k|   0   126 |7596  6943 |1.25 0.79 0.46|2.0   0 466|   0     0 |           | 10    4    0   18    1
Feb 13 09:28:23 np0000000052 dstat.sh[59573]: 13-02 09:28:23| 23  19  56   0   0|1000M 1635M  159M 4846M|  29k   12k|   0  2673k|   0   123 |6800  6430 |1.37 0.82 0.47|1.0   0 432|   0     0 |           | 10    5    0   18    1
Feb 13 09:28:24 np0000000052 dstat.sh[59573]: 13-02 09:28:24| 29  16  53   0   0| 989M 1646M  159M 4847M|  34k   16k|   0  2154k|   0  63.9 |6353  7908 |1.37 0.82 0.47|1.0   0 299|   0     0 |           | 10    5    0   18    1
Feb 13 09:28:25 np0000000052 dstat.sh[59573]: 13-02 09:28:25| 19   5  76   1   0|1107M 1527M  159M 4969M|  33k   11k|   0  1241k|   0  39.0 |2563  2722 |1.37 0.82 0.47|  0   0  14|   0     0 |           | 11    5    0   18    1
Feb 13 09:28:26 np0000000052 dstat.sh[59573]: 13-02 09:28:26| 31   9  58   1   0|1146M 1488M  159M 4969M|  25k   12k|  16k 1665k|1.00  57.0 |3948  2795 |1.37 0.82 0.47|2.0   0 128|   0     0 |           | 11    7    0   18    1
Feb 13 09:28:27 np0000000052 dstat.sh[59573]: 13-02 09:28:27| 34  11  53   1   0|1200M 1410M  159M 4990M| 170k 9593B| 344k 4835k|15.0   294 |4796  3363 |1.42 0.84 0.48|2.0   0 162|   0     0 |           | 11    6    0   20    2
Feb 13 09:28:28 np0000000052 dstat.sh[59573]: 13-02 09:28:28| 44   6  48   1   0|1237M 1350M  161M 5010M|4677B 1661B| 248k 7563k|7.99  83.9 |3190  1898 |1.42 0.84 0.48|3.0   0   0|   0     0 |           | 11    6    0   20    2
Feb 13 09:28:29 np0000000052 dstat.sh[59573]: 13-02 09:28:29| 36   6  47  10   0|1269M 1300M  162M 5025M|5107B 1625B|  16k   26M|1.00  1827 |  11k   18k|1.42 0.84 0.48|3.0 1.0  31|   0     0 |           | 11    8    0   20    2
Feb 13 09:28:30 np0000000052 dstat.sh[59573]: 13-02 09:28:30| 32   6  43  16   0|1262M 1276M  163M 5051M|4838B 1615B|   0    54M|   0  3930 |  14k   27k|1.42 0.84 0.48|2.0   0  51|   0     0 |           | 11    8    0   20    2
Feb 13 09:28:31 np0000000052 dstat.sh[59573]: 13-02 09:28:31| 42   8  45   4   0|1221M 1288M  165M 5077M|5310B 1666B|   0    21M|   0  1251 |5257  6868 |1.42 0.84 0.48|2.0   0  75|   0     0 |           | 11    6    0   20    2
Feb 13 09:28:32 np0000000052 dstat.sh[59573]: 13-02 09:28:32| 41   3  53   1   0|1269M 1247M  165M 5067M|  11k 4334B|   0  2838k|   0   202 |2923  2037 |1.47 0.85 0.48|2.0   0   0|   0     0 |           | 11    4    0   20    0
Feb 13 09:28:33 np0000000052 dstat.sh[59573]: 13-02 09:28:33| 45   7  48   1   0|1231M 1285M  165M 5067M|5096B 1462B|   0  6087k|   0   348 |3559  2909 |1.47 0.85 0.48|2.0   0  29|   0     0 |           | 11    4    0   20    0
Feb 13 09:28:34 np0000000052 dstat.sh[59573]: 13-02 09:28:34| 41   4  53   0   0|1250M 1261M  165M 5072M|  11k 3890B|   0  1927k|   0   175 |2887  1653 |1.47 0.85 0.48|2.0   0  17|   0     0 |           | 11    4    0   20    0
Feb 13 09:28:35 np0000000052 dstat.sh[59573]: 13-02 09:28:35| 28  21  51   0   0|1219M 1291M  165M 5073M|  12k 4495B|   0   645k|   0  47.1 |6457  5495 |1.47 0.85 0.48|6.0   0 544|   0     0 |           | 11    5    0   20    0
Feb 13 09:28:36 np0000000052 dstat.sh[59573]: 13-02 09:28:36| 39  20  39   0   0|1203M 1300M  166M 5078M|5365B 1788B|   0  1204k|   0  68.8 |  14k   23k|1.47 0.85 0.48|2.0   0 332|   0     0 |           | 11    4    0   20    0
Feb 13 09:28:37 np0000000052 dstat.sh[59573]: 13-02 09:28:37| 59  17  21   1   0|1256M 1239M  166M 5086M|4836B 1626B|7734k  169k|78.3  2.01 |  12k   20k|1.51 0.87 0.49|4.0   0 151|   0     0 |           | 11    5    0   20    0
Feb 13 09:28:38 np0000000052 dstat.sh[59573]: 13-02 09:28:38| 67   8  24   0   0|1228M 1279M  166M 5076M|4968B 1616B| 511k 5052k|20.0   451 |4090  1710 |1.51 0.87 0.49|4.0   0  11|   0     0 |           | 11    5    0   20    0
Feb 13 09:28:39 np0000000052 dstat.sh[59573]: 13-02 09:28:39| 59  11  30   0   0|1248M 1256M  166M 5079M|5173B 1624B|   0  5935k|   0   282 |4427  4155 |1.51 0.87 0.49|1.0   0  90|   0     0 |           | 11    4    0   21    0
Feb 13 09:28:40 np0000000052 dstat.sh[59573]: 13-02 09:28:40| 12   8  79   0   0|1259M 1245M  166M 5079M|5086B 1616B|   0  1679k|   0  17.0 |3013  2788 |1.51 0.87 0.49|1.0   0 116|   0     0 |           | 11    4    0   21    0
