Jun 24 08:10:48 ubuntu systemd[1]: Started devstack@dstat.service - Devstack devstack@dstat.service.
Jun 24 08:10:48 ubuntu dstat.sh[65096]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ---total--- ------tcp-sockets-------
Jun 24 08:10:48 ubuntu dstat.sh[65096]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Jun 24 08:10:48 ubuntu dstat.sh[65096]: 24-06 08:10:48|                   | 977M 1372M  164M 5111M|           |           |           |           |1.55 1.04 0.58|4.0   0    |           |           | 10    5    0   17    0
Jun 24 08:10:49 ubuntu dstat.sh[65096]: 24-06 08:10:49| 17  21  60   0   0| 990M 1359M  164M 5111M|  29k   11k|   0  1347k|   0  48.0 |5913  4621 |1.55 1.04 0.58|3.0   0 426|   0     0 |           | 10    6    0   17    0
Jun 24 08:10:50 ubuntu dstat.sh[65096]: 24-06 08:10:50| 20  23  55   0   0| 978M 1370M  164M 5112M|  39k   17k|   0  2342k|   0  59.4 |6186  5202 |1.55 1.04 0.58|5.0   0 387|   0     0 |           | 10    6    0   17    0
Jun 24 08:10:51 ubuntu dstat.sh[65096]: 24-06 08:10:51| 29  20  51   1   0|1008M 1339M  165M 5113M|  40k   13k|   0  1778k|   0  55.1 |5728  5768 |1.58 1.05 0.59|1.0   0 266|   0     0 |           | 10    6    0   17    0
Jun 24 08:10:52 ubuntu dstat.sh[65096]: 24-06 08:10:52| 32  15  52   1   0|1126M 1221M  165M 5235M|  23k   13k|   0  5135k|   0  59.1 |5739  6498 |1.58 1.05 0.59|2.0   0 141|   0     0 |           | 11    7    0   17    1
Jun 24 08:10:53 ubuntu dstat.sh[65096]: 24-06 08:10:53| 36  13  49   0   0|1137M 1182M  165M 5259M| 171k 6747B|   0  1840k|   0  67.0 |4235  2557 |1.58 1.05 0.59|2.0   0 119|   0     0 |           | 11    6    0   17    2
Jun 24 08:10:54 ubuntu dstat.sh[65096]: 24-06 08:10:54| 39  11  48   0   0|1161M 1135M  166M 5280M|4703B 1509B|  32k 4855k|2.00   150 |4038  2893 |1.58 1.05 0.59|2.0   0  97|   0     0 |           | 11    6    0   19    2
Jun 24 08:10:55 ubuntu dstat.sh[65096]: 24-06 08:10:55| 46   6  48   1   0|1213M 1061M  167M 5298M|4834B 1460B|   0  2319k|   0  36.0 |3043  1630 |1.58 1.05 0.59|2.0 1.0   0|   0     0 |           | 11    6    0   19    2
Jun 24 08:10:56 ubuntu dstat.sh[65096]: 24-06 08:10:56| 39   7  46   7   0|1224M 1027M  169M 5316M|5347B 1567B|   0    30M|   0  1985 |9679    16k|1.62 1.07 0.59|5.0   0  28|   0     0 |           | 11    8    0   19    2
Jun 24 08:10:57 ubuntu dstat.sh[65096]: 24-06 08:10:57| 36   8  41  12   0|1234M  983M  170M 5346M|5367B 1511B|   0    62M|   0  4544 |  17k   32k|1.62 1.07 0.59|3.0   0  55|   0     0 |           | 11    8    0   19    2
