Jun 17 12:17:52 ubuntu systemd[1]: Started devstack@dstat.service - Devstack devstack@dstat.service.
Jun 17 12:17:52 ubuntu dstat.sh[64838]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ---total--- ------tcp-sockets-------
Jun 17 12:17:52 ubuntu dstat.sh[64838]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Jun 17 12:17:52 ubuntu dstat.sh[64838]: 17-06 12:17:52|                   | 947M 1410M  165M 5103M|           |           |           |           |1.19 0.88 0.52|2.0   0    |           |           | 10    6    0   17    0
Jun 17 12:17:53 ubuntu dstat.sh[64838]: 17-06 12:17:53| 24  22  53   0   0| 963M 1393M  166M 5103M|  22k   14k|   0  1628k|   0  55.0 |6242  5102 |1.19 0.88 0.52|1.5   0 498|   0     0 |           | 10    6    0   17    0
Jun 17 12:17:54 ubuntu dstat.sh[64838]: 17-06 12:17:54| 23  22  53   0   0| 986M 1369M  166M 5104M|  40k   12k|   0  5478k|   0  65.5 |5906  4552 |1.19 0.88 0.52|6.0   0 399|   0     0 |           | 10    6    0   17    0
Jun 17 12:17:55 ubuntu dstat.sh[64838]: 17-06 12:17:55| 29  21  48   1   0| 970M 1364M  166M 5124M| 179k   14k|   0  2131k|   0  60.8 |7122  8077 |1.26 0.90 0.52|2.0   0 282|   0     0 |           | 10    5    0   17    1
Jun 17 12:17:56 ubuntu dstat.sh[64838]: 17-06 12:17:56| 35  13  48   1   1|1095M 1223M  167M 5259M|4860B 1730B|   0  1258k|   0  54.1 |5131  5784 |1.26 0.90 0.52|1.0   0  81|   0     0 |           | 11    4    0   17    2
Jun 17 12:17:57 ubuntu dstat.sh[64838]: 17-06 12:17:57| 31   8  61   0   0|1114M 1186M  167M 5274M|4861B 1620B|   0  2669k|   0   106 |3180  2401 |1.26 0.90 0.52|3.0   0  84|   0     0 |           | 11    6    0   17    2
Jun 17 12:17:58 ubuntu dstat.sh[64838]: 17-06 12:17:58| 36  14  47   1   0|1115M 1158M  168M 5297M|5100B 1620B|   0  3708k|   0   153 |5025  3814 |1.26 0.90 0.52|3.0   0 197|   0     0 |           | 11    6    0   19    2
Jun 17 12:17:59 ubuntu dstat.sh[64838]: 17-06 12:17:59| 43   8  46   0   0|1204M 1040M  169M 5324M|4513B 1456B|  32k 3692k|2.00  78.9 |3107  2974 |1.26 0.90 0.52|6.0   0  34|   0     0 |           | 11    6    0   18    2
Jun 17 12:18:00 ubuntu dstat.sh[64838]: 17-06 12:18:00| 47   6  44   1   0|1259M  987M  170M 5317M|5062B 2099B|   0  3418k|   0  81.0 |4005    11k|1.32 0.92 0.53|3.0   0 2.0|   0     0 |           | 11    4    0   19    0
Jun 17 12:18:01 ubuntu dstat.sh[64838]: 17-06 12:18:01| 34   8  46   9   0|1289M  950M  171M 5323M|5087B 1462B|   0    30M|   0  2388 |  11k   20k|1.32 0.92 0.53|4.0   0  59|   0     0 |           | 11    6    0   19    0
Jun 17 12:18:02 ubuntu dstat.sh[64838]: 17-06 12:18:02| 32   7  47  11   0|1314M  915M  172M 5332M|  13k 4733B|   0    47M|   0  3665 |  13k   24k|1.32 0.92 0.53|2.0   0  60|   0     0 |           | 11    6    0   19    0
