Dec 30 07:31:40 jammy-provider-cloud-0000007872 systemd[1]: Started Devstack devstack@dstat.service.
Dec 30 07:31:40 jammy-provider-cloud-0000007872 dstat.sh[58977]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Dec 30 07:31:40 jammy-provider-cloud-0000007872 dstat.sh[58977]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Dec 30 07:31:40 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:31:40|                   | 958M 1915M  161M 4597M|           |           |           |           |1.59 0.94 0.47|4.0   0    |           |   0     0 |  9    6    0   16    0
Dec 30 07:31:41 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:31:41| 22  20  56   0   0| 965M 1908M  161M 4597M| 212k   12k|   0  1501k|   0  54.9 |3810  6435 |1.61 0.95 0.47|3.5   0 589|   0     0 |   0     0 |  9    6    0   16    0
Dec 30 07:31:42 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:31:42| 20  17  61   1   0| 976M 1897M  161M 4598M|  57k   11k|   0  1625k|   0  62.0 |3998  7356 |1.62 0.96 0.48|2.0   0 474|   0     0 |   0     0 |  9    4    0   16    2
Dec 30 07:31:43 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:31:43| 26   9  62   0   0|1109M 1763M  161M 4720M|  41k   11k|   0  1187k|   0  44.8 |4269  8184 |1.62 0.96 0.48|2.0   0  94|   0     0 |   0     0 | 10    4    0   16    2
Dec 30 07:31:44 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:31:44| 26  10  62   1   0|1120M 1728M  162M 4743M|5077k   44k|   0    10M|   0   101 |3649  3613 |1.62 0.96 0.48|3.0   0 111|   0     0 |   0     0 | 10    6    0   16    2
Dec 30 07:31:45 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:31:45| 37  11  49   1   0|1161M 1660M  162M 4767M|7815B 1458B|  80k 4584k|1.00   141 |2464  3996 |1.62 0.96 0.48|2.0 1.0 177|   0     0 |   0     0 | 10    6    0   18    2
Dec 30 07:31:46 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:31:46| 32  10  49   1   0|1204M 1584M  163M 4795M|5319B 1620B|   0  4457k|   0   129 |1337  1985 |1.73 0.99 0.50|3.0   0   0|   0     0 |   0     0 | 10    6    0   18    2
Dec 30 07:31:47 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:31:47| 34   6  53   5   0|1237M 1552M  164M 4791M|  11k 4360B|   0    15M|   0  1355 |5424    13k|1.73 0.99 0.50|3.0   0  13|   0     0 |   0     0 | 10    6    0   18    0
Dec 30 07:31:48 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:31:48| 38   8  44   9   0|1209M 1574M  165M 4797M|7943B 1624B|   0    50M|   0  3914 |  12k   27k|1.73 0.99 0.50|3.0   0  63|   0     0 |   0     0 | 10    6    0   18    0
Dec 30 07:31:49 jammy-provider-cloud-0000007872 dstat.sh[58977]: 30-12 07:31:49| 44   9  47   0   0|1160M 1622M  165M 4798M|5755B 1620B|   0  1576k|   0  70.0 |8504    17k|1.73 0.99 0.50|3.0   0  90|   0     0 |   0     0 | 10    4    0   18    0
