Sep 07 17:50:54 jammy-provider-cloud-0000007592 systemd[1]: Started Devstack devstack@dstat.service.
Sep 07 17:50:55 jammy-provider-cloud-0000007592 dstat.sh[58831]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Sep 07 17:50:55 jammy-provider-cloud-0000007592 dstat.sh[58831]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Sep 07 17:50:55 jammy-provider-cloud-0000007592 dstat.sh[58831]: 07-09 17:50:55|                   | 944M 1837M  163M 4680M|           |           |           |           |1.10 0.92 0.51|2.0   0    |           |   0     0 |  9    4    6   10    0
Sep 07 17:50:56 jammy-provider-cloud-0000007592 dstat.sh[58831]: 07-09 17:50:56|  9  18  71   0   0| 949M 1831M  163M 4681M| 134k 5295B|   0   159k|   0  12.9 |2565  3420 |1.10 0.92 0.51|2.0   0 268|   0     0 |   0     0 |  9    4    6   10    0
Sep 07 17:50:57 jammy-provider-cloud-0000007592 dstat.sh[58831]: 07-09 17:50:57| 10  20  69   0   0| 959M 1821M  163M 4681M|  84k 4336B|   0    36k|   0  9.98 |2546  3484 |1.09 0.92 0.52|3.0   0 285|   0     0 |   0     0 |  9    4    6   10    0
Sep 07 17:50:58 jammy-provider-cloud-0000007592 dstat.sh[58831]: 07-09 17:50:58| 14  18  68   0   0| 961M 1819M  163M 4681M|  99k 4792B|   0    20k|   0  5.00 |3468  6061 |1.09 0.92 0.52|2.0   0 240|   0     0 |   0     0 |  9    4    6   10    0
Sep 07 17:50:59 jammy-provider-cloud-0000007592 dstat.sh[58831]: 07-09 17:50:59| 12  19  66   0   0| 959M 1820M  163M 4682M|  93k 4406B|   0  4837k|   0  13.0 |5280  9220 |1.09 0.92 0.52|2.0   0 189|   0     0 |   0     0 |  9    4    6    9    0
Sep 07 17:51:00 jammy-provider-cloud-0000007592 dstat.sh[58831]: 07-09 17:51:00| 10   9  80   0   0|1080M 1698M  163M 4804M| 105k 4900B|   0     0 |   0     0 |2485  3694 |1.09 0.92 0.52|2.0   0  93|   0     0 |   0     0 | 10    6    6    9    0
Sep 07 17:51:01 jammy-provider-cloud-0000007592 dstat.sh[58831]: 07-09 17:51:01| 17   9  72   0   0|1087M 1691M  163M 4804M|  52k 3316B|  80k  831k|1.00   138 |1849  2266 |1.09 0.92 0.52|2.0   0 111|   0     0 |   0     0 | 10    6    6    8    0
Sep 07 17:51:02 jammy-provider-cloud-0000007592 dstat.sh[58831]: 07-09 17:51:02| 16  11  72   0   0|1120M 1658M  163M 4804M| 184k 7018B|   0  1180k|   0  28.9 |2127  2839 |1.17 0.94 0.52|3.0   0 124|   0     0 |   0     0 | 10    6    6   10    0
Sep 07 17:51:03 jammy-provider-cloud-0000007592 dstat.sh[58831]: 07-09 17:51:03| 26   3  70   0   0|1113M 1664M  163M 4805M|  98k 4871B|   0  3216k|   0  9.00 |1160  1342 |1.17 0.94 0.52|2.0   0   0|   0     0 |   0     0 | 10    4    6   10    0
Sep 07 17:51:04 jammy-provider-cloud-0000007592 dstat.sh[58831]: 07-09 17:51:04| 16   4  69   9   0|1131M 1641M  163M 4810M|7390B 1624B|   0    26M|   0  2234 |8657    20k|1.17 0.94 0.52|1.0 2.0  40|   0     0 |   0     0 | 10    6    6   10    0
Sep 07 17:51:05 jammy-provider-cloud-0000007592 dstat.sh[58831]: 07-09 17:51:05| 17   5  65  10   0|1134M 1634M  164M 4814M|7807B 1618B|   0    36M|   0  2971 |  11k   24k|1.17 0.94 0.52|2.0   0  30|   0     0 |   0     0 | 10    4    6   10    0
Sep 07 17:51:06 jammy-provider-cloud-0000007592 dstat.sh[58831]: 07-09 17:51:06| 18   7  73   0   0|1098M 1669M  164M 4814M|6021B 1512B|   0   728k|   0  37.0 |1401  1922 |1.17 0.94 0.52|2.0   0  75|   0     0 |   0     0 | 10    4    6   10    0
Sep 07 17:51:07 jammy-provider-cloud-0000007592 dstat.sh[58831]: 07-09 17:51:07| 24   1  72   1   0|1137M 1630M  164M 4814M|6819B 1619B|   0  7001k|   0   391 |1542  2624 |1.15 0.94 0.53|3.0   0   0|   0     0 |   0     0 | 10    4    6   10    0
Sep 07 17:51:08 jammy-provider-cloud-0000007592 dstat.sh[58831]: 07-09 17:51:08| 22   3  74   0   0|1119M 1648M  164M 4814M|6953B 1694B|   0   324k|   0  24.0 | 963  1411 |1.15 0.94 0.53|3.0   0  10|   0     0 |   0     0 | 10    4    6   10    0
Sep 07 17:51:09 jammy-provider-cloud-0000007592 dstat.sh[58831]: 07-09 17:51:09| 22   5  72   0   0|1056M 1711M  164M 4814M|6191B 1626B|   0    61M|   0   134 |1524  2085 |1.15 0.94 0.53|2.0   0  34|   0     0 |   0     0 | 10    4    6   10    0
Sep 07 17:51:10 jammy-provider-cloud-0000007592 dstat.sh[58831]: 07-09 17:51:10|  9  19  71   0   0|1058M 1709M  164M 4814M|6437B 1563B|   0  4087B|   0  1.00 |2417  3475 |1.15 0.94 0.53|2.0   0 270|   0     0 |   0     0 | 10    4    6   10    0
Sep 07 17:51:11 jammy-provider-cloud-0000007592 dstat.sh[58831]: 07-09 17:51:11| 12  19  69   0   0|1056M 1711M  164M 4814M|5997B 1620B|   0    28k|   0  7.00 |2436  3584 |1.15 0.94 0.53|4.0   0 279|   0     0 |   0     0 | 10    4    6   10    0
Sep 07 17:51:12 jammy-provider-cloud-0000007592 dstat.sh[58831]: 07-09 17:51:12| 22  19  59   0   0|1060M 1707M  164M 4814M|  19k 1622B|   0    36k|   0  6.01 |4958    15k|2.26 1.18 0.60|2.0   0 247|   0     0 |   0     0 | 10    4    6   11    0
Sep 07 17:51:13 jammy-provider-cloud-0000007592 dstat.sh[58831]: 07-09 17:51:13| 44  10  45   0   0|1186M 1581M  164M 4815M|7306B 1513B|   0    52k|   0  3.00 |1649  1953 |2.26 1.18 0.60|3.0   0 123|   0     0 |   0     0 | 10    5    6   10    0
Sep 07 17:51:14 jammy-provider-cloud-0000007592 dstat.sh[58831]: 07-09 17:51:14| 48   5  47   0   0|1231M 1534M  164M 4816M|6492B 1618B|   0    10M|   0   104 |1436  3674 |2.26 1.18 0.60|2.0   0   0|   0     0 |   0     0 | 10    5    6   10    0
Sep 07 17:51:15 jammy-provider-cloud-0000007592 dstat.sh[58831]: 07-09 17:51:15| 19   8  72   0   0|1245M 1518M  164M 4818M|5925B 1616B|   0  1440k|   0  78.8 |1933  3757 |2.26 1.18 0.60|2.0   0 118|   0     0 |   0     0 | 10    4    6   11    0
Sep 07 17:51:16 jammy-provider-cloud-0000007592 dstat.sh[58831]: 07-09 17:51:16|  5   2  91   0   0|1263M 1500M  164M 4818M|5438B 1737B|   0    36k|   0  4.00 |1072  1381 |2.26 1.18 0.60|2.0   0  21|   0     0 |   0     0 | 10    4    6   11    0
Sep 07 17:51:17 jammy-provider-cloud-0000007592 dstat.sh[58831]: 07-09 17:51:17| 24   2  74   0   0|1332M 1432M  164M 4818M|6880B 1640B|   0   352k|   0  3.00 | 904  1137 |2.16 1.17 0.61|2.0   0   0|   0     0 |   0     0 | 10    4    6   11    0
Sep 07 17:51:18 jammy-provider-cloud-0000007592 dstat.sh[58831]: 07-09 17:51:18| 23   2  72   1   0|1351M 1412M  164M 4818M|5964B 1694B|   0  3587k|   0   316 |2794  5263 |2.16 1.17 0.61|3.0   0 1.0|   0     0 |   0     0 | 10   10    6   11    0
Sep 07 17:51:19 jammy-provider-cloud-0000007592 dstat.sh[58831]: 07-09 17:51:19| 22   4  73   0   0|1309M 1454M  164M 4818M|5780B 1617B|   0  5722k|   0   248 |1300  1634 |2.16 1.17 0.61|2.0   0  42|   0     0 |   0     0 | 10    4    6   10    0
Sep 07 17:51:20 jammy-provider-cloud-0000007592 dstat.sh[58831]: 07-09 17:51:20| 21   5  72   1   0|1270M 1492M  164M 4818M|5972B 1589B| 232k 1831k|58.1  22.0 |2006  3257 |2.16 1.17 0.61|2.0   0  46|   0     0 |   0     0 | 10   28    6   10    0
Sep 07 17:51:21 jammy-provider-cloud-0000007592 dstat.sh[58831]: 07-09 17:51:21| 23   2  73   0   0|1326M 1437M  164M 4818M|6487B 1662B|   0     0 |   0     0 |1289  1756 |2.16 1.17 0.61|2.0   0 2.0|   0     0 |   0     0 | 10   28    6    9    0
Sep 07 17:51:22 jammy-provider-cloud-0000007592 dstat.sh[58831]: 07-09 17:51:22| 34  11  54   0   0|1375M 1388M  164M 4818M|8521B 1622B|   0    12k|   0  3.00 |1694  2379 |2.15 1.19 0.62|2.0   0 156|   0     0 |   0     0 | 10   28    6    9    0
Sep 07 17:51:23 jammy-provider-cloud-0000007592 dstat.sh[58831]: 07-09 17:51:23| 44  12  42   0   0|1319M 1443M  164M 4819M|7435B 1624B|   0   549k|   0  34.1 |4790  9797 |2.15 1.19 0.62|5.0   0 306|   0     0 |   0     0 | 10   28    6   14    0
