May 19 17:55:49 ubuntu systemd[1]: Started devstack@dstat.service - Devstack devstack@dstat.service.
May 19 17:55:49 ubuntu dstat.sh[65230]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ---total--- ------tcp-sockets-------
May 19 17:55:49 ubuntu dstat.sh[65230]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
May 19 17:55:49 ubuntu dstat.sh[65230]: 19-05 17:55:49|                   | 976M 1359M  163M 5128M|           |           |           |           |1.53 1.01 0.55|2.0   0    |           |           | 10    6    0   17    0
May 19 17:55:50 ubuntu dstat.sh[65230]: 19-05 17:55:50| 19  21  58   1   0| 977M 1358M  163M 5128M|  37k   16k|   0  2187k|   0  70.0 |5669  4344 |1.53 1.01 0.55|2.0   0 393|   0     0 |           | 10    6    0   17    0
May 19 17:55:51 ubuntu dstat.sh[65230]: 19-05 17:55:51| 23  22  53   1   0| 972M 1361M  163M 5129M|  42k   14k|   0    12M|   0   239 |5868  4429 |1.53 1.01 0.55|3.0   0 385|   0     0 |           | 10    6    0   17    0
May 19 17:55:52 ubuntu dstat.sh[65230]: 19-05 17:55:52| 29  19  50   0   0| 984M 1342M  163M 5137M| 119k   15k|   0  1792k|   0  52.9 |6136  7030 |1.56 1.03 0.56|1.0   0 281|   0     0 |           | 10    5    0   17    1
May 19 17:55:53 ubuntu dstat.sh[65230]: 19-05 17:55:53| 33  12  53   1   0|1109M 1193M  164M 5278M|  71k 3027B|   0  2134k|   0  78.1 |5052  5326 |1.56 1.03 0.56|2.0   0  75|   0     0 |           | 11    4    0   17    2
May 19 17:55:54 ubuntu dstat.sh[65230]: 19-05 17:55:54| 30   9  60   0   0|1127M 1157M  165M 5294M|6049B 1687B|   0  3526k|   0   214 |3316  2426 |1.56 1.03 0.56|2.0   0  81|   0     0 |           | 11    6    0   17    2
May 19 17:55:55 ubuntu dstat.sh[65230]: 19-05 17:55:55| 35  15  47   1   0|1150M 1111M  165M 5314M|4970B 1517B|   0  2738k|   0   116 |4773  3544 |1.56 1.03 0.56|2.0   0 190|   0     0 |           | 11    6    0   19    2
May 19 17:55:56 ubuntu dstat.sh[65230]: 19-05 17:55:56| 40   8  49   1   0|1203M 1028M  166M 5340M|5222B 1566B|  32k 4291k|2.00   112 |3254  2325 |1.56 1.03 0.56|2.0   0  11|   0     0 |           | 11    6    0   19    2
May 19 17:55:57 ubuntu dstat.sh[65230]: 19-05 17:55:57| 44   4  49   1   0|1244M  989M  167M 5334M|5304B 2170B|   0  3384k|   0  79.0 |3192  2063 |1.60 1.05 0.56|2.0   0   0|   0     0 |           | 11    4    0   19    0
May 19 17:55:58 ubuntu dstat.sh[65230]: 19-05 17:55:58| 31   9  46  10   0|1292M  935M  168M 5340M|5281B 2111B|   0    26M|   0  2057 |  11k   19k|1.60 1.05 0.56|1.0 1.0  66|   0     0 |           | 11    7    0   19    0
May 19 17:55:59 ubuntu dstat.sh[65230]: 19-05 17:55:59| 31   7  46  12   0|1271M  944M  169M 5350M|9962B 3242B|   0    44M|   0  3297 |  14k   27k|1.60 1.05 0.56|2.0   0  53|   0     0 |           | 11    6    0   19    0
May 19 17:56:00 ubuntu dstat.sh[65230]: 19-05 17:56:00| 38   9  50   2   0|1275M  933M  170M 5355M|  12k 4679B|   0    14M|   0   735 |4725  5701 |1.60 1.05 0.56|2.0   0  93|   0     0 |           | 11    4    0   19    0
May 19 17:56:01 ubuntu dstat.sh[65230]: 19-05 17:56:01| 43   9  45   0   0|1315M  893M  170M 5355M|5060B 1663B|   0  1197k|   0  22.0 |  10k   17k|1.60 1.05 0.56|2.0   0  15|   0     0 |           | 11    4    0   19    0
May 19 17:56:02 ubuntu dstat.sh[65230]: 19-05 17:56:02| 44   9  45   0   0|1215M  992M  170M 5355M|5206B 1616B|   0  6766k|   0   247 |  11k   19k|1.63 1.06 0.57|2.0   0  29|   0     0 |           | 11    4    0   19    0
May 19 17:56:03 ubuntu dstat.sh[65230]: 19-05 17:56:03| 43   8  49   0   0|1204M 1016M  170M 5344M|5065B 1502B|   0   753k|   0  21.0 |3057  1711 |1.63 1.06 0.57|2.0   0  26|   0     0 |           | 11    4    0   19    0
May 19 17:56:04 ubuntu dstat.sh[65230]: 19-05 17:56:04| 30   8  62   0   0|1172M 1048M  170M 5344M|5407B 1622B|   0  4101B|   0  1.00 |3250  1968 |1.63 1.06 0.57|1.0   0 113|   0     0 |           | 11    4    0   19    0
May 19 17:56:05 ubuntu dstat.sh[65230]: 19-05 17:56:05|  9  20  69   0   0|1124M 1096M  170M 5344M|5270B 1617B|   0    20k|   0  4.99 |5498  3973 |1.63 1.06 0.57|2.0   0 336|   0     0 |           | 11    4    0   19    0
May 19 17:56:06 ubuntu dstat.sh[65230]: 19-05 17:56:06| 10  21  67   0   0|1081M 1139M  170M 5345M|5247B 1623B|   0    13M|   0  80.2 |6052  5119 |1.63 1.06 0.57|4.0   0 286|   0     0 |           | 11    4    0   19    0
May 19 17:56:07 ubuntu dstat.sh[65230]: 19-05 17:56:07| 28  18  54   0   0|1130M 1090M  170M 5345M|4862B 1621B|   0  8196B|   0  2.00 |5992  7007 |1.58 1.06 0.57|4.0   0 239|   0     0 |           | 11    4    0   19    0
May 19 17:56:08 ubuntu dstat.sh[65230]: 19-05 17:56:08| 45   6  48   0   0|1202M 1018M  170M 5345M|4429B 1616B|   0   650k|   0  3.99 |2834  1280 |1.58 1.06 0.57|2.0   0 7.0|   0     0 |           | 11    5    0   19    0
