Jun 01 15:11:37 ubuntu systemd[1]: Started devstack@dstat.service - Devstack devstack@dstat.service.
Jun 01 15:11:38 ubuntu dstat.sh[64930]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ---total--- ------tcp-sockets-------
Jun 01 15:11:38 ubuntu dstat.sh[64930]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Jun 01 15:11:38 ubuntu dstat.sh[64930]: 01-06 15:11:38|                   |1015M 1299M  164M 5147M|           |           |           |           |1.49 1.09 0.60|2.0   0    |           |           | 10    6    1   17    0
Jun 01 15:11:39 ubuntu dstat.sh[64930]: 01-06 15:11:39| 21  22  54   1   0|1030M 1284M  164M 5147M|  41k   13k|   0  2862k|   0   105 |6262  5498 |1.49 1.09 0.60|2.0   0 375|   0     0 |           | 10    6    1   17    0
Jun 01 15:11:40 ubuntu dstat.sh[64930]: 01-06 15:11:40| 24  22  53   1   0|1020M 1293M  164M 5147M|  22k   13k|   0  1824k|   0  82.9 |5918  4788 |1.49 1.09 0.60|2.0   0 369|   0     0 |           | 10    5    1   17    1
Jun 01 15:11:41 ubuntu dstat.sh[64930]: 01-06 15:11:41| 32  21  45   0   0|1017M 1266M  165M 5173M| 171k 5963B|   0  2477k|   0  86.8 |6089  5116 |1.53 1.11 0.61|3.0   0 296|   0     0 |           | 10    4    1   17    2
Jun 01 15:11:42 ubuntu dstat.sh[64930]: 01-06 15:11:42| 43  20  35   1   0|1112M 1153M  165M 5311M|4326B 1622B|   0  1378k|   0  30.0 |6748    18k|1.53 1.11 0.61|2.0   0 211|   0     0 |           | 11    6    1   18    2
Jun 01 15:11:43 ubuntu dstat.sh[64930]: 01-06 15:11:43| 38  12  48   1   0|1132M 1112M  166M 5330M|4653B 1463B|   0  2030k|   0  76.2 |4192  2746 |1.53 1.11 0.61|2.0   0 121|   0     0 |           | 11    6    1   18    2
Jun 01 15:11:44 ubuntu dstat.sh[64930]: 01-06 15:11:44| 38  11  48   1   0|1161M 1057M  167M 5352M|4384B 1453B|  32k 7899k|1.99   155 |4252  3311 |1.53 1.11 0.61|3.0   0 116|   0     0 |           | 11    6    1   20    2
Jun 01 15:11:45 ubuntu dstat.sh[64930]: 01-06 15:11:45| 44   6  48   1   0|1224M  988M  168M 5353M|5003B 2099B|   0  3919k|   0  87.0 |3109  1937 |1.53 1.11 0.61|3.0   0   0|   0     0 |           | 11    4    1   19    0
Jun 01 15:11:46 ubuntu dstat.sh[64930]: 01-06 15:11:46| 36   7  47   8   0|1237M  972M  168M 5357M|4783B 1952B|   0    16M|   0  1505 |8813    13k|1.65 1.14 0.62|4.0 1.0  54|   0     0 |           | 11    7    1   19    0
Jun 01 15:11:47 ubuntu dstat.sh[64930]: 01-06 15:11:47| 30   9  46  13   0|1232M  963M  169M 5368M|  11k 4251B|   0    37M|   0  3293 |  14k   24k|1.65 1.14 0.62|1.0 1.0  57|   0     0 |           | 11    6    1   19    0
Jun 01 15:11:48 ubuntu dstat.sh[64930]: 01-06 15:11:48| 41  12  41   4   0|1217M  977M  170M 5369M|4520B 1459B|   0    26M|   0  1704 |  15k   27k|1.65 1.14 0.62|2.0   0  97|   0     0 |           | 11    4    1   19    0
Jun 01 15:11:49 ubuntu dstat.sh[64930]: 01-06 15:11:49| 42  10  45   0   0|1276M  917M  170M 5369M|4320B 1620B|   0  2576k|   0  64.0 |  11k   19k|1.65 1.14 0.62|2.0   0  20|   0     0 |           | 11    4    1   19    0
Jun 01 15:11:50 ubuntu dstat.sh[64930]: 01-06 15:11:50| 44   6  48   1   0|1164M 1038M  170M 5362M|4380B 1620B|   0  9043k|   0   583 |3671  3304 |1.65 1.14 0.62|2.0   0  20|   0     0 |           | 11    4    1   19    0
Jun 01 15:11:51 ubuntu dstat.sh[64930]: 01-06 15:11:51| 35   8  57   0   0|1214M  987M  170M 5362M|5177B 1662B|   0   636k|   0  36.0 |3085  2081 |1.60 1.14 0.62|1.0   0  67|   0     0 |           | 11    4    1   19    0
Jun 01 15:11:52 ubuntu dstat.sh[64930]: 01-06 15:11:52| 24   2  73   0   0|1227M  974M  170M 5362M|4609B 1658B|   0   132k|   0  6.98 |1723  1163 |1.60 1.14 0.62|1.0   0   0|   0     0 |           | 11    4    1   19    0
Jun 01 15:11:53 ubuntu dstat.sh[64930]: 01-06 15:11:53|  9  19  70   0   0|1183M 1018M  170M 5362M|4925B 1622B|   0  4100B|   0  1.00 |4920  3376 |1.60 1.14 0.62|1.0   0 266|   0     0 |           | 11    4    1   19    0
Jun 01 15:11:54 ubuntu dstat.sh[64930]: 01-06 15:11:54|  9  22  67   0   0|1119M 1082M  170M 5362M|4281B 1456B|   0    17M|   0   447 |5207  3619 |1.60 1.14 0.62|1.0   0 278|   0     0 |           | 11    4    1   19    0
Jun 01 15:11:55 ubuntu dstat.sh[64930]: 01-06 15:11:55| 15  20  63   0   0|1089M 1112M  170M 5363M|4656B 1460B|   0    20k|   0  5.01 |6117  6682 |1.60 1.14 0.62|5.0   0 258|   0     0 |           | 11    4    1   19    0
Jun 01 15:11:56 ubuntu dstat.sh[64930]: 01-06 15:11:56| 37  13  49   0   0|1152M 1049M  170M 5363M|4877B 1620B|   0     0 |   0     0 |4063  3013 |1.63 1.15 0.63|2.0   0 133|   0     0 |           | 11    5    1   19    0
Jun 01 15:11:57 ubuntu dstat.sh[64930]: 01-06 15:11:57| 46   3  48   0   0|1196M 1005M  170M 5363M|4814B 1457B|   0  1151k|   0  31.0 |2811  1450 |1.63 1.15 0.63|2.0   0   0|   0     0 |           | 11    5    1   13    0
Jun 01 15:11:58 ubuntu dstat.sh[64930]: 01-06 15:11:58| 43   9  47   0   0|1225M  974M  170M 5365M|3435B  756B|   0  1196k|   0  87.0 |3021  3482 |1.63 1.15 0.63|3.0   0   0|   0     0 |           | 11    5    1   13    0
Jun 01 15:11:59 ubuntu dstat.sh[64930]: 01-06 15:11:59| 12  11  76   0   0|1238M  960M  170M 5366M|3948B 1349B|   0    16M|   0   114 |3388  3307 |1.63 1.15 0.63|1.0   0 118|   0     0 |           | 11    4    1   14    0
Jun 01 15:12:00 ubuntu dstat.sh[64930]: 01-06 15:12:00| 11   4  85   0   0|1276M  922M  170M 5366M|4594B 1513B|   0     0 |   0     0 |1533  1471 |1.63 1.15 0.63|1.0   0  22|   0     0 |           | 11    4    1   14    0
Jun 01 15:12:01 ubuntu dstat.sh[64930]: 01-06 15:12:01| 21   4  73   0   0|1334M  864M  170M 5366M|5128B 1530B|   0  8181B|   0  2.00 |1881  1429 |1.58 1.15 0.63|1.0   0 1.0|   0     0 |           | 11    4    1   14    0
Jun 01 15:12:02 ubuntu dstat.sh[64930]: 01-06 15:12:02| 23   2  73   0   0|1354M  844M  170M 5366M|5025B 1608B|   0  2260k|   0  45.0 |1767  1104 |1.58 1.15 0.63|1.0   0 1.0|   0     0 |           | 11    6    1   14    0
Jun 01 15:12:03 ubuntu dstat.sh[64930]: 01-06 15:12:03| 21   6  71   1   0|1265M  933M  170M 5366M|5021B 1589B|   0  4191k|   0   283 |4218  5436 |1.58 1.15 0.63|1.0   0  42|   0     0 |           | 11    4    1   16    0
Jun 01 15:12:04 ubuntu dstat.sh[64930]: 01-06 15:12:04| 23   4  73   0   0|1312M  886M  170M 5366M|5078B 1637B| 144k   31M|6.99   230 |2199  1686 |1.58 1.15 0.63|2.0   0   0|   0     0 |           | 11    4    1   16    0
Jun 01 15:12:05 ubuntu dstat.sh[64930]: 01-06 15:12:05| 19   3  76   0   0|1333M  864M  170M 5366M|9938B 5673B|   0  1898k|   0  16.0 |2371  2339 |1.58 1.15 0.63|1.0   0 1.0|   0     0 |           | 11   17    1   16    0
Jun 01 15:12:06 ubuntu dstat.sh[64930]: 01-06 15:12:06| 19   4  74   1   0|1320M  877M  170M 5367M|  11k 6101B| 268k 1958k|65.9  71.9 |2950  2517 |1.53 1.15 0.64|2.0   0  45|   0     0 |           | 11   28    1   17    0
Jun 01 15:12:07 ubuntu dstat.sh[64930]: 01-06 15:12:07| 22   4  74   0   0|1390M  807M  170M 5367M|5586B 1696B|   0  2334k|   0  22.0 |1810  1429 |1.53 1.15 0.64|2.0   0   0|   0     0 |           | 11   28    2   17    0
Jun 01 15:12:08 ubuntu dstat.sh[64930]: 01-06 15:12:08| 16   4  78   0   0|1377M  820M  170M 5367M|  12k 8622B|   0     0 |   0     0 |2418  1942 |1.53 1.15 0.64|1.0   0  40|   0     0 |           | 11   28    1   18    0
Jun 01 15:12:09 ubuntu dstat.sh[64930]: 01-06 15:12:09| 36  11  51   0   0|1443M  754M  170M 5367M|4734B 1692B|   0   136k|   0  8.99 |3358  2154 |1.53 1.15 0.64|2.0   0 116|   0     0 |           | 11   28    1   18    0
Jun 01 15:12:10 ubuntu dstat.sh[64930]: 01-06 15:12:10| 33   4  62   0   0|1477M  720M  170M 5367M|  16k   13k|   0  2125k|   0  14.0 |4155  4447 |1.53 1.15 0.64|4.0   0   0|   0     0 |           | 11   30    1   16    0
Jun 01 15:12:11 ubuntu dstat.sh[64930]: 01-06 15:12:11| 46  22  32   0   0|1434M  763M  170M 5367M|  11k 8268B|   0   589k|   0  94.2 |6768  7784 |1.89 1.23 0.66|5.0   0 471|   0     0 |           | 11   28    1   17    0
Jun 01 15:12:12 ubuntu dstat.sh[64930]: 01-06 15:12:12| 81  18   0   0   0|1640M  557M  170M 5367M|5091B 2932B|   0  4088B|   0  1.00 |5044  3024 |1.89 1.23 0.66|5.0   0 109|   0     0 |           | 11   29    1   17    0
Jun 01 15:12:13 ubuntu dstat.sh[64930]: 01-06 15:12:13| 82  11   6   0   0|1755M  442M  170M 5367M|  31k   28k|   0   172k|   0  16.0 |6228  8202 |1.89 1.23 0.66|6.0   0   0|   0     0 |           | 11   34    1   17    0
Jun 01 15:12:14 ubuntu dstat.sh[64930]: 01-06 15:12:14| 64  15  20   0   0|1496M  700M  170M 5367M|  22k   18k|   0   587k|   0  55.9 |7775    11k|1.89 1.23 0.66|1.0   0 260|   0     0 |           | 11   28    1   23    0
Jun 01 15:12:15 ubuntu dstat.sh[64930]: 01-06 15:12:15| 19  10  70   0   0|1481M  716M  170M 5367M|4637B 1500B|   0    76M|   0   403 |3234  2475 |1.89 1.23 0.66|1.0   0  55|   0     0 |           | 11   28    1   23    0
Jun 01 15:12:16 ubuntu dstat.sh[64930]: 01-06 15:12:16| 16   3  80   0   0|1481M  715M  170M 5367M|9993B 7308B|   0  1084k|   0  8.00 |2314  2282 |1.74 1.21 0.66|  0   0   0|   0     0 |           | 11   29    1   23    0
Jun 01 15:12:17 ubuntu dstat.sh[64930]: 01-06 15:12:17| 17   8  73   1   0|1426M  770M  170M 5367M|6625B 2668B|   0  2904k|   0   147 |3362  3069 |1.74 1.21 0.66|1.0   0  68|   0     0 |           | 11   28    1   24    0
Jun 01 15:12:18 ubuntu dstat.sh[64930]: 01-06 15:12:18| 19   3  78   0   0|1451M  745M  170M 5367M|8869B 5476B|   0     0 |   0     0 |1982  1645 |1.74 1.21 0.66|1.0   0   0|   0     0 |           | 11   29    1   24    0
Jun 01 15:12:19 ubuntu dstat.sh[64930]: 01-06 15:12:19| 17   6  76   0   0|1421M  775M  170M 5367M|8163B 4405B|   0   312k|   0  24.0 |3338  3345 |1.74 1.21 0.66|3.0   0  56|   0     0 |           | 11   28    1   25    0
Jun 01 15:12:20 ubuntu dstat.sh[64930]: 01-06 15:12:20|  8  23  67   0   0|1401M  795M  170M 5367M|4997B 1408B|   0  9766k|   0  67.2 |5537  3667 |1.74 1.21 0.66|1.0   0 379|   0     0 |           | 11   28    1   25    0
Jun 01 15:12:21 ubuntu dstat.sh[64930]: 01-06 15:12:21| 42  32  26   0   0|1441M  755M  170M 5367M|5257B 1533B|   0   580k|   0  21.0 |5870  4707 |2.00 1.27 0.68|5.0   0 605|   0     0 |           | 11   28    1   25    0
Jun 01 15:12:22 ubuntu dstat.sh[64930]: 01-06 15:12:22| 87  11   1   0   0|1660M  536M  170M 5367M|  12k 9844B|   0   676k|   0  41.0 |5314  3109 |2.00 1.27 0.68|4.0   0   0|   0     0 |           | 11   31    1   25    0
Jun 01 15:12:23 ubuntu dstat.sh[64930]: 01-06 15:12:23| 74  10  15   0   0|1655M  541M  170M 5367M|  44k   39k|   0   363k|   0  42.9 |9289    16k|2.00 1.27 0.68|5.0   0  30|   0     0 |           | 11   30    1   25    0
Jun 01 15:12:24 ubuntu dstat.sh[64930]: 01-06 15:12:24| 78  21   1   0   0|1580M  616M  170M 5368M|9815B 4543B|   0   373k|   0  39.1 |6069  5997 |2.00 1.27 0.68|6.0   0 281|   0     0 |           | 11   28    1   26    0
Jun 01 15:12:25 ubuntu dstat.sh[64930]: 01-06 15:12:25| 89  11   1   0   0|1707M  488M  170M 5368M|  16k   12k|   0   236k|   0  13.0 |5361  3594 |2.00 1.27 0.68|7.0   0   0|   0     0 |           | 11   31    1   26    0
Jun 01 15:12:26 ubuntu dstat.sh[64930]: 01-06 15:12:26| 80  11   7   0   0|1761M  435M  170M 5368M|  44k   40k|   0   172k|   0  9.99 |8953    14k|2.24 1.33 0.71|4.0   0  44|   0     0 |           | 11   32    1   27    0
Jun 01 15:12:27 ubuntu dstat.sh[64930]: 01-06 15:12:27| 56  15  28   0   0|1525M  670M  170M 5368M|  19k   14k|   0   480k|   0  39.0 |7031  9225 |2.24 1.33 0.71|2.0   0 254|   0     0 |           | 11   28    1   30    0
Jun 01 15:12:28 ubuntu dstat.sh[64930]: 01-06 15:12:28| 37   5  56   0   0|1555M  640M  170M 5368M|8365B 6004B|   0   184k|   0  7.98 |2867  1853 |2.24 1.33 0.71|1.0   0   0|   0     0 |           | 11   30    1   30    0
