Mar 16 05:35:20 ubuntu systemd[1]: Started devstack@dstat.service - Devstack devstack@dstat.service.
Mar 16 05:35:20 ubuntu dstat.sh[60115]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ---total--- ------tcp-sockets-------
Mar 16 05:35:20 ubuntu dstat.sh[60115]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Mar 16 05:35:20 ubuntu dstat.sh[60115]: 16-03 05:35:20|                   | 987M 1584M  159M 4906M|           |           |           |           |1.51 0.99 0.54|1.0   0    |           |           | 10    2    0   17    0
Mar 16 05:35:21 ubuntu dstat.sh[60115]: 16-03 05:35:21| 10  20  69   0   0| 986M 1585M  159M 4906M|5439B 2538B|   0  1263k|   0  55.0 |6445  5464 |1.51 0.99 0.54|1.5   0 466|   0     0 |           | 10    2    0   17    0
Mar 16 05:35:22 ubuntu dstat.sh[60115]: 16-03 05:35:22| 14  20  65   0   0| 944M 1627M  159M 4906M|5305B 2479B|   0   982k|   0  40.0 |6332  5668 |1.51 0.99 0.54|1.0   0 409|   0     0 |           | 10    2    0   17    0
Mar 16 05:35:23 ubuntu dstat.sh[60115]: 16-03 05:35:23| 16  19  65   0   0| 942M 1629M  159M 4906M|5052B 1666B|   0    16k|   0  4.01 |6547  7760 |1.63 1.02 0.55|1.0   0 290|   0     0 |           | 10    2    0   17    0
Mar 16 05:35:24 ubuntu dstat.sh[60115]: 16-03 05:35:24|  8   4  87   0   0|1054M 1517M  159M 5028M|4975B 2136B|   0     0 |   0     0 |1995  2368 |1.63 1.02 0.55|1.0   0  14|   0     0 |           | 11    3    0   17    0
Mar 16 05:35:25 ubuntu dstat.sh[60115]: 16-03 05:35:25| 10  10  79   0   0|1062M 1509M  159M 5028M|5039B 2239B|  16k   16k|1.00  4.01 |2879  2145 |1.63 1.02 0.55|1.0   0  92|   0     0 |           | 11    4    0   17    0
Mar 16 05:35:26 ubuntu dstat.sh[60115]: 16-03 05:35:26| 14  13  72   0   0|1075M 1495M  159M 5028M|4615B 1660B|   0   276k|   0  21.0 |4132  3109 |1.63 1.02 0.55|2.0   0 195|   0     0 |           | 11    4    0   19    0
Mar 16 05:35:27 ubuntu dstat.sh[60115]: 16-03 05:35:27| 22   4  73   0   0|1139M 1430M  159M 5029M|4613B 1617B|  32k 4549k|2.00  26.0 |1954  1505 |1.63 1.02 0.55|1.0   0   0|   0     0 |           | 11    4    0   19    0
Mar 16 05:35:28 ubuntu dstat.sh[60115]: 16-03 05:35:28| 20   4  73   2   0|1174M 1393M  159M 5030M|4283B 1625B|   0  4330k|   0   352 |3254  4417 |1.58 1.02 0.55|1.0   0  10|   0     0 |           | 11    6    0   19    0
Mar 16 05:35:29 ubuntu dstat.sh[60115]: 16-03 05:35:29| 19   5  60  13   0|1144M 1415M  161M 5038M|  11k 5102B|   0    50M|   0  4233 |  16k   32k|1.58 1.02 0.55|2.0 1.0  60|   0     0 |           | 11    6    0   19    0
Mar 16 05:35:30 ubuntu dstat.sh[60115]: 16-03 05:35:30| 36   8  52   3   0|1113M 1444M  161M 5038M|  13k 6528B|   0    19M|   0  1256 |6372  9552 |1.58 1.02 0.55|1.0   0 108|   0     0 |           | 11    5    0   19    0
Mar 16 05:35:31 ubuntu dstat.sh[60115]: 16-03 05:35:31| 31   3  64   0   0|1177M 1380M  161M 5038M|  37k 9921B|   0  1651k|   0  60.0 |2226  1666 |1.58 1.02 0.55|2.0   0   0|   0     0 |           | 11    6    0   19    0
Mar 16 05:35:32 ubuntu dstat.sh[60115]: 16-03 05:35:32| 32   4  62   1   0|1176M 1380M  162M 5039M|  24k   13k|   0  7712k|   0   397 |3166  3210 |1.58 1.02 0.55|2.0   0  10|   0     0 |           | 11    6    0   19    0
Mar 16 05:35:33 ubuntu dstat.sh[60115]: 16-03 05:35:33| 38   4  57   1   0|1203M 1353M  162M 5039M|  40k   12k|   0  1676k|   0  66.0 |2727  1667 |1.61 1.04 0.56|3.0   0   0|   0     0 |           | 11    6    0   19    0
Mar 16 05:35:34 ubuntu dstat.sh[60115]: 16-03 05:35:34| 29  13  57   1   0|1181M 1374M  162M 5039M|  25k   15k|   0  2650k|   0  96.2 |4816  3886 |1.61 1.04 0.56|1.0   0 310|   0     0 |           | 11    6    0   19    0
Mar 16 05:35:35 ubuntu dstat.sh[60115]: 16-03 05:35:35| 30  22  46   1   0|1157M 1369M  163M 5066M| 170k 5748B|   0  2372k|   0  97.8 |6946  6872 |1.61 1.04 0.56|2.0   0 471|   0     0 |           | 11    6    0   19    0
Mar 16 05:35:36 ubuntu dstat.sh[60115]: 16-03 05:35:36| 55  15  29   0   0|1211M 1296M  163M 5082M|5308B 1511B|   0  1547k|   0  71.9 |5023  8467 |1.61 1.04 0.56|8.0   0 227|   0     0 |           | 11    7    0   19    0
Mar 16 05:35:37 ubuntu dstat.sh[60115]: 16-03 05:35:37| 69   9  20   1   0|1305M 1179M  164M 5102M|4679B 1570B|   0  2812k|   0   185 |4271  7246 |1.61 1.04 0.56|3.0   0 2.0|   0     0 |           | 11    7    0   20    0
Mar 16 05:35:38 ubuntu dstat.sh[60115]: 16-03 05:35:38| 63  11  25   1   0|1336M 1117M  165M 5129M|4194B 1184B|   0  4245k|   0   307 |3955  2362 |1.80 1.09 0.58|3.0   0   0|   0     0 |           | 11    7    0   20    0
Mar 16 05:35:39 ubuntu dstat.sh[60115]: 16-03 05:35:39| 42  11  45   1   0|1359M 1095M  166M 5125M|4894B 1824B|   0  4277k|   0   193 |5093  5267 |1.80 1.09 0.58|1.0   0 118|   0     0 |           | 11    4    0   19    0
Mar 16 05:35:40 ubuntu dstat.sh[60115]: 16-03 05:35:40| 18   8  71   0   0|1351M 1103M  166M 5125M|3863B 1187B|   0   792k|   0  52.0 |2799  2463 |1.80 1.09 0.58|1.0   0  72|   0     0 |           | 11    4    0   19    0
Mar 16 05:35:41 ubuntu dstat.sh[60115]: 16-03 05:35:41| 23   2  73   0   0|1355M 1100M  166M 5125M|3950B 1350B|   0     0 |   0     0 |1784  1197 |1.80 1.09 0.58|1.0   0   0|   0     0 |           | 11    4    0   19    0
Mar 16 05:35:42 ubuntu dstat.sh[60115]: 16-03 05:35:42| 24   3  70   1   0|1366M 1088M  166M 5125M|4171B 1512B|   0    24M|   0   637 |3817  4778 |1.80 1.09 0.58|2.0   0 1.0|   0     0 |           | 11   10    0   19    0
Mar 16 05:35:43 ubuntu dstat.sh[60115]: 16-03 05:35:43| 20   6  73   1   0|1349M 1105M  166M 5125M|4258B 1570B| 128k 2603k|3.01   148 |2622  2253 |1.74 1.09 0.58|1.0   0  42|   0     0 |           | 11    4    0   15    0
Mar 16 05:35:44 ubuntu dstat.sh[60115]: 16-03 05:35:44| 20   2  77   0   0|1365M 1089M  166M 5125M|7511B 4103B|  16k  798k|3.99  6.98 |1798  1390 |1.74 1.09 0.58|1.0   0 1.0|   0     0 |           | 11   11    0   15    0
Mar 16 05:35:45 ubuntu dstat.sh[60115]: 16-03 05:35:45| 20   2  75   1   0|1371M 1082M  166M 5126M|  11k 7661B| 268k 1488k|66.0  33.0 |2789  2914 |1.74 1.09 0.58|1.0   0 3.0|   0     0 |           | 11   28    0   16    0
Mar 16 05:35:46 ubuntu dstat.sh[60115]: 16-03 05:35:46| 20   6  73   0   0|1344M 1110M  166M 5126M|4384B 1517B|   0  2584k|   0   112 |2336  1644 |1.74 1.09 0.58|1.0   0  43|   0     0 |           | 11   28    0   16    0
Mar 16 05:35:47 ubuntu dstat.sh[60115]: 16-03 05:35:47| 18   3  79   0   0|1355M 1099M  166M 5126M|  11k 8552B|   0     0 |   0     0 |2030  1657 |1.74 1.09 0.58|1.0   0   0|   0     0 |           | 11   28    0   17    0
