Jul 25 06:17:03 jammy-provider-cloud-0000007400 systemd[1]: Started Devstack devstack@dstat.service.
Jul 25 06:17:03 jammy-provider-cloud-0000007400 dstat.sh[57574]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Jul 25 06:17:03 jammy-provider-cloud-0000007400 dstat.sh[57574]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Jul 25 06:17:03 jammy-provider-cloud-0000007400 dstat.sh[57574]: 25-07 06:17:03|                   |1001M 1877M  158M 4598M|           |           |           |           |1.27 0.92 0.46|1.0   0    |           |   0     0 |  9    8    5   17    0
Jul 25 06:17:04 jammy-provider-cloud-0000007400 dstat.sh[57574]: 25-07 06:17:04| 45  21  33   0   0|1010M 1866M  158M 4599M|1048k   26k|   0  5362k|   0   121 |4426  7101 |1.27 0.92 0.46|2.5   0 669|   0     0 |   0     0 |  9    7    5   17    0
Jul 25 06:17:05 jammy-provider-cloud-0000007400 dstat.sh[57574]: 25-07 06:17:05| 43  17  38   0   0|1043M 1829M  158M 4604M|1721k   39k|   0  5132k|   0   217 |5354  8417 |1.27 0.92 0.46|2.0   0 497|   0     0 |   0     0 |  9    8    5   17    0
Jul 25 06:17:06 jammy-provider-cloud-0000007400 dstat.sh[57574]: 25-07 06:17:06| 50  12  37   1   0|1161M 1707M  158M 4729M| 920k   21k|   0  4100k|   0  53.0 |5379  9496 |1.73 1.02 0.50|2.0   0 141|   0     0 |   0     0 | 10    7    5   17    1
Jul 25 06:17:07 jammy-provider-cloud-0000007400 dstat.sh[57574]: 25-07 06:17:07| 46  11  42   1   0|1216M 1635M  158M 4745M|1864k   38k|  80k 5328k|1.00   132 |3781  5083 |1.73 1.02 0.50|3.0   0 205|   0     0 |   0     0 | 10    6    6   19    2
Jul 25 06:17:08 jammy-provider-cloud-0000007400 dstat.sh[57574]: 25-07 06:17:08| 61  13  24   1   0|1268M 1569M  158M 4758M|5422B 1694B|  11M 1839k| 133  36.0 |2065  2391 |1.73 1.02 0.50|3.0   0  99|   0     0 |   0     0 | 10    6    6   19    2
Jul 25 06:17:09 jammy-provider-cloud-0000007400 dstat.sh[57574]: 25-07 06:17:09| 45  13  36   6   0|1271M 1557M  159M 4767M| 949k   18k|1164k   30M|14.0  2627 |9510    21k|1.73 1.02 0.50|5.0   0 112|   0     0 |   0     0 | 10    8    6   19    2
Jul 25 06:17:10 jammy-provider-cloud-0000007400 dstat.sh[57574]: 25-07 06:17:10| 61  12  25   3   0|1234M 1562M  160M 4795M|5626B 1640B|   0    58M|   0  3620 |8709    21k|1.73 1.02 0.50|3.0   0 101|   0     0 |   0     0 | 10    6    6   19    2
Jul 25 06:17:11 jammy-provider-cloud-0000007400 dstat.sh[57574]: 25-07 06:17:11| 53   6  40   2   0|1292M 1476M  161M 4818M| 753k   14k|   0  4598k|   0   200 |2080  2536 |1.75 1.04 0.51|3.0   0 1.0|   0     0 |   0     0 | 10    8    6   19    2
Jul 25 06:17:12 jammy-provider-cloud-0000007400 dstat.sh[57574]: 25-07 06:17:12| 66   5  29   1   0|1226M 1540M  162M 4818M| 242k 6950B|   0  8004k|   0   496 |2071  2799 |1.75 1.04 0.51|3.0   0  13|   0     0 |   0     0 | 10    4    6   19    0
Jul 25 06:17:13 jammy-provider-cloud-0000007400 dstat.sh[57574]: 25-07 06:17:13| 58   6  35   0   0|1263M 1502M  162M 4819M| 336k   11k|   0   988k|   0  24.0 |8967    18k|1.75 1.04 0.51|2.0   0  14|   0     0 |   0     0 | 10    6    6   19    0
Jul 25 06:17:14 jammy-provider-cloud-0000007400 dstat.sh[57574]: 25-07 06:17:14| 37  18  45   0   0|1189M 1575M  162M 4820M| 447k   12k|   0   104k|   0  6.00 |  12k   23k|1.75 1.04 0.51|2.0   0 438|   0     0 |   0     0 | 10    6    6   19    0
Jul 25 06:17:15 jammy-provider-cloud-0000007400 dstat.sh[57574]: 25-07 06:17:15| 35  20  43   0   0|1143M 1620M  162M 4821M| 141k 6964B|   0  2979k|   0  24.0 |5255  8914 |1.75 1.04 0.51|3.0   0 382|   0     0 |   0     0 | 10    4    6   19    2
Jul 25 06:17:16 jammy-provider-cloud-0000007400 dstat.sh[57574]: 25-07 06:17:16| 60  10  29   0   0|1177M 1586M  162M 4821M|5717B 1832B|   0    32k|   0  3.99 |2290  3362 |1.85 1.07 0.52|2.0   0 183|   0     0 |   0     0 | 10    5    6   19    0
Jul 25 06:17:17 jammy-provider-cloud-0000007400 dstat.sh[57574]: 25-07 06:17:17| 47   3  49   0   0|1233M 1530M  162M 4822M|7169B 1714B|   0   716k|   0  80.0 |1278  1291 |1.85 1.07 0.52|2.0   0   0|   0     0 |   0     0 | 10    5    6   19    0
Jul 25 06:17:18 jammy-provider-cloud-0000007400 dstat.sh[57574]: 25-07 06:17:18| 25   8  66   0   0|1258M 1502M  162M 4824M|6564B 1458B|   0   608k|   0  56.0 |2745  6185 |1.85 1.07 0.52|  0   0 118|   0     0 |   0     0 | 10    4    6   19    0
Jul 25 06:17:19 jammy-provider-cloud-0000007400 dstat.sh[57574]: 25-07 06:17:19|  5   2  92   0   0|1268M 1492M  162M 4824M|7940B 1622B|   0     0 |   0     0 |1038  1320 |1.85 1.07 0.52|1.0   0  21|   0     0 |   0     0 | 10    4    6   19    0
Jul 25 06:17:20 jammy-provider-cloud-0000007400 dstat.sh[57574]: 25-07 06:17:20| 23   4  73   0   0|1335M 1425M  162M 4824M|6175B 1619B|   0    12M|   0  62.9 |1125  1594 |1.85 1.07 0.52|1.0   0   0|   0     0 |   0     0 | 10    4    6   13    0
Jul 25 06:17:21 jammy-provider-cloud-0000007400 dstat.sh[57574]: 25-07 06:17:21| 24   3  73   1   0|1350M 1410M  162M 4824M|6254B 1620B|   0  1944k|   0   178 |2455  4428 |1.78 1.07 0.52|1.0   0 1.0|   0     0 |   0     0 | 10   10    6   13    0
Jul 25 06:17:22 jammy-provider-cloud-0000007400 dstat.sh[57574]: 25-07 06:17:22| 22   4  73   0   0|1314M 1446M  162M 4825M|6333B 1767B|   0     0 |   0     0 |1048  1471 |1.78 1.07 0.52|1.0   0  42|   0     0 |   0     0 | 10    4    6   15    0
Jul 25 06:17:23 jammy-provider-cloud-0000007400 dstat.sh[57574]: 25-07 06:17:23| 23   5  73   0   0|1280M 1479M  162M 4825M|7062B 1621B| 232k 1377k|58.1  6.01 |1875  2947 |1.78 1.07 0.52|1.0   0  46|   0     0 |   0     0 | 10   28    6   16    0
Jul 25 06:17:24 jammy-provider-cloud-0000007400 dstat.sh[57574]: 25-07 06:17:24| 23   2  73   0   0|1330M 1429M  162M 4825M|8333B 1620B|   0     0 |   0     0 |1191  1629 |1.78 1.07 0.52|1.0   0 2.0|   0     0 |   0     0 | 10   28    6   16    0
Jul 25 06:17:25 jammy-provider-cloud-0000007400 dstat.sh[57574]: 25-07 06:17:25| 37  10  54   0   0|1378M 1381M  162M 4825M|6612B 1460B|   0  6315k|   0   298 |2008  2976 |1.78 1.07 0.52|2.0   0 156|   0     0 |   0     0 | 10   28    6   16    0
