Mar 26 14:31:23 ubuntu systemd[1]: Started devstack@dstat.service - Devstack devstack@dstat.service.
Mar 26 14:31:23 ubuntu dstat.sh[65505]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ---total--- ------tcp-sockets-------
Mar 26 14:31:23 ubuntu dstat.sh[65505]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Mar 26 14:31:23 ubuntu dstat.sh[65505]: 26-03 14:31:23|                   |1040M 1311M  166M 5109M|           |           |           |           |1.39 0.95 0.51|2.0   0    |           |           | 10    5    1   17    0
Mar 26 14:31:24 ubuntu dstat.sh[65505]: 26-03 14:31:24| 19  21  59   0   0|1035M 1316M  166M 5109M|  34k   14k|   0  2615k|   0   103 |6114  5083 |1.39 0.95 0.51|2.0   0 415|   0     0 |           | 10    6    0   17    0
Mar 26 14:31:25 ubuntu dstat.sh[65505]: 26-03 14:31:25| 24  22  53   1   0|1017M 1333M  166M 5110M|  22k   13k|   0  1887k|   0  83.5 |6174  5342 |1.39 0.95 0.51|7.0   0 401|   0     0 |           | 10    6    0   17    0
Mar 26 14:31:26 ubuntu dstat.sh[65505]: 26-03 14:31:26| 26  19  52   0   0|1012M 1337M  166M 5110M|  39k   13k|   0  1536k|   0  51.9 |5354  5172 |1.39 0.95 0.51|1.0   0 255|   0     0 |           | 10    5    0   17    1
Mar 26 14:31:27 ubuntu dstat.sh[65505]: 26-03 14:31:27| 33  15  51   1   0|1115M 1214M  166M 5251M| 176k   11k|   0  5591k|   0  85.0 |6095  6926 |1.39 0.95 0.51|2.0   0 146|   0     0 |           | 11    6    0   17    2
Mar 26 14:31:28 ubuntu dstat.sh[65505]: 26-03 14:31:28| 38  13  48   1   0|1125M 1180M  167M 5270M|4861B 1620B|   0  1948k|   0  64.0 |4282  2736 |1.44 0.96 0.52|3.0   0 142|   0     0 |           | 11    6    0   17    2
Mar 26 14:31:29 ubuntu dstat.sh[65505]: 26-03 14:31:29| 41   9  48   1   0|1177M 1106M  168M 5290M|4416B 1243B|  32k 4992k|2.00   253 |3932  2805 |1.44 0.96 0.52|2.0   0  73|   0     0 |           | 11    6    0   19    2
Mar 26 14:31:30 ubuntu dstat.sh[65505]: 26-03 14:31:30| 44   6  49   1   0|1213M 1052M  169M 5304M|4531B 1350B|   0  4165k|   0   130 |3404  2337 |1.44 0.96 0.52|2.0   0   0|   0     0 |           | 11    6    0   19    2
Mar 26 14:31:31 ubuntu dstat.sh[65505]: 26-03 14:31:31| 34   7  46  11   0|1230M  997M  171M 5337M|5058B 1662B|   0    47M|   0  3590 |  13k   25k|1.44 0.96 0.52|2.0   0  55|   0     0 |           | 11    8    0   19    2
Mar 26 14:31:32 ubuntu dstat.sh[65505]: 26-03 14:31:32| 38   8  48   5   0|1223M 1015M  172M 5325M|  11k 4220B|   0    36M|   0  2508 |9283    16k|1.44 0.96 0.52|2.0   0 105|   0     0 |           | 11    4    0   19    0
Mar 26 14:31:33 ubuntu dstat.sh[65505]: 26-03 14:31:33| 40   7  53   0   0|1279M  959M  172M 5325M|  11k 3728B|   0  1395k|   0  63.0 |3014  1780 |1.40 0.97 0.53|2.0   0  33|   0     0 |           | 11    5    0   19    0
Mar 26 14:31:34 ubuntu dstat.sh[65505]: 26-03 14:31:34| 45   6  47   1   0|1274M  958M  172M 5330M|5926B 1795B|   0  9074k|   0   513 |3829  3458 |1.40 0.97 0.53|2.0   0  13|   0     0 |           | 11    4    0   19    0
Mar 26 14:31:35 ubuntu dstat.sh[65505]: 26-03 14:31:35| 40   7  52   1   0|1293M  933M  172M 5335M|  13k 4740B|   0  1277k|   0  70.1 |7287    11k|1.40 0.97 0.53|5.0   0  22|   0     0 |           | 11    4    0   19    0
