Dec 06 19:54:21 jammy-provider-cloud-0000007783 systemd[1]: Started Devstack devstack@dstat.service.
Dec 06 19:54:21 jammy-provider-cloud-0000007783 dstat.sh[58110]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Dec 06 19:54:21 jammy-provider-cloud-0000007783 dstat.sh[58110]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Dec 06 19:54:21 jammy-provider-cloud-0000007783 dstat.sh[58110]: 06-12 19:54:21|                   | 976M 1923M  159M 4576M|           |           |           |           |1.10 0.85 0.46|3.0   0    |           |   0     0 |  9    4    4   17    2
Dec 06 19:54:22 jammy-provider-cloud-0000007783 dstat.sh[58110]: 06-12 19:54:22| 29  22  47   1   0| 987M 1903M  159M 4584M|5268B 1681B|   0  4125k|   0   159 |4137  7157 |1.22 0.88 0.47|2.5   0 620|   0     0 |   0     0 |  9    4    4   17    2
Dec 06 19:54:23 jammy-provider-cloud-0000007783 dstat.sh[58110]: 06-12 19:54:23| 32  20  46   2   0|1000M 1850M  160M 4620M|5348B 1830B|   0  4540k|   0   170 |4483  8360 |1.33 0.90 0.48|2.0   0 495|   0     0 |   0     0 |  9    4    4   17    2
Dec 06 19:54:24 jammy-provider-cloud-0000007783 dstat.sh[58110]: 06-12 19:54:24| 30   8  61   1   0|1115M 1725M  161M 4747M|  11k 4356B|   0  2334k|   0  66.0 |3391  8849 |1.33 0.90 0.48|2.0   0  50|   0     0 |   0     0 | 10    2    4   16    0
Dec 06 19:54:25 jammy-provider-cloud-0000007783 dstat.sh[58110]: 06-12 19:54:25| 39  12  49   0   0|1089M 1751M  161M 4748M|4692B 1735B|  80k 1965k|1.00  93.1 |2202  2894 |1.33 0.90 0.48|2.0   0 193|   0     0 |   0     0 | 10    4    4   16    0
Dec 06 19:54:26 jammy-provider-cloud-0000007783 dstat.sh[58110]: 06-12 19:54:26| 41  11  47   0   0|1144M 1695M  161M 4749M|8001B 1712B|   0  3449k|   0  29.0 |  11k   20k|1.33 0.90 0.48|4.0   0 117|   0     0 |   0     0 | 10    4    4   18    0
Dec 06 19:54:27 jammy-provider-cloud-0000007783 dstat.sh[58110]: 06-12 19:54:27| 44   7  46   2   0|1166M 1670M  161M 4750M|5857B 1714B|   0  8129k|   0   284 |9726    20k|1.39 0.92 0.49|2.0 1.0  23|   0     0 |   0     0 | 10    6    4   18    0
Dec 06 19:54:28 jammy-provider-cloud-0000007783 dstat.sh[58110]: 06-12 19:54:28| 32   7  46  14   0|1159M 1670M  162M 4757M|5151B 1619B|   0    31M|   0  2698 |  11k   24k|1.39 0.92 0.49|4.0   0  53|   0     0 |   0     0 | 10    6    4   18    0
Dec 06 19:54:29 jammy-provider-cloud-0000007783 dstat.sh[58110]: 06-12 19:54:29| 20   9  62   7   0|1075M 1752M  163M 4758M|4506B 1773B|   0    24M|   0  1700 |5503    13k|1.39 0.92 0.49|2.0   0 140|   0     0 |   0     0 | 10    4    4   18    0
Dec 06 19:54:30 jammy-provider-cloud-0000007783 dstat.sh[58110]: 06-12 19:54:30| 23   2  73   0   0|1129M 1699M  163M 4758M|6541B 1620B|   0   704k|   0  37.0 |1098  1515 |1.39 0.92 0.49|1.0   0 3.0|   0     0 |   0     0 | 10    4    4   18    0
