Feb 12 15:21:49 np0000000046 systemd[1]: Started devstack@dstat.service - Devstack devstack@dstat.service.
Feb 12 15:21:50 np0000000046 dstat.sh[58901]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ---total--- ------tcp-sockets-------
Feb 12 15:21:50 np0000000046 dstat.sh[58901]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Feb 12 15:21:50 np0000000046 dstat.sh[58901]: 12-02 15:21:50|                   |1000M 1653M  157M 4832M|           |           |           |           |0.93 0.68 0.39|3.0   0    |           |           | 10    4    0   18    0
Feb 12 15:21:51 np0000000046 dstat.sh[58901]: 12-02 15:21:51| 46  22  31   0   0|1030M 1623M  157M 4833M|  18k 9653B|   0  2027k|   0  82.0 |7037  6201 |0.93 0.68 0.39|3.0   0 639|   0     0 |           | 10    4    0   18    0
Feb 12 15:21:52 np0000000046 dstat.sh[58901]: 12-02 15:21:52| 27  18  53   1   0| 998M 1650M  157M 4837M|1816k   33k|   0  3857k|   0  79.5 |7193  7064 |0.93 0.68 0.39|  0   0 506|   0     0 |           | 10    6    0   17    0
Feb 12 15:21:53 np0000000046 dstat.sh[58901]: 12-02 15:21:53| 29  11  59   0   0|1123M 1524M  157M 4959M|  21k   11k|   0    10M|   0   396 |5445  6684 |0.93 0.68 0.39|1.0   0 131|   0     0 |           | 11    6    0   17    0
Feb 12 15:21:54 np0000000046 dstat.sh[58901]: 12-02 15:21:54| 19   5  75   1   0|1131M 1516M  158M 4959M|  41k   13k|  16k 1570k|1.00  52.1 |2611  2100 |0.94 0.69 0.39|2.0   0  81|   0     0 |           | 11    7    0   17    1
Feb 12 15:21:55 np0000000046 dstat.sh[58901]: 12-02 15:21:55| 30  12  58   1   0|1122M 1517M  158M 4967M| 142k   15k|   0  1925k|   0  67.0 |4441  3258 |0.94 0.69 0.39|1.0 1.0 191|   0     0 |           | 11    6    0   19    2
Feb 12 15:21:56 np0000000046 dstat.sh[58901]: 12-02 15:21:56| 42   7  50   1   0|1181M 1431M  159M 4989M|  46k 2755B| 480k 3491k|18.0  82.0 |3238  2086 |0.94 0.69 0.39|2.0   0  15|   0     0 |           | 11    6    0   19    2
Feb 12 15:21:57 np0000000046 dstat.sh[58901]: 12-02 15:21:57| 44   5  48   1   0|1219M 1372M  160M 5006M|5354B 1619B| 128k 5369k|6.00   221 |3875  3592 |0.94 0.69 0.39|1.0 1.0 4.0|   0     0 |           | 11    8    0   19    2
Feb 12 15:21:58 np0000000046 dstat.sh[58901]: 12-02 15:21:58| 33   6  46  14   0|1244M 1316M  162M 5034M|4321B 1620B|4097B   48M|1.00  3348 |  14k   29k|0.94 0.69 0.39|2.0   0  63|   0     0 |           | 11    8    0   19    2
Feb 12 15:21:59 np0000000046 dstat.sh[58901]: 12-02 15:21:59| 41   7  45   4   0|1221M 1321M  163M 5048M|4795B 1618B|   0    32M|   0  1828 |8473    14k|1.35 0.77 0.42|2.0   0  90|   0     0 |           | 11    6    0   19    2
Feb 12 15:22:00 np0000000046 dstat.sh[58901]: 12-02 15:22:00| 44   6  48   1   0|1271M 1242M  164M 5073M|4679B 1620B|   0  3288k|   0   115 |3234  2090 |1.35 0.77 0.42|3.0   0   0|   0     0 |           | 11    6    0   19    2
Feb 12 15:22:01 np0000000046 dstat.sh[58901]: 12-02 15:22:01| 41   6  52   1   0|1253M 1275M  164M 5058M|  11k 4190B|   0    10M|   0   593 |3615  3243 |1.35 0.77 0.42|2.0   0  12|   0     0 |           | 11    4    0   19    0
Feb 12 15:22:02 np0000000046 dstat.sh[58901]: 12-02 15:22:02| 40   5  54   0   0|1265M 1262M  164M 5058M|  10k 3693B|   0   479k|   0  15.0 |2842  1561 |1.35 0.77 0.42|2.0   0  33|   0     0 |           | 11    5    0   19    0
Feb 12 15:22:03 np0000000046 dstat.sh[58901]: 12-02 15:22:03| 38  14  47   0   0|1178M 1343M  164M 5064M|4610B 1863B|   0   926k|   0  8.01 |4935  3645 |1.35 0.77 0.42|3.0   0 318|   0     0 |           | 11    4    0   19    0
Feb 12 15:22:04 np0000000046 dstat.sh[58901]: 12-02 15:22:04| 28  22  48   0   0|1186M 1329M  164M 5069M|  11k 4695B|   0  1585k|   0  84.9 |6951  6770 |1.40 0.80 0.43|2.0   0 484|   0     0 |           | 11    4    0   19    0
Feb 12 15:22:05 np0000000046 dstat.sh[58901]: 12-02 15:22:05| 51  18  30   1   0|1197M 1310M  165M 5077M|4527B 1620B|7706k   88k|78.0  2.00 |  12k   19k|1.40 0.80 0.43|3.0   0 207|   0     0 |           | 11    5    0   19    0
Feb 12 15:22:06 np0000000046 dstat.sh[58901]: 12-02 15:22:06| 66  11  21   0   0|1259M 1247M  165M 5078M|4568B 1614B|  20k  315k|3.98  13.9 |  12k   18k|1.40 0.80 0.43|4.0   0  19|   0     0 |           | 11    5    0   19    0
Feb 12 15:22:07 np0000000046 dstat.sh[58901]: 12-02 15:22:07| 64  12  24   0   0|1268M 1249M  165M 5068M|4938B 1628B| 495k 2915k|15.1   148 |4010  1968 |1.40 0.80 0.43|5.0   0  26|   0     0 |           | 11    5    0   19    0
Feb 12 15:22:08 np0000000046 dstat.sh[58901]: 12-02 15:22:08| 37  12  50   0   0|1261M 1254M  165M 5070M|4152B 1456B|   0  1003k|   0  79.9 |4602  5166 |1.40 0.80 0.43|1.0   0 190|   0     0 |           | 11    4    0   19    0
Feb 12 15:22:09 np0000000046 dstat.sh[58901]: 12-02 15:22:09| 21   5  73   0   0|1325M 1190M  165M 5070M|5162B 1789B|   0    17M|   0   249 |2341  2245 |1.37 0.80 0.43|1.0   0   0|   0     0 |           | 11    4    0   19    0
Feb 12 15:22:10 np0000000046 dstat.sh[58901]: 12-02 15:22:10| 24   3  73   0   0|1344M 1171M  165M 5070M|5521B 1956B|   0   312k|   0  30.0 |1923  1458 |1.37 0.80 0.43|1.0   0 1.0|   0     0 |           | 11    6    0   19    0
Feb 12 15:22:11 np0000000046 dstat.sh[58901]: 12-02 15:22:11| 20   6  71   1   0|1301M 1214M  165M 5070M|4676B 1744B|   0  4256k|   0   423 |4197  5261 |1.37 0.80 0.43|1.0   0  42|   0     0 |           | 11    4    0   21    0
Feb 12 15:22:12 np0000000046 dstat.sh[58901]: 12-02 15:22:12| 22   3  74   0   0|1316M 1197M  165M 5071M|5337B 1862B| 488k 1688k|24.0   218 |1924  1363 |1.37 0.80 0.43|  0   0   0|   0     0 |           | 11    4    1   21    0
Feb 12 15:22:13 np0000000046 dstat.sh[58901]: 12-02 15:22:13| 17   3  79   1   0|1320M 1193M  165M 5071M|9235B 6262B| 272k 1236k|67.0  38.0 |2584  2684 |1.37 0.80 0.43|1.0   0 3.0|   0     0 |           | 11   27    0   21    0
Feb 12 15:22:14 np0000000046 dstat.sh[58901]: 12-02 15:22:14| 19   7  73   0   0|1303M 1210M  165M 5071M|8035B 4928B|   0  9569k|   0  45.0 |2589  1991 |1.34 0.80 0.44|1.0   0  44|   0     0 |           | 11   28    0   22    0
Feb 12 15:22:15 np0000000046 dstat.sh[58901]: 12-02 15:22:15| 18   3  78   0   0|1319M 1194M  165M 5071M|8864B 5829B|   0     0 |   0     0 |1794  1280 |1.34 0.80 0.44|1.0   0   0|   0     0 |           | 11   29    0   22    0
Feb 12 15:22:16 np0000000046 dstat.sh[58901]: 12-02 15:22:16| 25  11  63   0   0|1359M 1154M  165M 5071M|8111B 4308B|   0  1938k|   0  69.2 |3774  2909 |1.34 0.80 0.44|2.0   0 156|   0     0 |           | 11   28    0   17    0
Feb 12 15:22:17 np0000000046 dstat.sh[58901]: 12-02 15:22:17| 36   4  59   0   0|1399M 1115M  165M 5071M|  13k 9517B|   0  2664k|   0   109 |3255  2422 |1.34 0.80 0.44|2.0   0   0|   0     0 |           | 11   30    0   17    0
Feb 12 15:22:18 np0000000046 dstat.sh[58901]: 12-02 15:22:18| 32  10  56   0   0|1372M 1141M  165M 5071M|  16k   12k|   0   317k|   0  31.1 |6930  8724 |1.34 0.80 0.44|3.0   0 188|   0     0 |           | 11   28    0   18    0
Feb 12 15:22:19 np0000000046 dstat.sh[58901]: 12-02 15:22:19| 72  26   1   0   0|1502M 1011M  165M 5071M|4866B 1686B|   0    24M|   0   133 |5400  4301 |1.63 0.87 0.46|6.0   0 391|   0     0 |           | 11   28    0   18    0
Feb 12 15:22:20 np0000000046 dstat.sh[58901]: 12-02 15:22:20| 84  10   5   0   0|1682M  831M  165M 5071M|  26k   23k|   0  4085B|   0  1.00 |6127  4728 |1.63 0.87 0.46|3.0   0   0|   0     0 |           | 11   34    0   18    0
Feb 12 15:22:21 np0000000046 dstat.sh[58901]: 12-02 15:22:21| 73  12  15   0   0|1608M  905M  165M 5072M|  30k   24k|   0  1318k|   0   105 |9234    14k|1.63 0.87 0.46|3.0   0 206|   0     0 |           | 11   28    0   24    0
Feb 12 15:22:22 np0000000046 dstat.sh[58901]: 12-02 15:22:22| 20   7  72   0   0|1526M  987M  165M 5072M|5134B 1617B|   0   224k|   0  13.0 |2541  2204 |1.63 0.87 0.46|1.0   0 104|   0     0 |           | 11   28    0   24    0
Feb 12 15:22:23 np0000000046 dstat.sh[58901]: 12-02 15:22:23| 14   2  82   0   0|1508M 1005M  165M 5072M|  11k 7680B|   0   736k|   0  28.0 |2934  3621 |1.63 0.87 0.46|1.0   0 1.0|   0     0 |           | 11   29    0   24    0
Feb 12 15:22:24 np0000000046 dstat.sh[58901]: 12-02 15:22:24| 19   7  73   0   0|1461M 1051M  165M 5072M|5187B 2448B|   0    11M|   0   435 |2819  2188 |1.58 0.87 0.46|1.0   0  68|   0     0 |           | 11   28    0   24    0
Feb 12 15:22:25 np0000000046 dstat.sh[58901]: 12-02 15:22:25| 22   5  73   0   0|1446M 1067M  165M 5072M|9902B 7511B|   0   140k|   0  8.01 |3392    11k|1.58 0.87 0.46|  0   0  36|   0     0 |           | 11   29    0   25    0
Feb 12 15:22:26 np0000000046 dstat.sh[58901]: 12-02 15:22:26| 11  14  73   0   0|1412M 1100M  165M 5072M|6087B 2850B|   0   329k|   0  33.1 |4979  4562 |1.58 0.87 0.46|2.0   0 342|   0     0 |           | 11   28    0   26    0
Feb 12 15:22:27 np0000000046 dstat.sh[58901]: 12-02 15:22:27| 41  31  28   0   0|1419M 1094M  165M 5072M|4577B 1620B|   0   260k|   0  22.0 |6196  5297 |1.58 0.87 0.46|5.0   0 697|   0     0 |           | 11   28    0   26    0
Feb 12 15:22:28 np0000000046 dstat.sh[58901]: 12-02 15:22:28| 82  10   8   0   0|1602M  910M  165M 5072M|  15k   13k|   0  1019k|   0  58.9 |5313  3301 |1.58 0.87 0.46|5.0   0   0|   0     0 |           | 11   32    0   26    0
Feb 12 15:22:29 np0000000046 dstat.sh[58901]: 12-02 15:22:29| 68   8  22   0   0|1620M  893M  165M 5072M|  42k   37k|   0    59M|   0   414 |  10k   16k|1.69 0.91 0.48|8.0   0   0|   0     0 |           | 11   30    0   25    0
Feb 12 15:22:30 np0000000046 dstat.sh[58901]: 12-02 15:22:30| 75  24   1   0   0|1539M  974M  165M 5072M|5692B 2219B|   0   340k|   0  30.0 |5711  4880 |1.69 0.91 0.48|6.0   0 310|   0     0 |           | 11   28    0   25    0
Feb 12 15:22:31 np0000000046 dstat.sh[58901]: 12-02 15:22:31| 89  10   1   0   0|1694M  819M  165M 5072M|  19k   15k|   0   576k|   0  12.0 |5320  3428 |1.69 0.91 0.48|9.0   0   0|   0     0 |           | 11   32    0   25    0
