Jul 19 11:34:53 jammy-provider-cloud-0000007368 systemd[1]: Started Devstack devstack@dstat.service.
Jul 19 11:34:53 jammy-provider-cloud-0000007368 dstat.sh[57642]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Jul 19 11:34:53 jammy-provider-cloud-0000007368 dstat.sh[57642]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Jul 19 11:34:53 jammy-provider-cloud-0000007368 dstat.sh[57642]: 19-07 11:34:53|                   |1034M 1873M  157M 4570M|           |           |           |           |1.47 0.91 0.50|1.0   0    |           |   0     0 |  9    6    4   17    2
Jul 19 11:34:54 jammy-provider-cloud-0000007368 dstat.sh[57642]: 19-07 11:34:54| 29  22  47   0   0|1036M 1870M  157M 4571M|1231k   20k|   0  2754k|   0  82.0 |4199  5744 |1.47 0.91 0.50|1.5   0 408|   0     0 |   0     0 |  9    5    4   17    2
Jul 19 11:34:55 jammy-provider-cloud-0000007368 dstat.sh[57642]: 19-07 11:34:55| 29  17  53   0   0|1053M 1847M  157M 4577M|1381k   27k|   0  5456k|   0  62.0 |4364  6889 |1.47 0.91 0.50|4.0   0 399|   0     0 |   0     0 |  9    4    5   17    2
Jul 19 11:34:56 jammy-provider-cloud-0000007368 dstat.sh[57642]: 19-07 11:34:56| 40  17  42   0   0|1135M 1762M  157M 4679M| 421k   10k|   0   312k|   0  9.99 |5418    11k|1.47 0.91 0.50|6.0   0 255|   0     0 |   0     0 | 10    4    5   17    2
Jul 19 11:34:57 jammy-provider-cloud-0000007368 dstat.sh[57642]: 19-07 11:34:57| 24   9  67   1   0|1133M 1759M  157M 4706M| 447k   16k|   0    12M|   0   338 |2480  2853 |1.51 0.93 0.51|2.0   0 105|   0     0 |   0     0 | 10    6    5   17    2
Jul 19 11:34:58 jammy-provider-cloud-0000007368 dstat.sh[57642]: 19-07 11:34:58| 31  17  49   1   0|1177M 1703M  157M 4718M|6480B 1734B|  12M 1127k| 134  46.0 |2789  4017 |1.51 0.93 0.51|2.0   0 252|   0     0 |   0     0 | 10    6    5   19    2
Jul 19 11:34:59 jammy-provider-cloud-0000007368 dstat.sh[57642]: 19-07 11:34:59| 39  12  49   0   0|1232M 1647M  157M 4719M|7120B 1514B|   0  1294k|   0  32.0 |1845  1918 |1.51 0.93 0.51|2.0   0  81|   0     0 |   0     0 | 10    6    5   19    2
Jul 19 11:35:00 jammy-provider-cloud-0000007368 dstat.sh[57642]: 19-07 11:35:00| 35   7  47   9   0|1227M 1627M  158M 4741M|5601B 1565B|1164k   28M|14.0  2132 |9288    20k|1.51 0.93 0.51|3.0   0  69|   0     0 |   0     0 | 10    8    5   19    2
Jul 19 11:35:01 jammy-provider-cloud-0000007368 dstat.sh[57642]: 19-07 11:35:01| 37   9  46   7   0|1178M 1649M  159M 4765M|4986B 1694B|   0    37M|   0  2413 |8441    18k|1.51 0.93 0.51|2.0   0  93|   0     0 |   0     0 | 10    6    5   19    2
Jul 19 11:35:02 jammy-provider-cloud-0000007368 dstat.sh[57642]: 19-07 11:35:02| 45   5  48   2   0|1237M 1558M  161M 4791M|5895B 2676B|   0    13M|   0   643 |2508  4485 |1.55 0.95 0.52|1.0   0   0|   0     0 |   0     0 | 10    7    5   19    2
Jul 19 11:35:03 jammy-provider-cloud-0000007368 dstat.sh[57642]: 19-07 11:35:03| 43   5  52   0   0|1142M 1668M  161M 4777M|  12k 3342B|   0   388k|   0  8.00 |1276  1334 |1.55 0.95 0.52|2.0   0  16|   0     0 |   0     0 | 10    4    5   19    0
