Jun 26 01:07:46 ubuntu systemd[1]: Started devstack@dstat.service - Devstack devstack@dstat.service.
Jun 26 01:07:46 ubuntu dstat.sh[65137]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ---total--- ------tcp-sockets-------
Jun 26 01:07:46 ubuntu dstat.sh[65137]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Jun 26 01:07:46 ubuntu dstat.sh[65137]: 26-06 01:07:46|                   | 999M 1358M  165M 5104M|           |           |           |           |1.45 0.90 0.51|2.0   0    |           |           | 10    4    0   17    0
Jun 26 01:07:47 ubuntu dstat.sh[65137]: 26-06 01:07:47|  8  20  70   0   0| 994M 1363M  165M 5104M|5068B 1673B|   0   520k|   0  71.9 |5118  3381 |1.45 0.90 0.51|1.5   0 269|   0     0 |           | 10    4    0   17    0
Jun 26 01:07:48 ubuntu dstat.sh[65137]: 26-06 01:07:48| 13  21  65   0   0| 977M 1380M  165M 5104M|  11k 1710B|   0   136k|   0  40.0 |5114  3402 |1.45 0.90 0.51|2.0   0 286|   0     0 |           | 10    4    0   17    0
Jun 26 01:07:49 ubuntu dstat.sh[65137]: 26-06 01:07:49| 25  21  54   0   0| 980M 1375M  165M 5104M|  30k   12k|   0  1333k|   0  42.0 |5351  4998 |1.45 0.90 0.51|  0   0 285|   0     0 |           | 10    5    0   17    1
Jun 26 01:07:50 ubuntu dstat.sh[65137]: 26-06 01:07:50| 26  18  54   1   0| 952M 1403M  165M 5105M|  39k   16k|   0  5502k|   0  80.7 |5491  5698 |1.58 0.93 0.52|7.0   0 231|   0     0 |           | 10    5    0   17    1
Jun 26 01:07:51 ubuntu dstat.sh[65137]: 26-06 01:07:51| 24  10  64   1   0|1076M 1278M  165M 5227M|  38k   12k|   0  2719k|   0   110 |4097  4933 |1.58 0.93 0.52|  0   0  74|   0     0 |           | 11    5    0   17    1
Jun 26 01:07:52 ubuntu dstat.sh[65137]: 26-06 01:07:52| 31  10  58   0   0|1106M 1247M  165M 5227M|  22k   13k|   0  1524k|   0  53.0 |3608  2465 |1.58 0.93 0.52|2.0   0 108|   0     0 |           | 11    7    0   17    1
Jun 26 01:07:53 ubuntu dstat.sh[65137]: 26-06 01:07:53| 33  15  51   1   0|1112M 1216M  166M 5250M| 175k 7763B|  16k 2270k|1.00  68.2 |4724  3436 |1.58 0.93 0.52|2.0   0 181|   0     0 |           | 11    6    0   19    2
Jun 26 01:07:54 ubuntu dstat.sh[65137]: 26-06 01:07:54| 42   7  48   1   0|1170M 1137M  167M 5267M|5250B 1561B|  16k 4075k|1.00  81.7 |3171  2028 |1.58 0.93 0.52|2.0   0   0|   0     0 |           | 11    6    0   19    2
Jun 26 01:07:55 ubuntu dstat.sh[65137]: 26-06 01:07:55| 44   6  48   2   0|1207M 1075M  167M 5290M|4770B 1514B|   0  5146k|   0   356 |4550  4817 |1.61 0.95 0.53|5.0   0  10|   0     0 |           | 11    8    0   19    2
Jun 26 01:07:56 ubuntu dstat.sh[65137]: 26-06 01:07:56| 32   7  44  13   0|1208M 1049M  169M 5310M|5287B 1460B|   0    43M|   0  2948 |  15k   26k|1.61 0.95 0.53|2.0 1.0  45|   0     0 |           | 11    8    0   19    2
