Sep 02 12:52:14 jammy-provider-cloud-0000007564 systemd[1]: Started Devstack devstack@dstat.service.
Sep 02 12:52:15 jammy-provider-cloud-0000007564 dstat.sh[58610]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Sep 02 12:52:15 jammy-provider-cloud-0000007564 dstat.sh[58610]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Sep 02 12:52:15 jammy-provider-cloud-0000007564 dstat.sh[58610]: 02-09 12:52:15|                   |1016M 1875M  159M 4585M|           |           |           |           |1.72 1.12 0.55|3.0   0    |           |   0     0 |  9    4    4   18    2
Sep 02 12:52:16 jammy-provider-cloud-0000007564 dstat.sh[58610]: 02-09 12:52:16| 44  29  27   1   0|1035M 1849M  159M 4591M|  11k 2867B|  11M 1677k| 133  78.9 |3871  6960 |1.72 1.12 0.55|2.5   0 604|   0     0 |   0     0 |  9    4    4   18    2
Sep 02 12:52:17 jammy-provider-cloud-0000007564 dstat.sh[58610]: 02-09 12:52:17| 35  25  38   0   0|1004M 1868M  159M 4603M|2340k   27k|1165k 3563k|73.4  65.0 |4532  7890 |1.72 1.12 0.55|2.0   0 520|   0     0 |   0     0 |  9    4    4   18    2
Sep 02 12:52:18 jammy-provider-cloud-0000007564 dstat.sh[58610]: 02-09 12:52:18| 34  21  43   1   0|1129M 1717M  159M 4748M|9400B 1692B|   0  3356k|   0   115 |5141    13k|1.82 1.16 0.56|  0 1.0 220|   0     0 |   0     0 | 10    4    4   18    2
Sep 02 12:52:19 jammy-provider-cloud-0000007564 dstat.sh[58610]: 02-09 12:52:19| 22   7  69   2   0|1128M 1690M  161M 4771M|9228B 1621B|   0  3846k|   0   169 |1725  2858 |1.82 1.16 0.56|4.0   0  57|   0     0 |   0     0 | 10    6    4   18    2
Sep 02 12:52:20 jammy-provider-cloud-0000007564 dstat.sh[58610]: 02-09 12:52:20| 36  12  52   1   0|1131M 1686M  161M 4770M|  13k 4344B|  80k 1976k|1.00  63.0 |2079  2786 |1.82 1.16 0.56|3.0   0 142|   0     0 |   0     0 | 10    4    4   18    0
Sep 02 12:52:21 jammy-provider-cloud-0000007564 dstat.sh[58610]: 02-09 12:52:21| 41  12  46   0   0|1149M 1668M  161M 4771M|5610B 1621B|   0  6716k|   0   267 |9677    19k|1.82 1.16 0.56|3.0   0  97|   0     0 |   0     0 | 10    4    4   20    0
Sep 02 12:52:22 jammy-provider-cloud-0000007564 dstat.sh[58610]: 02-09 12:52:22| 45   8  46   1   0|1189M 1626M  161M 4772M|9082B 1621B|   0  5010k|   0   119 |9447    18k|1.82 1.16 0.56|2.0   0  17|   0     0 |   0     0 | 10    6    4   20    0
Sep 02 12:52:23 jammy-provider-cloud-0000007564 dstat.sh[58610]: 02-09 12:52:23| 31   9  46  13   0|1142M 1664M  162M 4780M|  11k 1621B|   0    32M|   0  2779 |  11k   25k|1.76 1.15 0.56|4.0   0  71|   0     0 |   0     0 | 10    6    3   20    0
Sep 02 12:52:24 jammy-provider-cloud-0000007564 dstat.sh[58610]: 02-09 12:52:24| 37   9  48   4   0|1044M 1761M  162M 4781M|6191B 1612B|   0    25M|   0  1856 |6635    14k|1.76 1.15 0.56|3.0   0 142|   0     0 |   0     0 | 10    4    3   20    0
