Apr 15 17:09:31 ubuntu systemd[1]: Started devstack@dstat.service - Devstack devstack@dstat.service.
Apr 15 17:09:31 ubuntu dstat.sh[65056]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ---total--- ------tcp-sockets-------
Apr 15 17:09:31 ubuntu dstat.sh[65056]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Apr 15 17:09:31 ubuntu dstat.sh[65056]: 15-04 17:09:31|                   | 979M 1361M  164M 5122M|           |           |           |           |1.20 0.90 0.51|3.0   0    |           |           | 10    5    0   17    0
Apr 15 17:09:32 ubuntu dstat.sh[65056]: 15-04 17:09:32| 17  21  61   0   0| 994M 1346M  164M 5122M|  36k 9853B|   0  4080k|   0   250 |6586  5761 |1.20 0.90 0.51|2.5   0 515|   0     0 |           | 10    6    0   17    0
Apr 15 17:09:33 ubuntu dstat.sh[65056]: 15-04 17:09:33| 25  19  54   1   0|1010M 1328M  164M 5123M|  27k   16k|   0  2326k|   0   162 |6306  5882 |1.67 1.00 0.54|2.0   0 442|   0     0 |           | 10    6    0   17    0
Apr 15 17:09:34 ubuntu dstat.sh[65056]: 15-04 17:09:34| 27  16  54   0   0|1015M 1323M  164M 5125M|  32k   10k|   0  1164k|   0  35.0 |6385  7916 |1.67 1.00 0.54|1.0   0 245|   0     0 |           | 11    6    0   17    0
Apr 15 17:09:35 ubuntu dstat.sh[65056]: 15-04 17:09:35| 19  10  66   1   0|1149M 1188M  164M 5246M|  22k   11k|   0    11M|   0   427 |3483  2703 |1.67 1.00 0.54|2.0   0  76|   0     0 |           | 11    7    0   17    1
Apr 15 17:09:36 ubuntu dstat.sh[65056]: 15-04 17:09:36| 29  13  56   0   0|1156M 1164M  164M 5262M| 174k   10k|   0  1853k|   0  56.9 |4316  2970 |1.67 1.00 0.54|2.0   0 182|   0     0 |           | 11    8    0   18    2
Apr 15 17:09:37 ubuntu dstat.sh[65056]: 15-04 17:09:37| 39   8  49   1   0|1226M 1078M  165M 5275M|4900B 1514B|  32k 2111k|2.00  81.1 |3364  2394 |1.67 1.00 0.54|2.0   0  30|   0     0 |           | 11    6    0   19    2
Apr 15 17:09:38 ubuntu dstat.sh[65056]: 15-04 17:09:38| 43   6  48   1   0|1257M 1028M  166M 5292M|4802B 1621B|   0  3730k|   0  50.0 |3050  1874 |1.69 1.01 0.55|2.0   0   0|   0     0 |           | 11    6    0   19    2
Apr 15 17:09:39 ubuntu dstat.sh[65056]: 15-04 17:09:39| 33   8  47  10   0|1279M  974M  168M 5319M|4522B 1459B|   0    27M|   0  1839 |  10k   17k|1.69 1.01 0.55|2.0   0  32|   0     0 |           | 11    8    0   19    2
Apr 15 17:09:40 ubuntu dstat.sh[65056]: 15-04 17:09:40| 35   7  42  12   0|1270M  949M  169M 5348M|4657B 1563B|   0    59M|   0  3724 |  16k   28k|1.69 1.01 0.55|2.0   0  51|   0     0 |           | 11    8    0   19    2
Apr 15 17:09:41 ubuntu dstat.sh[65056]: 15-04 17:09:41| 37   9  51   2   0|1294M  933M  170M 5339M|  11k 4253B|   0    16M|   0   883 |4694  5863 |1.69 1.01 0.55|2.0   0  75|   0     0 |           | 11    4    0   19    0
Apr 15 17:09:42 ubuntu dstat.sh[65056]: 15-04 17:09:42| 45   6  49   0   0|1318M  909M  170M 5339M|4362B 1515B|   0   694k|   0  36.1 |2929  1525 |1.69 1.01 0.55|2.0   0  19|   0     0 |           | 11    4    0   19    0
Apr 15 17:09:43 ubuntu dstat.sh[65056]: 15-04 17:09:43| 41   5  52   0   0|1251M  970M  170M 5344M|  10k 3801B|   0  6739k|   0   390 |3395  2752 |1.72 1.03 0.56|2.0   0  27|   0     0 |           | 11    4    0   19    0
Apr 15 17:09:44 ubuntu dstat.sh[65056]: 15-04 17:09:44| 39   7  54   1   0|1248M  971M  170M 5345M|  11k 4449B|   0   797k|   0  81.1 |2821  1722 |1.72 1.03 0.56|3.0   0  18|   0     0 |           | 11    5    0   19    0
Apr 15 17:09:45 ubuntu dstat.sh[65056]: 15-04 17:09:45| 44   7  46   0   0|1254M  959M  170M 5350M|4808B 1684B|   0  2110k|   0   237 |  12k   20k|1.72 1.03 0.56|3.0   0  14|   0     0 |           | 11    4    0   19    0
Apr 15 17:09:46 ubuntu dstat.sh[65056]: 15-04 17:09:46| 31  24  43   0   0|1233M  979M  170M 5350M|5081B 1544B|   0   108k|   0  7.01 |  14k   22k|1.72 1.03 0.56|3.0   0 527|   0     0 |           | 11    4    0   19    0
Apr 15 17:09:47 ubuntu dstat.sh[65056]: 15-04 17:09:47| 36  20  43   0   0|1148M 1076M  171M 5340M|4607B 1566B|   0  2704k|   0   179 |6487  7261 |1.72 1.03 0.56|2.0   0 345|   0     0 |           | 11    4    0   19    0
Apr 15 17:09:48 ubuntu dstat.sh[65056]: 15-04 17:09:48| 49  14  36   0   0|1226M  999M  171M 5340M|4500B 1452B|   0  2087k|   0   201 |3999  3112 |1.74 1.05 0.56|2.0   0 196|   0     0 |           | 11    5    0   19    0
Apr 15 17:09:49 ubuntu dstat.sh[65056]: 15-04 17:09:49| 47   4  49   0   0|1257M  967M  171M 5340M|4008B 1518B|   0   313k|   0  36.1 |2789  1223 |1.74 1.05 0.56|2.0   0 1.0|   0     0 |           | 11    5    0   19    0
Apr 15 17:09:50 ubuntu dstat.sh[65056]: 15-04 17:09:50| 44   8  47   0   0|1285M  937M  171M 5342M|4495B 1618B|   0    17M|   0   262 |3777  4093 |1.74 1.05 0.56|2.0   0   0|   0     0 |           | 11    5    0   19    0
Apr 15 17:09:51 ubuntu dstat.sh[65056]: 15-04 17:09:51|  7   8  85   0   0|1281M  941M  171M 5342M|4338B 1620B|   0  1352k|   0  76.0 |2802  2894 |1.74 1.05 0.56|3.0   0 140|   0     0 |           | 11    4    0   20    0
