May 15 12:28:23 ubuntu systemd[1]: Started devstack@dstat.service - Devstack devstack@dstat.service.
May 15 12:28:23 ubuntu dstat.sh[65370]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ---total--- ------tcp-sockets-------
May 15 12:28:23 ubuntu dstat.sh[65370]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
May 15 12:28:23 ubuntu dstat.sh[65370]: 15-05 12:28:23|                   | 948M 1387M  163M 5128M|           |           |           |           |1.41 0.90 0.49|1.0   0    |           |           | 10    4    0   17    0
May 15 12:28:24 ubuntu dstat.sh[65370]: 15-05 12:28:24| 22  22  55   0   0| 959M 1376M  163M 5128M|  24k 9078B|   0  2119k|   0  83.0 |6905  6046 |1.41 0.90 0.49|2.0   0 576|   0     0 |           | 10    4    0   17    0
May 15 12:28:25 ubuntu dstat.sh[65370]: 15-05 12:28:25| 23  18  56   1   0| 961M 1372M  164M 5129M|  48k   18k|   0  2324k|   0  83.5 |6564  6134 |1.41 0.90 0.49|2.0   0 473|   0     0 |           | 10    6    0   17    0
May 15 12:28:26 ubuntu dstat.sh[65370]: 15-05 12:28:26| 30  15  54   0   0|1088M 1244M  164M 5251M|  44k   14k|   0  1898k|   0  59.9 |7148  8368 |1.38 0.90 0.49|1.0   0 207|   0     0 |           | 11    6    0   17    0
May 15 12:28:27 ubuntu dstat.sh[65370]: 15-05 12:28:27| 29   8  61   0   0|1118M 1212M  164M 5253M|  26k   15k|   0  1866k|   0  57.9 |3772    13k|1.38 0.90 0.49|2.0   0 127|   0     0 |           | 11    8    0   18    0
May 15 12:28:28 ubuntu dstat.sh[65370]: 15-05 12:28:28| 36  12  50   1   0|1136M 1166M  165M 5277M| 169k 6420B|  16k 3424k|1.00   105 |4713  3688 |1.38 0.90 0.49|2.0   0 191|   0     0 |           | 11    7    0   20    1
May 15 12:28:29 ubuntu dstat.sh[65370]: 15-05 12:28:29| 45   6  49   0   0|1197M 1086M  166M 5294M|5244B 1682B|  16k 2750k|1.00  42.9 |2959  1744 |1.38 0.90 0.49|2.0   0   0|   0     0 |           | 11    6    0   20    2
May 15 12:28:30 ubuntu dstat.sh[65370]: 15-05 12:28:30| 42   6  48   3   0|1232M 1024M  167M 5317M|4649B 1462B|   0    14M|   0   917 |6378  9129 |1.38 0.90 0.49|2.0 1.0  10|   0     0 |           | 11    8    0   20    2
May 15 12:28:31 ubuntu dstat.sh[65370]: 15-05 12:28:31| 35   7  44  12   0|1230M 1000M  169M 5339M|4993B 1619B|   0    67M|   0  5078 |  18k   34k|1.67 0.97 0.52|3.0   0  72|   0     0 |           | 11    8    0   19    2
May 15 12:28:32 ubuntu dstat.sh[65370]: 15-05 12:28:32| 43   9  46   2   0|1219M 1001M  170M 5345M|5342B 1885B|   0    11M|   0   648 |4789  4815 |1.67 0.97 0.52|3.0   0  81|   0     0 |           | 11    4    0   19    2
