Apr 06 08:16:59 ubuntu systemd[1]: Started devstack@dstat.service - Devstack devstack@dstat.service.
Apr 06 08:16:59 ubuntu dstat.sh[71936]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ---total--- ------tcp-sockets-------
Apr 06 08:16:59 ubuntu dstat.sh[71936]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Apr 06 08:16:59 ubuntu dstat.sh[71936]: 06-04 08:16:59|                   | 965M 1365M  170M 5125M|           |           |           |           |1.36 0.97 0.56|1.0   0    |           |           | 10    4    0   17    0
Apr 06 08:17:00 ubuntu dstat.sh[71936]: 06-04 08:17:00| 21  22  55   0   0| 968M 1362M  170M 5125M|  23k 9025B|   0  2287k|   0  82.0 |6536  5556 |1.36 0.97 0.56|1.0   0 499|   0     0 |           | 10    4    0   17    0
Apr 06 08:17:01 ubuntu dstat.sh[71936]: 06-04 08:17:01| 19  19  59   0   0| 992M 1337M  170M 5126M|  36k   10k|   0  1415k|   0  67.3 |6293  5418 |1.36 0.97 0.56|1.0   0 420|   0     0 |           | 10    6    0   17    0
Apr 06 08:17:02 ubuntu dstat.sh[71936]: 06-04 08:17:02| 29  20  50   1   0| 996M 1333M  170M 5126M|  22k   13k|   0  1767k|   0  49.3 |6493  6684 |1.36 0.97 0.56|2.0   0 250|   0     0 |           | 10    6    0   17    0
Apr 06 08:17:03 ubuntu dstat.sh[71936]: 06-04 08:17:03| 20   8  70   1   0|1123M 1205M  170M 5248M|  43k   15k|   0  1855k|   0  57.8 |3377  3412 |1.36 0.97 0.56|1.0   0  55|   0     0 |           | 11    5    0   17    1
Apr 06 08:17:04 ubuntu dstat.sh[71936]: 06-04 08:17:04| 29  11  58   1   0|1142M 1169M  170M 5264M| 186k   16k|   0  8001k|   0   281 |4126  2730 |1.33 0.97 0.56|2.0   0 106|   0     0 |           | 11    7    0   17    1
Apr 06 08:17:05 ubuntu dstat.sh[71936]: 06-04 08:17:05| 37  14  47   1   0|1176M 1120M  171M 5277M|6373B 1588B|  16k 1586k|1.00  77.9 |4706  3337 |1.33 0.97 0.56|2.0   0 176|   0     0 |           | 11    6    0   19    2
Apr 06 08:17:06 ubuntu dstat.sh[71936]: 06-04 08:17:06| 44   6  49   0   0|1232M 1044M  171M 5293M|5810B 1510B|  16k 2576k|1.00  44.9 |2941  1659 |1.33 0.97 0.56|2.0   0   0|   0     0 |           | 11    6    0   19    2
Apr 06 08:17:07 ubuntu dstat.sh[71936]: 06-04 08:17:07| 39   6  48   5   0|1264M  983M  172M 5318M|4875B 1567B|   0    15M|   0   876 |5921  8461 |1.33 0.97 0.56|1.0 1.0  10|   0     0 |           | 11    8    0   19    2
Apr 06 08:17:08 ubuntu dstat.sh[71936]: 06-04 08:17:08| 30   7  45  15   0|1261M  951M  174M 5349M|4560B 1620B|   0    43M|   0  3210 |  13k   24k|1.33 0.97 0.56|2.0 2.0  45|   0     0 |           | 11    8    0   19    2
Apr 06 08:17:09 ubuntu dstat.sh[71936]: 06-04 08:17:09| 35   9  47   7   0|1211M  989M  174M 5358M|9917B 3568B|   0    36M|   0  2469 |  10k   16k|1.46 1.00 0.57|2.0   0 102|   0     0 |           | 11    7    0   19    2
