Mar 31 09:58:12 ubuntu systemd[1]: Started devstack@dstat.service - Devstack devstack@dstat.service.
Mar 31 09:58:12 ubuntu dstat.sh[65419]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ---total--- ------tcp-sockets-------
Mar 31 09:58:12 ubuntu dstat.sh[65419]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Mar 31 09:58:12 ubuntu dstat.sh[65419]: 31-03 09:58:12|                   | 970M 1394M  164M 5100M|           |           |           |           |1.15 0.86 0.50|1.0   0    |           |           | 10    6    0   17    0
Mar 31 09:58:13 ubuntu dstat.sh[65419]: 31-03 09:58:13| 20  20  57   1   0| 986M 1377M  164M 5100M|  36k   16k|   0  3346k|   0   121 |6799  6060 |1.15 0.86 0.50|2.0   0 548|   0     0 |           | 10    6    0   17    0
Mar 31 09:58:14 ubuntu dstat.sh[65419]: 31-03 09:58:14| 26  19  53   1   0| 977M 1384M  164M 5101M|  40k   13k|   0  1960k|   0  94.9 |6517  6482 |1.62 0.96 0.53|1.0   0 470|   0     0 |           | 10    6    0   17    0
Mar 31 09:58:15 ubuntu dstat.sh[65419]: 31-03 09:58:15| 31  15  52   0   0|1106M 1241M  164M 5237M| 141k   14k|   0  2096k|   0  55.6 |6558  8272 |1.62 0.96 0.53|2.0   0 202|   0     0 |           | 11    5    0   17    1
Mar 31 09:58:16 ubuntu dstat.sh[65419]: 31-03 09:58:16| 39  12  48   1   0|1117M 1212M  165M 5251M|  46k 2994B|   0  5114k|   0  91.7 |4379  3055 |1.62 0.96 0.53|3.0   0 139|   0     0 |           | 11    6    0   17    2
Mar 31 09:58:17 ubuntu dstat.sh[65419]: 31-03 09:58:17| 40  10  48   0   0|1164M 1147M  166M 5267M|5247B 1610B|  32k 1952k|1.99  54.7 |4298  3174 |1.62 0.96 0.53|3.0   0 149|   0     0 |           | 11    6    0   19    2
Mar 31 09:58:18 ubuntu dstat.sh[65419]: 31-03 09:58:18| 44   5  48   1   0|1219M 1065M  167M 5290M|4792B 1617B|   0  7219k|   0   302 |3351  2173 |1.62 0.96 0.53|3.0   0   0|   0     0 |           | 11    6    0   19    2
Mar 31 09:58:19 ubuntu dstat.sh[65419]: 31-03 09:58:19| 36   6  46  11   0|1230M 1020M  169M 5319M|4930B 1623B|4104B   27M|1.00  1834 |9943    17k|1.65 0.97 0.54|2.0 1.0  28|   0     0 |           | 11    8    0   19    2
Mar 31 09:58:20 ubuntu dstat.sh[65419]: 31-03 09:58:20| 31   6  48  13   0|1239M  995M  170M 5332M|9355B 2730B|   0    53M|   0  4000 |  14k   28k|1.65 0.97 0.54|2.0   0  54|   0     0 |           | 11    7    0   19    2
Mar 31 09:58:21 ubuntu dstat.sh[65419]: 31-03 09:58:21| 41   9  47   1   0|1239M 1012M  170M 5315M|6903B 3074B|   0    16M|   0   940 |4895  5903 |1.65 0.97 0.54|3.0   0  94|   0     0 |           | 11    4    0   19    0
Mar 31 09:58:22 ubuntu dstat.sh[65419]: 31-03 09:58:22| 41   5  54   0   0|1266M  979M  170M 5321M|  10k 3803B|   0  2061k|   0  99.9 |2852  1711 |1.65 0.97 0.54|3.0   0  17|   0     0 |           | 11    4    0   19    0
Mar 31 09:58:23 ubuntu dstat.sh[65419]: 31-03 09:58:23| 40   5  53   1   0|1251M  994M  170M 5321M|  11k 4561B|   0  6668k|   0   416 |3554  3110 |1.65 0.97 0.54|3.0   0  28|   0     0 |           | 11    5    0   19    0
Mar 31 09:58:24 ubuntu dstat.sh[65419]: 31-03 09:58:24| 45   8  46   0   0|1250M  987M  171M 5326M|4682B 1633B|   0  1333k|   0  79.0 |  11k   18k|1.68 0.99 0.55|4.0   0  14|   0     0 |           | 11    4    0   19    0
Mar 31 09:58:25 ubuntu dstat.sh[65419]: 31-03 09:58:25| 33  21  44   0   0|1241M  996M  171M 5327M|4547B 1631B|   0   121k|   0  8.05 |  14k   21k|1.68 0.99 0.55|2.0   0 461|   0     0 |           | 11    4    0   19    0
Mar 31 09:58:26 ubuntu dstat.sh[65419]: 31-03 09:58:26| 36  21  42   0   0|1177M 1072M  171M 5316M|4527B 1458B|   0  2676k|   0   111 |7188  8641 |1.68 0.99 0.55| 14   0 425|   0     0 |           | 11    4    0   19    0
