Sep 16 10:42:54 jammy-provider-cloud-0000007627 systemd[1]: Started Devstack devstack@dstat.service.
Sep 16 10:42:54 jammy-provider-cloud-0000007627 dstat.sh[58634]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Sep 16 10:42:54 jammy-provider-cloud-0000007627 dstat.sh[58634]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Sep 16 10:42:54 jammy-provider-cloud-0000007627 dstat.sh[58634]: 16-09 10:42:54|                   |1022M 1879M  159M 4575M|           |           |           |           |1.60 0.90 0.44|5.0   0    |           |   0     0 |  9    5    4   17    1
Sep 16 10:42:55 jammy-provider-cloud-0000007627 dstat.sh[58634]: 16-09 10:42:55| 27  22  50   1   0|1012M 1880M  159M 4583M|1668k   35k|   0    16M|   0   630 |5062  7921 |1.60 0.90 0.44|3.5   0 602|   0     0 |   0     0 |  9    4    4   17    2
Sep 16 10:42:56 jammy-provider-cloud-0000007627 dstat.sh[58634]: 16-09 10:42:56| 52  22  24   1   0|1041M 1832M  159M 4603M| 123k 2901B|  11M 1152k|66.5   341 |5501  9060 |1.60 0.90 0.44|2.0   0 547|   0     0 |   0     0 |  9    4    4   17    2
Sep 16 10:42:57 jammy-provider-cloud-0000007627 dstat.sh[58634]: 16-09 10:42:57| 38  21  41   0   0|1194M 1675M  159M 4728M|1033k   18k| 808k  516k|9.00  29.0 |5169  7816 |1.60 0.90 0.44|3.0   0 240|   0     0 |   0     0 | 10    8    4   17    2
Sep 16 10:42:58 jammy-provider-cloud-0000007627 dstat.sh[58634]: 16-09 10:42:58| 59  14  26   0   0|1157M 1686M  159M 4750M| 249k 4866B| 436k 5070k|5.99   125 |2787  4255 |1.71 0.93 0.45|3.0   0 214|   0     0 |   0     0 | 10    6    4   19    2
Sep 16 10:42:59 jammy-provider-cloud-0000007627 dstat.sh[58634]: 16-09 10:42:59| 53   9  36   2   0|1244M 1574M  161M 4771M| 374k   11k|   0  6158k|   0   183 |2001  2620 |1.71 0.93 0.45|2.0   0 3.0|   0     0 |   0     0 | 10    8    4   19    2
Sep 16 10:43:00 jammy-provider-cloud-0000007627 dstat.sh[58634]: 16-09 10:43:00| 57   6  30   6   0|1277M 1528M  162M 4780M| 953k   14k|   0    20M|   0  1064 |5567    11k|1.71 0.93 0.45|3.0   0  14|   0     0 |   0     0 | 10    6    4   19    0
Sep 16 10:43:01 jammy-provider-cloud-0000007627 dstat.sh[58634]: 16-09 10:43:01| 47   8  34  11   0|1231M 1568M  163M 4786M| 201k 8935B|   0    47M|   0  3650 |  13k   28k|1.71 0.93 0.45|2.0   0  66|   0     0 |   0     0 | 10    8    4   19    0
Sep 16 10:43:02 jammy-provider-cloud-0000007627 dstat.sh[58634]: 16-09 10:43:02| 64  10  25   0   0|1176M 1617M  163M 4791M|2159k   18k|   0    12M|   0   481 |  13k   25k|1.71 0.93 0.45|4.0   0  93|   0     0 |   0     0 | 10    4    4   19    0
Sep 16 10:43:03 jammy-provider-cloud-0000007627 dstat.sh[58634]: 16-09 10:43:03| 61   9  30   0   0|1188M 1605M  163M 4791M|  23k 6479B|   0   748k|   0  12.0 |7078    13k|1.73 0.95 0.46|2.0   0  18|   0     0 |   0     0 | 10    6    4   19    0
Sep 16 10:43:04 jammy-provider-cloud-0000007627 dstat.sh[58634]: 16-09 10:43:04| 62   7  31   1   0|1142M 1647M  163M 4795M|2332k   22k|   0  6128k|   0   217 |3000  3119 |1.73 0.95 0.46|2.0   0  69|   0     0 |   0     0 | 10    4    4   19    0
Sep 16 10:43:05 jammy-provider-cloud-0000007627 dstat.sh[58634]: 16-09 10:43:05| 39   3  56   0   0|1098M 1690M  163M 4795M|  14k 4818B|   0   316k|   0  14.0 |1388  1608 |1.73 0.95 0.46|1.0   0  50|   0     0 |   0     0 | 10    6    4   19    0
Sep 16 10:43:06 jammy-provider-cloud-0000007627 dstat.sh[58634]: 16-09 10:43:06| 14  18  66   0   0|1057M 1727M  163M 4800M|2334k   24k|   0  2666k|   0  24.0 |4163  5707 |1.73 0.95 0.46|2.0   0 469|   0     0 |   0     0 | 10    4    4   19    0
Sep 16 10:43:07 jammy-provider-cloud-0000007627 dstat.sh[58634]: 16-09 10:43:07| 17  16  66   0   0|1065M 1719M  163M 4800M|5922B 1508B|   0    44k|   0  6.98 |5219  9250 |1.73 0.95 0.46|3.0   0 271|   0     0 |   0     0 | 10    4    4   19    0
Sep 16 10:43:08 jammy-provider-cloud-0000007627 dstat.sh[58634]: 16-09 10:43:08| 45   9  46   0   0|1183M 1601M  163M 4800M|5970B 1624B|   0     0 |   0     0 |2107  2805 |1.75 0.97 0.47|2.0   0 130|   0     0 |   0     0 | 10    5    4   19    0
Sep 16 10:43:09 jammy-provider-cloud-0000007627 dstat.sh[58634]: 16-09 10:43:09| 49   3  49   0   0|1233M 1550M  163M 4802M|8047B 1696B|   0   765k|   0  91.1 |1331  2052 |1.75 0.97 0.47|3.0   0   0|   0     0 |   0     0 | 10    5    4   19    0
Sep 16 10:43:10 jammy-provider-cloud-0000007627 dstat.sh[58634]: 16-09 10:43:10| 21   7  71   0   0|1250M 1531M  163M 4803M|7715B 1656B|   0   590k|   0  52.8 |1720  4677 |1.75 0.97 0.47|  0   0 118|   0     0 |   0     0 | 10    4    4   17    0
Sep 16 10:43:11 jammy-provider-cloud-0000007627 dstat.sh[58634]: 16-09 10:43:11|  7   4  89   0   0|1269M 1512M  163M 4803M|6240B 1568B|   0    10M|   0  87.1 |1243  1793 |1.75 0.97 0.47|1.0   0  22|   0     0 |   0     0 | 10    4    4   17    0
