Jul 25 04:49:52 jammy-provider-cloud-0000007399 systemd[1]: Started Devstack devstack@dstat.service.
Jul 25 04:49:52 jammy-provider-cloud-0000007399 dstat.sh[58127]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Jul 25 04:49:52 jammy-provider-cloud-0000007399 dstat.sh[58127]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Jul 25 04:49:52 jammy-provider-cloud-0000007399 dstat.sh[58127]: 25-07 04:49:52|                   |1025M 1844M  160M 4604M|           |           |           |           |1.41 0.82 0.43|2.0   0    |           |   0     0 |  9    7    1   17    0
Jul 25 04:49:53 jammy-provider-cloud-0000007399 dstat.sh[58127]: 25-07 04:49:53| 36  23  38   1   0|1032M 1822M  160M 4619M|3254k   44k|  11M 6079k| 130   103 |5531  8261 |1.47 0.84 0.44|3.0   0 656|   0     0 |   0     0 |  9    6    1   17    0
Jul 25 04:49:54 jammy-provider-cloud-0000007399 dstat.sh[58127]: 25-07 04:49:54| 47  26  27   0   0|1055M 1782M  160M 4635M|  10k 3795B| 324k  984k|66.5   103 |4594  9432 |1.53 0.86 0.44|3.0   0 570|   0     0 |   0     0 |  9    5    1   17    2
Jul 25 04:49:55 jammy-provider-cloud-0000007399 dstat.sh[58127]: 25-07 04:49:55| 48  11  39   0   0|1150M 1672M  160M 4771M| 916k   14k|1161k 2844k|14.0  70.8 |3660  7860 |1.53 0.86 0.44|4.0   0  77|   0     0 |   0     0 | 10    4    1   19    2
Jul 25 04:49:56 jammy-provider-cloud-0000007399 dstat.sh[58127]: 25-07 04:49:56| 55  14  30   1   0|1187M 1607M  161M 4794M|  15k 4989B|  80k 4056k|1.00   166 |2852  4176 |1.53 0.86 0.44|2.0   0 260|   0     0 |   0     0 | 10   10    1   18    2
Jul 25 04:49:57 jammy-provider-cloud-0000007399 dstat.sh[58127]: 25-07 04:49:57| 62   7  29   0   0|1235M 1526M  163M 4823M| 936k   13k|   0  6795k|   0   152 |2452  3176 |1.53 0.86 0.44|3.0   0  31|   0     0 |   0     0 | 10    6    1   19    2
Jul 25 04:49:58 jammy-provider-cloud-0000007399 dstat.sh[58127]: 25-07 04:49:58| 54   6  36   2   0|1214M 1556M  163M 4813M| 437k   13k|   0    10M|   0   619 |3692  6530 |1.65 0.89 0.46|1.0 1.0  19|   0     0 |   0     0 | 10    8    1   19    0
Jul 25 04:49:59 jammy-provider-cloud-0000007399 dstat.sh[58127]: 25-07 04:49:59| 58  13  20  10   0|1213M 1548M  164M 4821M| 521k 7842B|   0    55M|   0  4586 |  21k   49k|1.65 0.89 0.46|3.0   0  73|   0     0 |   0     0 | 10    6    1   19    0
Jul 25 04:50:00 jammy-provider-cloud-0000007399 dstat.sh[58127]: 25-07 04:50:00| 57  10  32   0   0|1163M 1595M  164M 4823M| 900k   16k|   0  2360k|   0  54.0 |  11k   21k|1.65 0.89 0.46|3.0   0  91|   0     0 |   0     0 | 10    4    1   19    0
Jul 25 04:50:01 jammy-provider-cloud-0000007399 dstat.sh[58127]: 25-07 04:50:01| 46   4  49   0   0|1070M 1689M  164M 4823M|8210B 1659B|   0   839k|   0  31.9 |1338  1385 |1.65 0.89 0.46|2.0   0  19|   0     0 |   0     0 | 10    4    1   19    0
Jul 25 04:50:02 jammy-provider-cloud-0000007399 dstat.sh[58127]: 25-07 04:50:02| 30   5  65   1   0|1120M 1638M  164M 4823M|9308B 1727B|   0  9354k|   0   356 |1657  2960 |1.65 0.89 0.46|1.0   0  54|   0     0 |   0     0 | 10    4    1   19    0
Jul 25 04:50:03 jammy-provider-cloud-0000007399 dstat.sh[58127]: 25-07 04:50:03| 20   6  73   0   0|1050M 1709M  164M 4823M|6329B 1617B|   0   140k|   0  9.98 |1465  1998 |1.60 0.89 0.46|2.0   0 116|   0     0 |   0     0 | 10    4    1   19    0
Jul 25 04:50:04 jammy-provider-cloud-0000007399 dstat.sh[58127]: 25-07 04:50:04|  9  20  70   0   0|1055M 1704M  164M 4823M|6097B 1620B|   0    36k|   0  9.00 |2957  4562 |1.60 0.89 0.46|1.0   0 400|   0     0 |   0     0 | 10    4    1   19    0
Jul 25 04:50:05 jammy-provider-cloud-0000007399 dstat.sh[58127]: 25-07 04:50:05| 16  17  66   0   0|1057M 1701M  164M 4824M|4979B 1515B|   0    20k|   0  5.01 |3885  8200 |1.60 0.89 0.46|1.0   0 274|   0     0 |   0     0 | 10    4    1   19    0
Jul 25 04:50:06 jammy-provider-cloud-0000007399 dstat.sh[58127]: 25-07 04:50:06| 48  10  41   0   0|1159M 1599M  164M 4824M|5172B 1617B|   0     0 |   0     0 |2821  7412 |1.60 0.89 0.46|2.0   0 164|   0     0 |   0     0 | 10    5    1   20    0
Jul 25 04:50:07 jammy-provider-cloud-0000007399 dstat.sh[58127]: 25-07 04:50:07| 46   4  49   0   0|1214M 1543M  164M 4825M|5615B 1620B|   0   856k|   0  92.0 |1234  1322 |1.60 0.89 0.46|2.0   0   0|   0     0 |   0     0 | 10    5    1   19    0
Jul 25 04:50:08 jammy-provider-cloud-0000007399 dstat.sh[58127]: 25-07 04:50:08| 24   8  67   0   0|1241M 1514M  164M 4827M|4971B 1620B|   0  1584k|   0  63.0 |1765  5302 |1.63 0.91 0.47|  0   0 118|   0     0 |   0     0 | 10    4    1   19    0
Jul 25 04:50:09 jammy-provider-cloud-0000007399 dstat.sh[58127]: 25-07 04:50:09|  1   1  98   1   0|1241M 1514M  164M 4827M|8099B 1620B|   0  1068k|   0  67.0 | 857  1396 |1.63 0.91 0.47|  0   0   0|   0     0 |   0     0 | 10    4    1   15    0
Jul 25 04:50:10 jammy-provider-cloud-0000007399 dstat.sh[58127]: 25-07 04:50:10| 22   3  75   0   0|1314M 1440M  164M 4827M|  44k 1620B|   0  4096B|   0  1.00 |1269  1506 |1.63 0.91 0.47|1.0   0  21|   0     0 |   0     0 | 10    4    1   15    0
Jul 25 04:50:11 jammy-provider-cloud-0000007399 dstat.sh[58127]: 25-07 04:50:11| 24   2  74   1   0|1344M 1410M  164M 4827M|4729B 1569B|   0  1206k|   0   118 |1545  2774 |1.63 0.91 0.47|1.0   0 1.0|   0     0 |   0     0 | 10   10    1   15    0
Jul 25 04:50:12 jammy-provider-cloud-0000007399 dstat.sh[58127]: 25-07 04:50:12| 23   3  73   0   0|1287M 1468M  164M 4827M|4386B 1513B|   0    11M|   0   149 |2170  3618 |1.63 0.91 0.47|1.0   0  42|   0     0 |   0     0 | 10    4    1   15    0
Jul 25 04:50:13 jammy-provider-cloud-0000007399 dstat.sh[58127]: 25-07 04:50:13| 23   2  73   0   0|1321M 1433M  164M 4828M|7784B 1620B| 232k 2608k|58.0   101 |1819  2829 |1.58 0.91 0.47|1.0   0 3.0|   0     0 |   0     0 | 10   28    1   15    0
Jul 25 04:50:14 jammy-provider-cloud-0000007399 dstat.sh[58127]: 25-07 04:50:14| 21   5  73   0   0|1317M 1437M  164M 4828M|6865B 1618B|   0     0 |   0     0 |1245  1690 |1.58 0.91 0.47|2.0   0  43|   0     0 |   0     0 | 10   28    1   15    0
Jul 25 04:50:15 jammy-provider-cloud-0000007399 dstat.sh[58127]: 25-07 04:50:15| 32   9  58   0   0|1344M 1410M  164M 4828M|6349B 1622B|   0   360k|   0  71.1 |1857  2609 |1.58 0.91 0.47|2.0   0 158|   0     0 |   0     0 | 10   28    1   15    0
Jul 25 04:50:16 jammy-provider-cloud-0000007399 dstat.sh[58127]: 25-07 04:50:16| 43   9  48   0   0|1277M 1477M  164M 4828M|5693B 1620B|   0   388k|   0  30.0 |4551  8805 |1.58 0.91 0.47|6.0   0 144|   0     0 |   0     0 | 10   28    1   16    0
Jul 25 04:50:17 jammy-provider-cloud-0000007399 dstat.sh[58127]: 25-07 04:50:17| 78  19   3   0   0|1507M 1246M  164M 4828M|5554B 1620B|   0    48M|   0   735 |3167  5154 |1.58 0.91 0.47|8.0   0 379|   0     0 |   0     0 | 10   29    1   16    0
Jul 25 04:50:18 jammy-provider-cloud-0000007399 dstat.sh[58127]: 25-07 04:50:18| 81  13   4   0   0|1429M 1323M  164M 4829M|6202B 1694B|   0  3780k|   0   182 |6086    14k|1.85 0.98 0.50|7.0   0 186|   0     0 |   0     0 | 10   28    1   16    0
Jul 25 04:50:19 jammy-provider-cloud-0000007399 dstat.sh[58127]: 25-07 04:50:19| 36  10  54   0   0|1292M 1461M  164M 4829M|5477B 1455B|   0   319k|   0  28.9 |3001  6213 |1.85 0.98 0.50|1.0   0 179|   0     0 |   0     0 | 10   28    1   16    0
Jul 25 04:50:20 jammy-provider-cloud-0000007399 dstat.sh[58127]: 25-07 04:50:20| 23   2  73   0   0|1344M 1408M  164M 4829M|6727B 1625B|   0  8216B|   0  1.00 |1698  2568 |1.85 0.98 0.50|2.0   0   0|   0     0 |   0     0 | 10   29    1   16    0
Jul 25 04:50:21 jammy-provider-cloud-0000007399 dstat.sh[58127]: 25-07 04:50:21| 21   5  73   0   0|1334M 1419M  164M 4829M|9531B 1619B|   0  4205k|   0  70.9 |1851  2771 |1.85 0.98 0.50|1.0   0  68|   0     0 |   0     0 | 10   28    1   16    0
Jul 25 04:50:22 jammy-provider-cloud-0000007399 dstat.sh[58127]: 25-07 04:50:22| 19   8  71   0   0|1288M 1464M  164M 4829M|8759B 1620B|   0  9839k|   0  47.0 |2885  4680 |1.85 0.98 0.50|1.0   0 174|   0     0 |   0     0 | 10   28    1   16    0
Jul 25 04:50:23 jammy-provider-cloud-0000007399 dstat.sh[58127]: 25-07 04:50:23| 28  25  46   0   0|1354M 1398M  164M 4829M|9383B 1621B|   0   232k|   0  20.0 |3394  6092 |1.79 0.98 0.50|6.0   0 850|   0     0 |   0     0 | 10   28    1   16    0
Jul 25 04:50:24 jammy-provider-cloud-0000007399 dstat.sh[58127]: 25-07 04:50:24| 87   9   4   0   0|1560M 1192M  164M 4829M|7053B 1619B|   0  3047k|   0  54.0 |2871  5338 |1.79 0.98 0.50|6.0   0  14|   0     0 |   0     0 | 10   30    1   16    0
Jul 25 04:50:25 jammy-provider-cloud-0000007399 dstat.sh[58127]: 25-07 04:50:25| 82  10   8   0   0|1422M 1330M  164M 4830M|  13k 1621B|   0   608k|   0  74.0 |5707    16k|1.79 0.98 0.50|7.0   0 122|   0     0 |   0     0 | 10   28    1   17    0
Jul 25 04:50:26 jammy-provider-cloud-0000007399 dstat.sh[58127]: 25-07 04:50:26| 83  13   3   0   0|1555M 1197M  164M 4830M|8450B 1457B|   0   200k|   0  13.0 |3443  7041 |1.79 0.98 0.50|7.0   0 190|   0     0 |   0     0 | 10   32    1   16    0
Jul 25 04:50:27 jammy-provider-cloud-0000007399 dstat.sh[58127]: 25-07 04:50:27| 82  12   5   0   0|1464M 1287M  164M 4830M|5109B 1620B|   0    64M|   0   161 |6250    16k|1.79 0.98 0.50|5.0   0 149|   0     0 |   0     0 | 10   28    1   16    0
Jul 25 04:50:28 jammy-provider-cloud-0000007399 dstat.sh[58127]: 25-07 04:50:28| 46   9  45   0   0|1352M 1399M  164M 4830M|5495B 1714B|   0  1320k|   0  36.0 |3954  8589 |1.88 1.02 0.51|3.0   0 149|   0     0 |   0     0 | 10   28    1   15    0
Jul 25 04:50:29 jammy-provider-cloud-0000007399 dstat.sh[58127]: 25-07 04:50:29| 45   6  49   0   0|1348M 1403M  164M 4830M|6124B 1620B|   0   216k|   0  20.0 |3870  7026 |1.88 1.02 0.51|3.0   0  48|   0     0 |   0     0 | 10   29    1   15    0
Jul 25 04:50:30 jammy-provider-cloud-0000007399 dstat.sh[58127]: 25-07 04:50:30| 63  13  22   0   0|1452M 1299M  164M 4830M|5099B 1621B|   0   877k|   0  18.0 |2616  4704 |1.88 1.02 0.51|3.0   0 330|   0     0 |   0     0 | 10   29    1   15    0
Jul 25 04:50:31 jammy-provider-cloud-0000007399 dstat.sh[58127]: 25-07 04:50:31| 64  12  23   0   0|1367M 1383M  164M 4831M|6555B 1619B|   0   480k|   0  44.0 |5003    11k|1.88 1.02 0.51|4.0   0 258|   0     0 |   0     0 | 10   28    1   17    0
Jul 25 04:50:32 jammy-provider-cloud-0000007399 dstat.sh[58127]: 25-07 04:50:32| 81   9   9   0   0|1533M 1218M  164M 4831M|6351B 1619B|   0   148k|   0  7.00 |3210  6236 |1.88 1.02 0.51|2.0   0   0|   0     0 |   0     0 | 10   32    1   18    0
Jul 25 04:50:33 jammy-provider-cloud-0000007399 dstat.sh[58127]: 25-07 04:50:33| 63  14  24   0   0|1379M 1371M  164M 4832M|6124B 1621B|   0  4746k|   0  48.0 |5827    13k|1.89 1.03 0.52|3.0   0 324|   0     0 |   0     0 | 10   28    1   22    0
Jul 25 04:50:34 jammy-provider-cloud-0000007399 dstat.sh[58127]: 25-07 04:50:34| 61   7  30   0   0|1468M 1282M  164M 4832M|5843B 1458B|   0   304k|   0  32.0 |4366  9367 |1.89 1.03 0.52|8.0   0   0|   0     0 |   0     0 | 10   29    1   27    0
Jul 25 04:50:35 jammy-provider-cloud-0000007399 dstat.sh[58127]: 25-07 04:50:35| 67  13  19   0   0|1462M 1287M  164M 4832M|5811B 1620B|   0   364k|   0  27.0 |2911  5757 |1.89 1.03 0.52|3.0   0 301|   0     0 |   0     0 | 10   28    1   27    0
Jul 25 04:50:36 jammy-provider-cloud-0000007399 dstat.sh[58127]: 25-07 04:50:36| 59  13  28   0   0|1346M 1403M  164M 4832M|9780B 1621B|   0   336k|   0  26.0 |5757    12k|1.89 1.03 0.52|3.0   0 287|   0     0 |   0     0 | 10   28    1   29    0
Jul 25 04:50:37 jammy-provider-cloud-0000007399 dstat.sh[58127]: 25-07 04:50:37| 64   7  28   0   0|1470M 1279M  164M 4832M|6923B 1620B|   0   176k|   0  10.0 |3479  5878 |1.89 1.03 0.52|2.0   0   0|   0     0 |   0     0 | 10   31    1   30    0
Jul 25 04:50:38 jammy-provider-cloud-0000007399 dstat.sh[58127]: 25-07 04:50:38| 65   8  27   0   0|1438M 1311M  164M 4832M|6488B 1620B|   0  2671k|   0   183 |3654  6437 |2.06 1.08 0.54|5.0   0 112|   0     0 |   0     0 | 10   28    1   30    0
Jul 25 04:50:39 jammy-provider-cloud-0000007399 dstat.sh[58127]: 25-07 04:50:39| 62  16  21   0   0|1345M 1404M  164M 4832M|6145B 1620B|   0   604k|   0  52.0 |4844    11k|2.06 1.08 0.54|6.0   0 388|   0     0 |   0     0 | 10   28    1   32    0
