Mar 06 20:44:25 ubuntu systemd[1]: Started devstack@dstat.service - Devstack devstack@dstat.service.
Mar 06 20:44:25 ubuntu dstat.sh[59029]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ---total--- ------tcp-sockets-------
Mar 06 20:44:25 ubuntu dstat.sh[59029]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Mar 06 20:44:25 ubuntu dstat.sh[59029]: 06-03 20:44:25|                   |1013M 1624M  157M 4846M|           |           |           |           |1.33 0.92 0.48|3.0   0    |           |           | 10    5    0   17    0
Mar 06 20:44:26 ubuntu dstat.sh[59029]: 06-03 20:44:26| 13  21  64   1   0|1017M 1619M  157M 4847M|  34k 9057B|   0  1123k|   0  43.0 |5100  3603 |1.33 0.92 0.48|3.0   0 305|   0     0 |           | 10    6    0   17    0
Mar 06 20:44:27 ubuntu dstat.sh[59029]: 06-03 20:44:27| 23  21  54   1   0|1019M 1617M  158M 4847M|  20k   12k|   0  1577k|   0  44.5 |5372  3862 |1.33 0.92 0.48|1.0   0 340|   0     0 |           | 10    6    0   17    0
Mar 06 20:44:28 ubuntu dstat.sh[59029]: 06-03 20:44:28| 26  21  52   1   0|1002M 1633M  158M 4848M|  43k   14k|   0  2064k|   0  63.0 |5679  4979 |1.30 0.92 0.49|2.0   0 291|   0     0 |           | 10    6    0   17    0
Mar 06 20:44:29 ubuntu dstat.sh[59029]: 06-03 20:44:29| 32  18  49   0   0|1108M 1510M  158M 4948M| 180k   13k|   0  5287k|   0  62.9 |6668  7761 |1.30 0.92 0.49|7.0   0 208|   0     0 |           | 11    5    0   17    1
Mar 06 20:44:30 ubuntu dstat.sh[59029]: 06-03 20:44:30| 32  10  57   1   0|1155M 1447M  159M 4998M|4108B 1244B|  16k 1522k|1.00  66.1 |3719  2676 |1.30 0.92 0.49|3.0   0  92|   0     0 |           | 11    7    0   17    1
Mar 06 20:44:31 ubuntu dstat.sh[59029]: 06-03 20:44:31| 38  14  47   0   0|1153M 1431M  159M 5014M|4077B 1619B|   0  2218k|   0  58.0 |4776  3422 |1.30 0.92 0.49|3.0   0 195|   0     0 |           | 11    7    0   19    1
Mar 06 20:44:32 ubuntu dstat.sh[59029]: 06-03 20:44:32| 42   7  48   1   0|1221M 1335M  161M 5038M|5030B 1567B| 480k 5192k|18.0   151 |3374  2345 |1.30 0.92 0.49|4.0   0   0|   0     0 |           | 11    7    0   19    1
Mar 06 20:44:33 ubuntu dstat.sh[59029]: 06-03 20:44:33| 43   6  48   1   0|1253M 1271M  162M 5065M|6180B 1615B| 128k 5473k|5.98   248 |3948  3661 |1.36 0.94 0.49|4.0   0 4.0|   0     0 |           | 11    9    0   19    1
Mar 06 20:44:34 ubuntu dstat.sh[59029]: 06-03 20:44:34| 28   8  49  14   0|1264M 1261M  164M 5061M|  12k 4359B|   0    43M|   0  3564 |  14k   27k|1.36 0.94 0.49|7.0   0  51|   0     0 |           | 11    6    0   19    1
Mar 06 20:44:35 ubuntu dstat.sh[59029]: 06-03 20:44:35| 36  12  45   5   0|1272M 1251M  164M 5062M|5431B 1519B|   0    31M|   0  2390 |  10k   16k|1.36 0.94 0.49|3.0   0 138|   0     0 |           | 11    5    0   19    1
Mar 06 20:44:36 ubuntu dstat.sh[59029]: 06-03 20:44:36| 39   7  53   0   0|1339M 1179M  164M 5068M|9953B 2920B|   0  1969k|   0  48.7 |2775  1650 |1.36 0.94 0.49|3.0   0 3.0|   0     0 |           | 11    4    0   19    1
Mar 06 20:44:37 ubuntu dstat.sh[59029]: 06-03 20:44:37| 41   4  53   1   0|1333M 1178M  165M 5073M|  11k 4089B|   0  9145k|   0   531 |3739  3564 |1.36 0.94 0.49|3.0   0  17|   0     0 |           | 11    4    0   19    1
Mar 06 20:44:38 ubuntu dstat.sh[59029]: 06-03 20:44:38| 43  11  45   0   0|1280M 1230M  165M 5073M|4045B  920B|   0  2218k|   0  85.2 |  11k   18k|1.41 0.95 0.50|2.0   0  24|   0     0 |           | 11    4    0   19    1
Mar 06 20:44:39 ubuntu dstat.sh[59029]: 06-03 20:44:39| 44  10  45   0   0|1309M 1201M  165M 5073M|4274B 1188B|   0  2175k|   0   181 |  11k   17k|1.41 0.95 0.50|3.0   0  19|   0     0 |           | 11    4    0   19    0
Mar 06 20:44:40 ubuntu dstat.sh[59029]: 06-03 20:44:40| 32  20  47   0   0|1182M 1340M  165M 5062M|5051B 1662B|   0   412k|   0  25.0 |5523  4094 |1.41 0.95 0.50|2.0   0 351|   0     0 |           | 11    4    0   19    0
Mar 06 20:44:41 ubuntu dstat.sh[59029]: 06-03 20:44:41| 16  24  59   0   0|1106M 1417M  165M 5062M|4768B 1503B|   0    60k|   0  12.0 |5815  4383 |1.41 0.95 0.50|3.0   0 420|   0     0 |           | 11    4    0   19    0
Mar 06 20:44:42 ubuntu dstat.sh[59029]: 06-03 20:44:42| 23  16  59   1   0|1119M 1396M  165M 5070M|4393B 1621B|7710k   12k|80.1  3.00 |5901  7342 |1.41 0.95 0.50|3.0   0 245|   0     0 |           | 11    4    0   19    0
Mar 06 20:44:43 ubuntu dstat.sh[59029]: 06-03 20:44:43| 44   8  47   0   0|1193M 1322M  165M 5070M|4815B 1452B|  20k 4079B|3.98  1.00 |2910  1641 |1.46 0.97 0.51|4.0   0  35|   0     0 |           | 11    5    0   19    0
Mar 06 20:44:44 ubuntu dstat.sh[59029]: 06-03 20:44:44| 43   8  48   0   0|1201M 1312M  165M 5071M|4370B 1616B| 491k   21M|3.99   380 |2835  1503 |1.46 0.97 0.51|3.0   0   0|   0     0 |           | 11    5    0   19    0
Mar 06 20:44:45 ubuntu dstat.sh[59029]: 06-03 20:44:45| 33  11  56   1   0|1226M 1286M  165M 5074M|4564B 1621B|   0  2894k|   0  68.1 |5250  7074 |1.46 0.97 0.51|1.0   0 119|   0     0 |           | 11    4    0   13    0
Mar 06 20:44:46 ubuntu dstat.sh[59029]: 06-03 20:44:46|  9   4  86   0   0|1258M 1254M  165M 5074M|4274B 1626B|   0   389k|   0  4.01 |1473  1421 |1.46 0.97 0.51|3.0   0  22|   0     0 |           | 11    4    0   13    0
Mar 06 20:44:47 ubuntu dstat.sh[59029]: 06-03 20:44:47| 23   3  74   0   0|1315M 1197M  165M 5074M|5763B 1454B|   0     0 |   0     0 |1789  1339 |1.46 0.97 0.51|3.0   0   0|   0     0 |           | 11    4    0   13    0
Mar 06 20:44:48 ubuntu dstat.sh[59029]: 06-03 20:44:48| 24   2  74   0   0|1333M 1178M  165M 5074M|5624B 1628B|   0   398k|   0  27.1 |2005  1648 |1.42 0.97 0.51|2.0   0 1.0|   0     0 |           | 11   10    0   13    0
Mar 06 20:44:49 ubuntu dstat.sh[59029]: 06-03 20:44:49| 21   5  71   2   0|1271M 1240M  165M 5074M|6290B 1617B|   0    24M|   0   394 |3916  5016 |1.42 0.97 0.51|2.0   0  42|   0     0 |           | 11    4    0   15    0
Mar 06 20:44:50 ubuntu dstat.sh[59029]: 06-03 20:44:50| 18   3  78   0   0|1302M 1208M  165M 5074M|5323B 2480B| 368k 1499k|13.0  10.0 |1616  1226 |1.42 0.97 0.51|2.0   0   0|   0     0 |           | 11    5    0   15    0
Mar 06 20:44:51 ubuntu dstat.sh[59029]: 06-03 20:44:51| 21   2  75   0   0|1307M 1203M  165M 5075M|8342B 4906B| 272k 1527k|67.0  36.0 |2744  2958 |1.42 0.97 0.51|1.0   0 3.0|   0     0 |           | 11   29    0   15    0
Mar 06 20:44:52 ubuntu dstat.sh[59029]: 06-03 20:44:52| 19   6  75   0   0|1316M 1194M  165M 5075M|8267B 4277B|   0     0 |   0     0 |2397  1792 |1.42 0.97 0.51|2.0   0  43|   0     0 |           | 11   28    0   16    0
Mar 06 20:44:53 ubuntu dstat.sh[59029]: 06-03 20:44:53| 17   2  80   0   0|1338M 1172M  165M 5075M|  10k 7382B|   0     0 |   0     0 |1846  1551 |1.39 0.97 0.52|3.0   0   0|   0     0 |           | 11   29    0   16    0
