Apr 29 16:31:22 ubuntu systemd[1]: Started devstack@dstat.service - Devstack devstack@dstat.service.
Apr 29 16:31:23 ubuntu dstat.sh[66068]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ---total--- ------tcp-sockets-------
Apr 29 16:31:23 ubuntu dstat.sh[66068]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Apr 29 16:31:23 ubuntu dstat.sh[66068]: 29-04 16:31:23|                   | 947M 1384M  163M 5131M|           |           |           |           |1.11 0.97 0.57|3.0   0    |           |           | 10    6    0   17    0
Apr 29 16:31:24 ubuntu dstat.sh[66068]: 29-04 16:31:24| 22  21  56   1   0| 961M 1369M  163M 5131M|  38k   11k|   0  2905k|   0   174 |5994  4912 |1.19 0.99 0.57|2.0   0 390|   0     0 |           | 10    6    0   17    0
Apr 29 16:31:25 ubuntu dstat.sh[66068]: 29-04 16:31:25| 25  22  51   0   0|1004M 1325M  164M 5132M|  19k   11k|   0  1895k|   0   120 |6028  5607 |1.26 1.00 0.58|3.0   0 409|   0     0 |           | 10    5    0   17    1
Apr 29 16:31:26 ubuntu dstat.sh[66068]: 29-04 16:31:26| 33  17  47   1   0| 996M 1312M  164M 5151M| 168k 7565B|   0  2157k|   0  73.0 |5386  7106 |1.26 1.00 0.58|2.0   0 248|   0     0 |           | 10    4    0   17    2
Apr 29 16:31:27 ubuntu dstat.sh[66068]: 29-04 16:31:27| 29  10  59   0   0|1132M 1156M  165M 5290M|2956B    0 |   0  1983k|   0  54.0 |3791  3888 |1.26 1.00 0.58|2.0   0  57|   0     0 |           | 11    4    0   17    2
Apr 29 16:31:28 ubuntu dstat.sh[66068]: 29-04 16:31:28| 36  12  52   0   0|1151M 1115M  165M 5309M|2765B    0 |   0   990k|   0  31.1 |3749  2430 |1.26 1.00 0.58|3.0   0 101|   0     0 |           | 11    6    0   17    2
Apr 29 16:31:29 ubuntu dstat.sh[66068]: 29-04 16:31:29| 36  13  48   1   0|1178M 1070M  166M 5324M|2817B    0 |  16k 4103k|1.00   157 |4810  3918 |1.32 1.02 0.59|3.0   0 180|   0     0 |           | 11    6    0   19    2
Apr 29 16:31:30 ubuntu dstat.sh[66068]: 29-04 16:31:30| 41   6  48   1   0|1234M  986M  167M 5348M|2409B    0 |  16k 4545k|1.00   152 |2929  1835 |1.32 1.02 0.59|2.0   0   0|   0     0 |           | 11    6    0   19    2
Apr 29 16:31:31 ubuntu dstat.sh[66068]: 29-04 16:31:31| 39   4  53   2   0|1282M  946M  168M 5338M|8558B 2727B|   0  5377k|   0   335 |3585  3558 |1.32 1.02 0.59|3.0   0 4.0|   0     0 |           | 11    6    0   19    0
Apr 29 16:31:32 ubuntu dstat.sh[66068]: 29-04 16:31:32| 32   8  45  13   0|1236M  983M  169M 5345M|2599B    0 |   0    35M|   0  3181 |  14k   25k|1.32 1.02 0.59|4.0   0  70|   0     0 |           | 11    6    0   19    0
