Feb 16 18:11:12 np0000000000 systemd[1]: Started devstack@dstat.service - Devstack devstack@dstat.service.
Feb 16 18:11:12 np0000000000 dstat.sh[59187]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ---total--- ------tcp-sockets-------
Feb 16 18:11:12 np0000000000 dstat.sh[59187]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Feb 16 18:11:12 np0000000000 dstat.sh[59187]: 16-02 18:11:12|                   |1027M 1608M  160M 4845M|           |           |           |           |1.67 0.97 0.51|1.0   0    |           |           | 10    6    0   18    0
Feb 16 18:11:13 np0000000000 dstat.sh[59187]: 16-02 18:11:13| 20  22  56   0   0|1029M 1605M  160M 4846M|  42k   14k|   0  2871k|   0   109 |5949  4756 |1.67 0.97 0.51|1.0   0 369|   0     0 |           | 10    6    0   18    0
Feb 16 18:11:14 np0000000000 dstat.sh[59187]: 16-02 18:11:14| 23  22  54   1   0|1040M 1594M  160M 4846M|  21k   11k|   0  1843k|   0  84.0 |5858  4636 |1.67 0.97 0.51|2.0   0 391|   0     0 |           | 10    5    0   17    1
Feb 16 18:11:15 np0000000000 dstat.sh[59187]: 16-02 18:11:15| 33  20  46   1   0|1036M 1569M  161M 4872M| 164k 5503B|   0    13M|   0   477 |7122  8177 |1.67 0.97 0.51|3.0   0 303|   0     0 |           | 10    4    0   17    2
Feb 16 18:11:16 np0000000000 dstat.sh[59187]: 16-02 18:11:16| 33  12  53   0   0|1144M 1440M  162M 5011M|4799B 1619B|   0  1276k|   0  31.0 |4937  5301 |1.62 0.97 0.52|2.0   0 116|   0     0 |           | 11    6    0   17    2
Feb 16 18:11:17 np0000000000 dstat.sh[59187]: 16-02 18:11:17| 39  11  47   0   0|1168M 1395M  162M 5030M|4558B 1619B|  16k 2815k|1.00   117 |4022  2496 |1.62 0.97 0.52|2.0   0  92|   0     0 |           | 11    6    0   17    2
Feb 16 18:11:18 np0000000000 dstat.sh[59187]: 16-02 18:11:18| 37  14  47   1   0|1214M 1333M  163M 5043M|4713B 1617B| 343k 4031k|15.0   134 |4706  3668 |1.62 0.97 0.52|3.0 1.0 160|   0     0 |           | 11    6    0   19    2
Feb 16 18:11:19 np0000000000 dstat.sh[59187]: 16-02 18:11:19| 44   7  49   1   0|1265M 1251M  164M 5070M|4852B 1628B| 249k 3727k|8.04  82.4 |3124  1911 |1.62 0.97 0.52|2.0   0   0|   0     0 |           | 11    6    0   19    2
Feb 16 18:11:20 np0000000000 dstat.sh[59187]: 16-02 18:11:20| 33   5  52   8   0|1301M 1221M  165M 5062M|  11k 4409B|  16k   21M|1.00  1526 |8679    14k|1.62 0.97 0.52|1.0 1.0  28|   0     0 |           | 11    6    0   19    0
Feb 16 18:11:21 np0000000000 dstat.sh[59187]: 16-02 18:11:21| 35   7  42  15   0|1276M 1239M  167M 5067M|5401B 1704B|   0    50M|   0  3794 |  14k   28k|1.65 0.98 0.52|6.0   0  82|   0     0 |           | 11    6    0   19    0
Feb 16 18:11:22 np0000000000 dstat.sh[59187]: 16-02 18:11:22| 38   8  54   0   0|1280M 1229M  167M 5073M|  11k 3739B|   0  1724k|   0  46.0 |3466  2235 |1.65 0.98 0.52|3.0   0  84|   0     0 |           | 11    4    0   19    0
Feb 16 18:11:23 np0000000000 dstat.sh[59187]: 16-02 18:11:23| 40   5  53   0   0|1316M 1189M  167M 5075M|  11k 4487B|   0  1292k|   0  37.0 |2842  1669 |1.65 0.98 0.52|3.0   0  19|   0     0 |           | 11    5    0   19    0
Feb 16 18:11:24 np0000000000 dstat.sh[59187]: 16-02 18:11:24| 43  10  45   1   0|1283M 1219M  167M 5078M|5011B 1790B|   0  8374k|   0   401 |  12k   21k|1.65 0.98 0.52|3.0   0  23|   0     0 |           | 11    4    0   19    0
Feb 16 18:11:25 np0000000000 dstat.sh[59187]: 16-02 18:11:25| 43  10  46   0   0|1298M 1204M  167M 5078M|4380B 1662B|   0  3124k|   0   150 |  11k   18k|1.65 0.98 0.52|3.0   0  20|   0     0 |           | 11    4    0   19    0
