Feb 14 07:09:04 jammy-provider-cloud-0000008007 systemd[1]: Started Devstack devstack@dstat.service.
Feb 14 07:09:05 jammy-provider-cloud-0000008007 dstat.sh[58648]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Feb 14 07:09:05 jammy-provider-cloud-0000008007 dstat.sh[58648]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Feb 14 07:09:05 jammy-provider-cloud-0000008007 dstat.sh[58648]: 14-02 07:09:05|                   | 925M 1902M  161M 4641M|           |           |           |           |0.97 0.76 0.44|1.0   0    |           |   0     0 |  9    4    1   16    0
Feb 14 07:09:06 jammy-provider-cloud-0000008007 dstat.sh[58648]: 14-02 07:09:06|  9  19  71   0   0| 931M 1895M  161M 4641M|  12k 1750B|   0  1039k|   0  48.9 |3377  5568 |0.97 0.76 0.44|1.0   0 491|   0     0 |   0     0 |  9    4    1   16    0
Feb 14 07:09:07 jammy-provider-cloud-0000008007 dstat.sh[58648]: 14-02 07:09:07| 13  18  67   0   0| 940M 1887M  161M 4641M|6341B 1620B|   0  1008k|   0  35.5 |3607  5719 |0.98 0.77 0.45|1.0   0 419|   0     0 |   0     0 |  9    3    1   16    1
Feb 14 07:09:08 jammy-provider-cloud-0000008007 dstat.sh[58648]: 14-02 07:09:08| 15  16  68   0   0|1056M 1771M  161M 4764M|  14k 1701B|   0    12k|   0  3.00 |5022  7588 |0.98 0.77 0.45|  0   0 193|   0     0 |   0     0 | 10    3    1   16    1
Feb 14 07:09:09 jammy-provider-cloud-0000008007 dstat.sh[58648]: 14-02 07:09:09| 10   7  83   0   0|1066M 1760M  161M 4764M|5071B 1512B|   0    68k|   0  8.00 |1464  1980 |0.98 0.77 0.45|1.0   0  96|   0     0 |   0     0 | 10    5    1   16    1
Feb 14 07:09:10 jammy-provider-cloud-0000008007 dstat.sh[58648]: 14-02 07:09:10| 15  12  73   0   0|1079M 1747M  161M 4764M|  13k 1697B|  80k 2800k|1.00   233 |2391  3130 |0.98 0.77 0.45|1.0   0 190|   0     0 |   0     0 | 10    5    1   19    1
Feb 14 07:09:11 jammy-provider-cloud-0000008007 dstat.sh[58648]: 14-02 07:09:11| 23   2  74   0   0|1147M 1679M  161M 4765M|5200B 1563B|   0  1242k|   0  14.0 | 937  1269 |0.98 0.77 0.45|1.0   0 2.0|   0     0 |   0     0 | 10    5    1   19    1
Feb 14 07:09:12 jammy-provider-cloud-0000008007 dstat.sh[58648]: 14-02 07:09:12| 16   4  71   8   0|1171M 1648M  162M 4770M|4495B 1623B|   0    22M|   0  1670 |7497    16k|0.98 0.77 0.45|1.0   0  28|   0     0 |   0     0 | 10    7    1   19    1
Feb 14 07:09:13 jammy-provider-cloud-0000008007 dstat.sh[58648]: 14-02 07:09:13| 17   7  66  11   0|1085M 1729M  162M 4774M|  12k 1621B|   0    39M|   0  3140 |  11k   24k|0.98 0.77 0.45|1.0   0 102|   0     0 |   0     0 | 10    5    1   19    1
Feb 14 07:09:14 jammy-provider-cloud-0000008007 dstat.sh[58648]: 14-02 07:09:14| 23   3  74   0   0|1166M 1648M  162M 4774M|8776B 1616B|   0   543k|   0  27.9 |1116  1439 |0.98 0.77 0.45|1.0   0  20|   0     0 |   0     0 | 10    5    1   19    1
