May 25 16:01:08 ubuntu systemd[1]: Started devstack@dstat.service - Devstack devstack@dstat.service.
May 25 16:01:08 ubuntu dstat.sh[65944]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ---total--- ------tcp-sockets-------
May 25 16:01:08 ubuntu dstat.sh[65944]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
May 25 16:01:08 ubuntu dstat.sh[65944]: 25-05 16:01:08|                   | 954M 1358M  165M 5147M|           |           |           |           |1.62 1.08 0.58|3.0   0    |           |           | 10    4    0   18    0
May 25 16:01:09 ubuntu dstat.sh[65944]: 25-05 16:01:09|  9  21  68   0   0| 960M 1352M  165M 5147M|  10k 3174B|   0  1100k|   0  53.0 |6005  4984 |1.60 1.08 0.58|2.0   0 332|   0     0 |           | 10    4    0   18    0
May 25 16:01:10 ubuntu dstat.sh[65944]: 25-05 16:01:10| 22  22  55   0   0| 966M 1345M  165M 5148M|  24k 9168B|   0  1274k|   0  51.0 |5864  4529 |1.57 1.08 0.58|2.0   0 345|   0     0 |           | 10    5    0   18    0
May 25 16:01:11 ubuntu dstat.sh[65944]: 25-05 16:01:11| 24  20  54   1   0| 959M 1352M  165M 5148M|  44k   16k|   0  2647k|   0  64.1 |5510  5697 |1.57 1.08 0.58|1.0   0 279|   0     0 |           | 10    6    0   18    0
May 25 16:01:12 ubuntu dstat.sh[65944]: 25-05 16:01:12| 30  16  52   1   0|1026M 1283M  165M 5213M|  40k   14k|   0  1837k|   0  55.0 |5822  7468 |1.57 1.08 0.58|4.0 1.0 189|   0     0 |           | 11    6    0   18    0
May 25 16:01:13 ubuntu dstat.sh[65944]: 25-05 16:01:13| 22   8  69   1   0|1108M 1200M  165M 5271M|  26k   14k|   0  1516k|   0  51.0 |3068  2382 |1.57 1.08 0.58|2.0   0  76|   0     0 |           | 11    7    0   18    1
May 25 16:01:14 ubuntu dstat.sh[65944]: 25-05 16:01:14| 34  14  51   1   0|1106M 1177M  166M 5295M| 175k 9604B|   0  2681k|   0   101 |4522  3096 |1.60 1.10 0.59|2.0   0 152|   0     0 |           | 11    7    0   18    1
May 25 16:01:15 ubuntu dstat.sh[65944]: 25-05 16:01:15| 41   8  48   0   0|1159M 1103M  167M 5312M|4914B 1590B|  32k 2868k|2.00  56.0 |3663  2475 |1.60 1.10 0.59|2.0   0  55|   0     0 |           | 11    6    0   20    2
May 25 16:01:16 ubuntu dstat.sh[65944]: 25-05 16:01:16| 45   5  48   0   0|1201M 1038M  167M 5332M|4996B 1453B|   0  6097k|   0  68.7 |3012  1723 |1.60 1.10 0.59|3.0   0   0|   0     0 |           | 11    6    0   20    2
May 25 16:01:17 ubuntu dstat.sh[65944]: 25-05 16:01:17| 37   6  46   9   0|1220M  994M  169M 5352M|5342B 1620B|   0    26M|   0  1885 |8976    16k|1.60 1.10 0.59|1.0 1.0  28|   0     0 |           | 11    8    0   20    2
May 25 16:01:18 ubuntu dstat.sh[65944]: 25-05 16:01:18| 33   8  41  16   0|1227M  958M  171M 5377M|4590B 1462B|   0    62M|   0  4761 |  16k   30k|1.60 1.10 0.59|3.0   0  54|   0     0 |           | 11    8    0   20    2
May 25 16:01:19 ubuntu dstat.sh[65944]: 25-05 16:01:19| 40  11  48   0   0|1197M 1002M  171M 5363M|5192B 1934B|   0  1581k|   0  99.8 |3980  2575 |1.63 1.11 0.60|2.0   0  94|   0     0 |           | 11    4    0   20    0
May 25 16:01:20 ubuntu dstat.sh[65944]: 25-05 16:01:20| 40   5  53   1   0|1229M  963M  171M 5369M|  12k 4735B|   0  4640k|   0   302 |3061  1971 |1.63 1.11 0.60|2.0   0  18|   0     0 |           | 11    4    0   20    0
May 25 16:01:21 ubuntu dstat.sh[65944]: 25-05 16:01:21| 45   8  44   1   0|1207M  984M  171M 5370M|5063B 1715B|   0  8123k|   0   471 |  12k   21k|1.63 1.11 0.60|3.0   0  24|   0     0 |           | 11    4    0   20    0
May 25 16:01:22 ubuntu dstat.sh[65944]: 25-05 16:01:22| 42  10  46   0   0|1221M  970M  171M 5370M|4500B 1620B|   0  2312k|   0   110 |  12k   20k|1.63 1.11 0.60|4.0   0  13|   0     0 |           | 11    4    0   20    0
May 25 16:01:23 ubuntu dstat.sh[65944]: 25-05 16:01:23| 44   8  48   0   0|1193M 1005M  171M 5363M|4348B 1461B|   0   726k|   0  41.1 |3525  2046 |1.63 1.11 0.60|4.0   0  69|   0     0 |           | 11    4    0   20    0
May 25 16:01:24 ubuntu dstat.sh[65944]: 25-05 16:01:24| 27  23  49   0   0|1128M 1070M  171M 5363M|5019B 1703B|   0   700k|   0  36.0 |6862  6105 |1.66 1.13 0.60|2.0   0 585|   0     0 |           | 11    4    0   20    0
May 25 16:01:25 ubuntu dstat.sh[65944]: 25-05 16:01:25| 18  16  66   0   0|1102M 1096M  171M 5363M|4681B 1620B|   0    20k|   0  4.00 |6346  8768 |1.66 1.13 0.60|1.0   0 242|   0     0 |           | 11    4    0   20    0
